"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00001","","","","3","0","1.4","1.96","21.09","2","50.56","2.83","4.12","1","35","32","4","25","25","30","24","5","3","2.8","2","71","3","41.71281646","6","7","0.68","8","3","3","6.5","1.5","33","8","41","67","0.185714286","0.046875","0.119402985","2.68","2.233333333","1.4","1.166666667","0.32","0.266666667","1.32","1.1","52.23880597","19.51219512","83.33333333","3.337025316","7.222222222","8.666666667","8.888888889","10.66666667","36.66666667","44","3.707805907","4.449367089","45.55555556","54.66666667"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00010","","","","2","0.42","1.89","2.3","18.44","4","50.85","3.17","9.2","1","45","40","2","29","29","30","29","5","2","3.27","2","65.33","3","36.26352016","5","6","0.88","5","4","5","7.7","2","10","9.7","19.7","85","0.171111111","0.05","0.114117647","2.931034483","2.833333333","1.551724138","1.5","0.334482759","0.323333333","0.344827586","0.333333333","52.94117647","49.23857868","96.66666667","3.517561455","8.555555556","8.850574713","10.77777778","11.14942529","11.11111111","11.49425287","3.908401617","4.043174087","21.88888889","22.64367816"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00011","","","","2","0","1.56","2.08","21.83","4","50.86","2.89","4.34","1","49","27","3","27","27","30","27","5","2","3.39","2","70.6","3","42.92174597","5","7","0.83","5","4","4","10.1","1","15","11.1","26.1","76","0.206122449","0.037037037","0.146052632","2.814814815","2.533333333","1.814814815","1.633333333","0.411111111","0.37","0.555555556","0.5","64.47368421","42.52873563","90","4.764313803","11.22222222","12.4691358","12.33333333","13.7037037","16.66666667","18.51851852","5.293682003","5.881868892","29","32.22222222"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00012","","","","3","0","1.47","1.89","20.08","2","50.03","2.96","4.22","1","43","26","4","30","30","30","30","5","3","3.49","2","69.75","3","40.13591845","6","6","0.86","6","3","3","7","2.1","24","9.1","33.1","69","0.162790698","0.080769231","0.131884058","2.3","2.3","1.433333333","1.433333333","0.303333333","0.303333333","0.8","0.8","62.31884058","27.49244713","100","3.652368579","7.777777778","7.777777778","10.11111111","10.11111111","26.66666667","26.66666667","4.05818731","4.05818731","36.77777778","36.77777778"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00013","","","","2","0","1.66","2.17","20.2","3","50.68","3","7.65","1","57","18","2","25","25","30","24","3","9","3.18","1","67.69","5","39.85793212","7","8","0.77","7","3","3","20.4","1.2","30","21.6","51.6","75","0.357894737","0.066666667","0.288","3","2.5","2.28","1.9","0.864","0.72","1.2","1","76","41.86046512","83.33333333","8.609313339","22.66666667","27.2","24","28.8","33.33333333","40","9.56590371","11.47908445","57.33333333","68.8"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00014","","","","1","3.69","1.88","2.81","19.1","3","50.89","3.97","5.57","1","32","25","3","22","22","30","18","7","6","3.14","2","66.68","3","37.53193162","6","8","1.06","5","4","6","8.7","1.2","13","9.9","22.9","57","0.271875","0.048","0.173684211","2.590909091","1.9","1.454545455","1.066666667","0.45","0.33","0.590909091","0.433333333","56.14035088","43.23144105","73.33333333","3.71566123","9.666666667","13.18181818","11","15","14.44444444","19.6969697","4.128512478","5.629789743","25.44444444","34.6969697"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00015","","","","1","0","1.23","2.46","18.59","3","50.81","3.07","3.36","1","41","32","3","26","26","30","24","6","9","2.17","2","71.84","3","36.58728597","4","7","0.64","7","4","3","10","1.5","20","11.5","31.5","73","0.243902439","0.046875","0.157534247","2.807692308","2.433333333","1.576923077","1.366666667","0.442307692","0.383333333","0.769230769","0.666666667","56.16438356","36.50793651","86.66666667","4.207537886","11.11111111","12.82051282","12.77777778","14.74358974","22.22222222","25.64102564","4.675042096","5.394279341","35","40.38461538"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00016","","","","2","0","1.71","1.87","19.78","2","50.93","2.63","6.35","1","33","25","3","27","27","30","23","2","8","3.5","1","69.01","3","38.83762026","6","7","0.88","6","1","4","8.1","1.3","18","9.4","27.4","58","0.245454545","0.052","0.162068966","2.148148148","1.933333333","1.222222222","1.1","0.348148148","0.313333333","0.666666667","0.6","56.89655172","34.30656934","90","3.650736305","9","10","10.44444444","11.60493827","20","22.22222222","4.056373672","4.507081858","30.44444444","33.82716049"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00017","","","","2","0.16","1.82","1.6","19.03","4","50.74","2.3","9.99","1","40","27","3","26","26","30","24","5","2","3.13","2","66.75","3","37.50492708","5","7","0.84","5","3","4","9.2","1.5","11","10.7","21.7","67","0.23","0.055555556","0.159701493","2.576923077","2.233333333","1.538461538","1.333333333","0.411538462","0.356666667","0.423076923","0.366666667","59.70149254","49.30875576","86.66666667","4.013027197","10.22222222","11.79487179","11.88888889","13.71794872","12.22222222","14.1025641","4.458919108","5.144906663","24.11111111","27.82051282"
"","","GHP2014PKS-AT01","","","","","","","","","GHP2014PKS-AT01-00018","","","","2","34.97","3.23","7","9.81","3","50.25","10.17","19.43","1","64","42","3","27","27","30","27","8","6","5.38","4","39.83","5","19.52238806","5","8","1.67","5","4","5","21.1","2.3","13","23.4","36.4","106","0.3296875","0.054761905","0.220754717","3.925925926","3.533333333","2.37037037","2.133333333","0.866666667","0.78","0.481481481","0.433333333","60.37735849","64.28571429","90","4.568238806","23.44444444","26.04938272","26","28.88888889","14.44444444","16.04938272","5.075820896","5.639800995","40.44444444","44.9382716"
