"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00001","","","","3","1.775359035","1.11885798","19.16","4","50.86","0.897095978","2.014158964","1","32","56","30","30","30","28","1","","3.705451965","2","72.43550873","","6","8","4","2.328773022","9","1","1","6.9","2.5","22","9.4","31.4","88","0.215625","0.044642857","0.106818182","2.933333333","2.933333333","1.066666667","1.066666667","0.313333333","0.313333333","0.733333333","0.733333333","36.36363636","29.93630573","100","37.6720409","3.541171844","7.666666667","7.666666667","10.44444444","10.44444444","24.44444444","24.44444444","3.934635383","3.934635383","34.88888889","34.88888889"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00010","","","","2","2.215725899","1.177011967","18.8","","50.58","1.232671022","2.22766304","2","44","86","30","28","30","27","7","6","5.277690887","3","63.28199768","5","5","7","","8.853341103","8","4","4","9.1","4.5","6","13.6","19.6","130","0.206818182","0.052325581","0.104615385","4.642857143","4.333333333","1.571428571","1.466666667","0.485714286","0.453333333","0.214285714","0.2","33.84615385","69.3877551","93.33333333","37.16884144","5.054962436","10.11111111","10.83333333","15.11111111","16.19047619","6.666666667","7.142857143","5.616624929","6.017812424","21.77777778","23.33333333"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00011","","","","3","1.736832023","1.059005022","21.92","3","50.07","1.019003034","2.175250053","1","15","32","30","28","30","25","5","3","3.748718023","2","73.21866608","3","5","5","5","2.394046068","8","1","3","2.8","1.5","13.5","4.3","17.8","47","0.186666667","0.046875","0.091489362","1.678571429","1.566666667","0.535714286","0.5","0.153571429","0.143333333","0.482142857","0.45","31.91489362","24.15730337","93.33333333","43.77870981","1.882484522","3.111111111","3.333333333","4.777777778","5.119047619","15","16.07142857","2.091649469","2.241053002","19.77777778","21.19047619"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00012","","","","2","1.948083043","1.025441051","20.61","3","50.55","1.241922975","2.744601965","2","20","21","30","25","30","22","9","","5.522396088","2","68.02368164","","6","5","3","3.323729038","8","4","6","4.4","1","8","5.4","13.4","41","0.22","0.047619048","0.131707317","1.64","1.366666667","0.8","0.666666667","0.216","0.18","0.32","0.266666667","48.7804878","40.29850746","83.33333333","40.77151335","2.201661721","4.888888889","5.866666667","6","7.2","8.888888889","10.66666667","2.446290801","2.935548961","14.88888889","17.86666667"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00013","","","","3","2.574254036","1.480728984","11.16","4","50.6","5.876275063","8.734256744","3","73","45","30","30","30","30","8","","3.671082973","4","46.4653511","","5","8","4","17.37107658","8","1","1","16.2","2.1","9","18.3","27.3","118","0.221917808","0.046666667","0.155084746","3.933333333","3.933333333","2.433333333","2.433333333","0.61","0.61","0.3","0.3","61.86440678","67.03296703","100","22.05533597","4.036126482","18","18","20.33333333","20.33333333","10","10","4.48458498","4.48458498","30.33333333","30.33333333"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00014","","","","2","1.619603992","0.850567997","17.8","2","50.73","3.221795082","5.107493877","2","60","36","30","29","30","28","5","3","2.678040028","3","68.4118576","3","6","9","3","4.648458004","9","1","1","17.6","2","19.8","19.6","39.4","96","0.293333333","0.055555556","0.204166667","3.310344828","3.2","2.068965517","2","0.675862069","0.653333333","0.682758621","0.66","62.5","49.74619289","96.66666667","35.0877193","6.877192982","19.55555556","20.22988506","21.77777778","22.52873563","22","22.75862069","7.641325536","7.90481952","43.77777778","45.28735632"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00015","","","","3","1.81369698","0.994615972","19.69","","50.33","1.479037046","3.144217014","2","19","18","30","25","30","24","9","","4.695785999","2","66.40177917","","6","7","","5.385138988","8","3","6","9.2","0.9","12.8","10.1","22.9","37","0.484210526","0.05","0.272972973","1.48","1.233333333","0.76","0.633333333","0.404","0.336666667","0.512","0.426666667","51.35135135","44.10480349","83.33333333","39.12179615","3.951301411","10.22222222","12.26666667","11.22222222","13.46666667","14.22222222","17.06666667","4.390334901","5.268401881","25.44444444","30.53333333"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00016","","","","2","2.570197105","1.472591043","11.6","4","50.21","3.720882893","5.668828964","3","69","36","30","30","30","30","8","","4.63573122","3","51.65792084","","5","8","4","17.83541298","9","3","3","23","1.7","15.6","24.7","40.3","105","0.333333333","0.047222222","0.235238095","3.5","3.5","2.3","2.3","0.823333333","0.823333333","0.52","0.52","65.71428571","61.29032258","100","23.10296754","5.706432981","25.55555556","25.55555556","27.44444444","27.44444444","17.33333333","17.33333333","6.340481091","6.340481091","44.77777778","44.77777778"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00017","","","","2","1.585096002","1.046797037","20.64","3","50.9","0.154860005","1.163941026","1","15","55","30","30","30","27","1","","4.143704891","2","75.33955383","","6","6","3","1.116387963","9","1","3","2.2","2.1","22.5","4.3","26.8","70","0.146666667","0.038181818","0.061428571","2.333333333","2.333333333","0.5","0.5","0.143333333","0.143333333","0.75","0.75","21.42857143","16.04477612","100","40.55009823","1.743654224","2.444444444","2.444444444","4.777777778","4.777777778","25","25","1.937393582","1.937393582","29.77777778","29.77777778"
"","","GHP2015EJR-AT01","","","","","","","","","GHP2015EJR-AT01-00018","","","","2","1.898115993","0.938575983","18.93","","50.71","4.160484791","6.080642223","2","95","14","30","29","30","29","2","","3.415076971","2","65.51461792","","6","8","","4.84159708","9","1","1","23.8","1.3","20","25.1","45.1","109","0.250526316","0.092857143","0.230275229","3.75862069","3.633333333","3.275862069","3.166666667","0.865517241","0.836666667","0.689655172","0.666666667","87.1559633","55.654102","96.66666667","37.3299152","9.369808716","26.44444444","27.35632184","27.88888889","28.85057471","22.22222222","22.98850575","10.41089857","10.76989508","50.11111111","51.83908046"
