"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00001","","","","0","1.5414931","0.863027","50.04","19.1","0.078466","0.919694","5","1","30","4","2","23","12","5","5","2","3.40398","5","75.4066086","8","38.16946443","4","5","9.0827665","8","4","1","1.2","0.2","11.5","1.4","12.9","6","0.3","0.1","0.233333333","0.5","0.333333333","0.116666667","0.958333333","66.66666667","10.85271318","0.534372502","3.333333333","3.888888889","31.94444444","1.484368061","35.83333333","0.2","0.133333333","0.046666667","0.383333333","40","1.333333333","1.555555556","12.77777778","0.593747224","14.33333333"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00010","","","","0","1.416322","0.652021","50.02","19.82","0.476512","1.149408","3","1","30","41","15","28","24","24","4","7","2.8833289","5","77.8836365","7","39.62415034","3","3","10.4016438","5","3","1","13.4","0.7","36.5","14.1","50.6","56","0.326829268","0.046666667","0.251785714","2.333333333","1.708333333","0.5875","1.520833333","73.21428571","27.86561265","5.587005198","18.61111111","19.58333333","50.69444444","7.759729442","70.27777778","1.866666667","1.366666667","0.47","1.216666667","80","14.88888889","15.66666667","40.55555556","6.207783553","56.22222222"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00011","","","","19.5010109","1.713385","0.855532","50.5","16.12","1.064796","2.187536","3","1","30","33","15","18","18","18","6","5","2.9745851","5","69.7854767","6","31.92079208","3","3","13.9850101","7","3","1","5.3","0.6","16","5.9","21.9","48","0.160606061","0.04","0.122916667","2.666666667","1.833333333","0.327777778","0.888888889","68.75","26.94063927","1.883326733","9.814814815","10.92592593","29.62962963","3.487642098","40.55555556","1.6","1.1","0.196666667","0.533333333","60","5.888888889","6.555555556","17.77777778","2.092585259","24.33333333"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00012","","","","0","1.532118","0.697594","50.25","16.56","0.739512","1.537706","3","1","30","56","15","30","30","30","6","5","2.6886711","5","74.9423218","7","32.95522388","3","3","7.5653811","6","4","3","13.1","0.6","24.5","13.7","38.2","71","0.233928571","0.04","0.192957746","2.366666667","1.866666667","0.456666667","0.816666667","78.87323944","35.86387435","4.514865672","14.55555556","15.22222222","27.22222222","5.016517413","42.44444444","2.366666667","1.866666667","0.456666667","0.816666667","100","14.55555556","15.22222222","27.22222222","5.016517413","42.44444444"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00013","","","","0","1.9726861","0.916698","50.1","17.78","0.120642","1.264907","3","3","30","16","12","23","18","16","3","8","3.6564789","5","71.2786942","6","35.48902196","2","3","12.7291517","6","5","3","5.8","0.4","7","6.2","13.2","28","0.3625","0.033333333","0.221428571","1.555555556","0.888888889","0.344444444","0.388888889","57.14285714","46.96969697","2.200319361","10.74074074","11.48148148","12.96296296","4.074665484","24.44444444","0.933333333","0.533333333","0.206666667","0.233333333","60","6.444444444","6.888888889","7.777777778","2.44479929","14.66666667"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00014","","","","0","1.976686","0.937805","50.3","20.65","0.381113","0.821393","3","3","30","13","4","27","16","13","4","7","4.6033192","6","75.8221436","7","41.05367793","3","3","9.4058266","7","3","1","2.8","0.5","4","3.3","7.3","17","0.215384615","0.125","0.194117647","1.0625","0.8125","0.20625","0.25","76.47058824","45.20547945","1.354771372","5.833333333","6.875","8.333333333","2.822440358","15.20833333","0.566666667","0.433333333","0.11","0.133333333","53.33333333","3.111111111","3.666666667","4.444444444","1.505301524","8.111111111"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00015","","","","0","1.676239","0.821043","50.38","16.74","0.399375","1.4325759","3","3","30","28","17","30","23","23","5","5","3.689548","4","74.0397339","7","33.22747122","3","3","8.6675386","6","3","4","6.2","0.6","21.5","6.8","28.3","45","0.221428571","0.035294118","0.151111111","1.956521739","1.217391304","0.295652174","0.934782609","62.22222222","24.02826855","2.259468043","8.985507246","9.855072464","31.15942029","3.274591366","41.01449275","1.5","0.933333333","0.226666667","0.716666667","76.66666667","6.888888889","7.555555556","23.88888889","2.510520048","31.44444444"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00016","","","","0","1.414301","0.698298","50.06","19.83","0","0.433766","3","1","30","24","22","30","27","21","2","7","2.5068319","4","79.8388672","6","39.61246504","3","3","9.8790188","6","3","4","4.1","0.7","47.5","4.8","52.3","46","0.170833333","0.031818182","0.104347826","1.703703704","0.888888889","0.177777778","1.759259259","52.17391304","9.177820268","1.901398322","5.061728395","5.925925926","58.64197531","2.347405336","64.56790123","1.533333333","0.8","0.16","1.583333333","90","4.555555556","5.333333333","52.77777778","2.112664802","58.11111111"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00017","","","","0","1.260833","0.665906","50.82","19.18","0.696862","1.482581","3","3","30","53","4","30","24","24","2","6","2.6811731","5","78.0768509","6","37.74104683","3","1","9.3334475","9","3","1","14.7","0.2","17","14.9","31.9","57","0.277358491","0.05","0.261403509","2.375","2.208333333","0.620833333","0.708333333","92.98245614","46.70846395","5.623415978","20.41666667","20.69444444","23.61111111","7.810299969","44.30555556","1.9","1.766666667","0.496666667","0.566666667","80","16.33333333","16.55555556","18.88888889","6.248239976","35.44444444"
"","","GHP2017FMS-AT01","","","","","","","","","GHP2017FMS-AT01-00018","","","","","","","","","","","3","1","30","1","4","20","11","5","","","","3","","7","","7","7","","6","6","1","0.1","0.5","1.5","0.6","2.1","5","0.1","0.125","0.12","0.454545455","0.090909091","0.054545455","0.136363636","20","28.57142857","","0.303030303","1.818181818","4.545454545","","6.363636364","0.166666667","0.033333333","0.02","0.05","36.66666667","0.111111111","0.666666667","1.666666667","","2.333333333"
