"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00001","","","","3","0","1.73","1.18","17.61","50.49","0.2","1.57","1","18","36","30","34","23","1","3.87","1","72.49","34.8781937","5","6","8.02","4","5","3.7","1.4","21.5","5.1","26.6","54","0.205555556","0.038888889","0.094444444","1.8","1.588235294","0.6","0.529411765","0.17","0.15","0.716666667","0.632352941","33.33333333","19.17293233","88.23529412","1.778787879","3.62745098","4.111111111","5","5.666666667","21.07843137","23.88888889","1.743909685","1.976430976","26.07843137","29.55555556"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00010","","","","2","0.3","1.71","1.14","17.43","50.63","1.5","3.46","1","40","35","29","34","27","2","3.83","2","69.56","34.42622951","5","7","6.59","4","4","7.9","2","11","9.9","20.9","75","0.1975","0.057142857","0.132","2.586206897","2.205882353","1.379310345","1.176470588","0.34137931","0.291176471","0.379310345","0.323529412","53.33333333","47.36842105","85.29411765","3.408196721","7.745098039","9.08045977","9.705882353","11.37931034","10.78431373","12.64367816","3.341369335","3.917467496","20.49019608","24.02298851"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00011","","","","2","0","1.73","1.16","16.33","50.11","0.47","1.57","1","25","33","28","34","24","1","2.79","2","71.05","32.58830573","5","7","9.82","5","5","5.8","1.7","20","7.5","27.5","58","0.232","0.051515152","0.129310345","2.071428571","1.705882353","0.892857143","0.735294118","0.267857143","0.220588235","0.714285714","0.588235294","43.10344828","27.27272727","82.35294118","2.44412293","5.68627451","6.904761905","7.352941176","8.928571429","19.60784314","23.80952381","2.396198951","2.909670154","26.96078431","32.73809524"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00012","","","","3","0","1.93","1.36","17.9","50.69","0.29","1.99","1","14","28","25","34","10","5","5.62","3","68.01","35.31268495","5","5","10.43","4","6","2.2","1","9","3.2","12.2","42","0.157142857","0.035714286","0.076190476","1.68","1.235294118","0.56","0.411764706","0.128","0.094117647","0.36","0.264705882","33.33333333","26.2295082","73.52941176","1.130005918","2.156862745","2.933333333","3.137254902","4.266666667","8.823529412","12","1.10784894","1.506674558","11.96078431","16.26666667"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00013","","","","4","6.92","1.75","1.14","16.01","50.3","2.48","4.45","1","10","35","29","34","24","5","3.12","2","65.57","31.82902584","4","4","8.7","4","3","1.4","1.1","18.5","2.5","21","45","0.14","0.031428571","0.055555556","1.551724138","1.323529412","0.344827586","0.294117647","0.086206897","0.073529412","0.637931034","0.544117647","22.22222222","11.9047619","85.29411765","0.795725646","1.37254902","1.609195402","2.450980392","2.873563218","18.1372549","21.26436782","0.780123182","0.914627179","20.58823529","24.13793103"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00014","","","","2","5.51","2.02","1.19","14.02","50.78","1.47","3.06","1","22","68","30","34","28","6","4.07","2","65.39","27.609295","5","5","11.72","4","5","3.3","3","14","6.3","20.3","90","0.15","0.044117647","0.07","3","2.647058824","0.733333333","0.647058824","0.21","0.185294118","0.466666667","0.411764706","24.44444444","31.03448276","88.23529412","1.739385585","3.235294118","3.666666667","6.176470588","7","13.7254902","15.55555556","1.705279985","1.93265065","19.90196078","22.55555556"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00015","","","","2","3.02","1.79","1.16","15.53","50.38","3.1","5.17","1","40","20","28","34","27","2","3.45","3","65.3","30.82572449","5","6","8.36","4","4","6.4","1.6","11","8","19","60","0.16","0.08","0.133333333","2.142857143","1.764705882","1.428571429","1.176470588","0.285714286","0.235294118","0.392857143","0.323529412","66.66666667","42.10526316","82.35294118","2.46605796","6.274509804","7.619047619","7.843137255","9.523809524","10.78431373","13.0952381","2.417703882","2.935783285","18.62745098","22.61904762"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00016","","","","4","5.43","1.76","1.21","16.22","50.29","2.06","3.99","1","11","40","29","34","24","5","3.55","2","67.2","32.25293299","4","5","8.26","4","3","1.5","1.3","15","2.8","17.8","51","0.136363636","0.0325","0.054901961","1.75862069","1.5","0.379310345","0.323529412","0.096551724","0.082352941","0.517241379","0.441176471","21.56862745","15.73033708","85.29411765","0.903082124","1.470588235","1.724137931","2.745098039","3.218390805","14.70588235","17.24137931","0.885374631","1.03802543","17.45098039","20.45977011"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00017","","","","3","0","2","1.48","16.73","50.19","0.34","2.06","1","15","33","25","34","12","5","5.81","2","66.95","33.33333333","5","6","10.94","3","6","3.2","1.3","9","4.5","13.5","48","0.213333333","0.039393939","0.09375","1.92","1.411764706","0.6","0.441176471","0.18","0.132352941","0.36","0.264705882","31.25","33.33333333","73.52941176","1.5","3.137254902","4.266666667","4.411764706","6","8.823529412","12","1.470588235","2","13.23529412","18"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00018","","","","2","3.94","2.06","1.2","15","50.1","0.97","2.1","1","45","6","30","34","29","6","4.45","2","63.78","29.94011976","5","6","14.79","4","5","5.3","1.9","10","7.2","17.2","51","0.117777778","0.316666667","0.141176471","1.7","1.5","1.5","1.323529412","0.24","0.211764706","0.333333333","0.294117647","88.23529412","41.86046512","88.23529412","2.155688623","5.196078431","5.888888889","7.058823529","8","9.803921569","11.11111111","2.113420218","2.395209581","16.8627451","19.11111111"
