"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00001","","","","1","8.59","2.29","1.2","20.25","50.87","0.79","2.25","1","3","2","10","14","3","5.4","1","67.61","39.80735207","4","5","11.68","0.8","0.8","6.4","1.6","8","5","0.266666667","0.4","0.32","0.5","0.357142857","0.3","0.214285714","0.16","0.114285714","0.64","0.457142857","60","20","71.42857143","0.636917633","1.904761905","2.666666667","3.80952381","5.333333333","15.23809524","21.33333333","1.516470555","2.123058777","19.04761905","26.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00010","","","","1","0","2.14","1.3","21.39","50.2","0.99","2.8","2","6","13","7","14","5","5.94","2","70.45","42.60956175","4","6","7.48","1.5","1.2","3.8","2.7","6.5","19","0.25","0.092307692","0.142105263","2.714285714","1.357142857","0.857142857","0.428571429","0.385714286","0.192857143","0.542857143","0.271428571","31.57894737","41.53846154","50","1.150458167","3.571428571","7.142857143","6.428571429","12.85714286","9.047619048","18.0952381","2.739186113","5.478372225","15.47619048","30.95238095"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00011","","","","1","0","1.79","1.23","20.57","50.65","0","1.76","1","12","10","9","14","8","4.32","1","76.07","40.61204344","4","6","6.27","4","1.4","4.6","5.4","10","22","0.333333333","0.14","0.245454545","2.444444444","1.571428571","1.333333333","0.857142857","0.6","0.385714286","0.511111111","0.328571429","54.54545455","54","64.28571429","2.193050346","9.523809524","14.81481481","12.85714286","20","10.95238095","17.03703704","5.221548442","8.122408687","23.80952381","37.03703704"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00012","","","","2","18.14","2.77","1.39","12.53","50.48","4.19","6.1","3","14","6","10","14","9","6.36","3","56.14","24.82171157","5","6","16.38","4.4","0.5","3.6","4.9","8.5","20","0.314285714","0.083333333","0.245","2","1.428571429","1.4","1","0.49","0.35","0.36","0.257142857","70","57.64705882","71.42857143","1.216263867","10.47619048","14.66666667","11.66666667","16.33333333","8.571428571","12","2.89586635","4.05421289","20.23809524","28.33333333"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00013","","","","3","24.34","2.72","1.38","14.68","50.56","4.96","7.75","3","7","18","10","14","9","5.8","4","57.21","29.03481013","4","4","12.34","1.3","1","1.5","2.3","3.8","25","0.185714286","0.055555556","0.092","2.5","1.785714286","0.7","0.5","0.23","0.164285714","0.15","0.107142857","28","60.52631579","71.42857143","0.667800633","3.095238095","4.333333333","5.476190476","7.666666667","3.571428571","5","1.590001507","2.22600211","9.047619048","12.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00014","","","","1","2.79","2.13","1.12","22.96","50.74","1.04","2.75","1","2","9","9","14","8","5.52","1","73.5","45.25029562","3","3","6.22","0.5","0.4","2.5","0.9","3.4","11","0.25","0.044444444","0.081818182","1.222222222","0.785714286","0.222222222","0.142857143","0.1","0.064285714","0.277777778","0.178571429","18.18181818","26.47058824","64.28571429","0.407252661","1.19047619","1.851851852","2.142857143","3.333333333","5.952380952","9.259259259","0.969649192","1.508343187","8.095238095","12.59259259"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00015","","","","3","39.15","3.33","2.07","10.5","50.68","3.91","7.7","3","14","12","10","14","10","7.55","3","44.81","20.71823204","5","6","16.23","5.5","0.7","4.5","6.2","10.7","26","0.392857143","0.058333333","0.238461538","2.6","1.857142857","1.4","1","0.62","0.442857143","0.45","0.321428571","53.84615385","57.94392523","71.42857143","1.284530387","13.0952381","18.33333333","14.76190476","20.66666667","10.71428571","15","3.058405683","4.281767956","25.47619048","35.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00016","","","","1","3.69","2.31","1.38","17","50.35","0.94","2.65","1","14","15","10","14","10","5.74","1","68.56","33.76365442","5","5","9.59","4","1","5.4","5","10.4","29","0.285714286","0.066666667","0.172413793","2.9","2.071428571","1.4","1","0.5","0.357142857","0.54","0.385714286","48.27586207","48.07692308","71.42857143","1.688182721","9.523809524","13.33333333","11.9047619","16.66666667","12.85714286","18","4.019482669","5.627275737","24.76190476","34.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00017","","","","1","0","2.13","1.21","16.74","50.33","3.05","5.48","1","8","10","9","14","9","5.71","1","63.78","33.26048083","6","5","10.32","1.1","0.5","1.8","1.6","3.4","18","0.1375","0.05","0.088888889","2","1.285714286","0.888888889","0.571428571","0.177777778","0.114285714","0.2","0.128571429","44.44444444","47.05882353","64.28571429","0.532167693","2.619047619","4.074074074","3.80952381","5.925925926","4.285714286","6.666666667","1.267065936","1.970991456","8.095238095","12.59259259"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00018","","","","1","2.38","2.3","1.28","16.77","50.18","0.29","1.77","1","8","10","10","14","6","6.06","1","71.14","33.41968912","5","5","10.28","2.1","0.5","12.8","2.6","15.4","18","0.2625","0.05","0.144444444","1.8","1.285714286","0.8","0.571428571","0.26","0.185714286","1.28","0.914285714","44.44444444","16.88311688","71.42857143","0.868911917","5","7","6.19047619","8.666666667","30.47619048","42.66666667","2.068837898","2.896373057","36.66666667","51.33333333"
