"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00001","","","","3","0","1.88","1.01","20.91","50.72","1.27","2.27","1","5","40","42","42","45","35","1","8","4.19","3","73.76","3","41.22634069","5","5","5.1","7","4","4","9.1","1.4","10.4","10.5","20.9","45","1.82","0.035","0.233333333","1.071428571","1","0.119047619","0.111111111","0.25","0.233333333","0.247619048","0.231111111","11.11111111","50.23923445","93.33333333","4.328765773","6.740740741","7.222222222","7.777777778","8.333333333","7.703703704","8.253968254","3.206493165","3.435528391","15.48148148","16.58730159"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00010","","","","3","0","1.93","0.96","20.45","50.3","2.02","3.25","1","10","29","40","40","45","24","5","9","4.19","2","70.94","2","40.65606362","4","3","6.4","4","4","4","1.3","1.4","4.4","2.7","7.1","39","0.13","0.048275862","0.069230769","0.975","0.866666667","0.25","0.222222222","0.0675","0.06","0.11","0.097777778","25.64102564","38.02816901","88.88888889","1.097713718","0.962962963","1.083333333","2","2.25","3.259259259","3.666666667","0.813121272","0.914761431","5.259259259","5.916666667"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00011","","","","4","0","1.89","0.91","19.1","50.58","2.18","3.49","1","15","25","27","27","45","15","5","3","3.62","3","68.9","5","37.76196125","6","6","7.73","5","6","6","3.9","1.1","4.4","5","9.4","40","0.26","0.044","0.125","1.481481481","0.888888889","0.555555556","0.333333333","0.185185185","0.111111111","0.162962963","0.097777778","37.5","53.19148936","60","1.888098062","2.888888889","4.814814815","3.703703704","6.172839506","3.259259259","5.432098765","1.398591157","2.330985262","6.962962963","11.60493827"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00012","","","","2","0","1.83","0.81","18.65","50.14","2.56","3.82","2","75","60","35","35","45","34","5","8","4.17","2","69.46","5","37.19585162","4","6","7.77","7","3","4","15.9","2.6","3.8","18.5","22.3","135","0.212","0.043333333","0.137037037","3.857142857","3","2.142857143","1.666666667","0.528571429","0.411111111","0.108571429","0.084444444","55.55555556","82.95964126","77.77777778","6.881232549","11.77777778","15.14285714","13.7037037","17.61904762","2.814814815","3.619047619","5.097209295","6.553554808","16.51851852","21.23809524"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00013","","","","3","0","1.58","0.85","19.74","50.54","2.13","3.64","2","11","45","33","33","45","23","5","3","3.64","4","71.61","3","39.05817175","5","5","4.64","5","5","4","1.9","26","6.2","27.9","34.1","56","0.172727273","0.577777778","0.498214286","1.696969697","1.244444444","0.333333333","0.244444444","0.845454545","0.62","0.187878788","0.137777778","19.64285714","81.81818182","73.33333333","10.89722992","1.407407407","1.919191919","20.66666667","28.18181818","4.592592593","6.262626263","8.072022161","11.00730295","25.25925926","34.44444444"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00014","","","","2","0","1.63","0.74","21.07","50.14","2.2","3.76","1","15","25","32","32","45","21","5","9","2.82","2","72.78","2","42.02233746","4","3","5.62","5","4","4","2","1","5.8","3","8.8","40","0.133333333","0.04","0.075","1.25","0.888888889","0.46875","0.333333333","0.09375","0.066666667","0.18125","0.128888889","37.5","34.09090909","71.11111111","1.260670124","1.481481481","2.083333333","2.222222222","3.125","4.296296296","6.041666667","0.933829721","1.313198045","6.518518519","9.166666667"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00015","","","","2","9.19","1.84","0.87","16.11","50.82","2.38","3.48","1","32","56","44","44","45","42","6","2","2.6","3","66.54","5","31.70011806","5","7","11.55","6","3","3","7.1","3.5","7.8","10.6","18.4","88","0.221875","0.0625","0.120454545","2","1.955555556","0.727272727","0.711111111","0.240909091","0.235555556","0.177272727","0.173333333","36.36363636","57.60869565","97.77777778","3.360212515","5.259259259","5.378787879","7.851851852","8.03030303","5.777777778","5.909090909","2.489046307","2.545615541","13.62962963","13.93939394"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00016","","","","3","","2.91","1.73","8.2","50.23","6.19","9.89","1","55","46","29","29","45","29","8","6","4.2","5","40.92","2","16.32490543","5","7","26.58","5","4","5","11.1","2.6","2.2","13.7","15.9","101","0.201818182","0.056521739","0.135643564","3.482758621","2.244444444","1.896551724","1.222222222","0.472413793","0.304444444","0.075862069","0.048888889","54.45544554","86.16352201","64.44444444","2.236512045","8.222222222","12.75862069","10.14814815","15.74712644","1.62962963","2.528735632","1.656675589","2.5707035","11.77777778","18.27586207"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00017","","","","2","1.54","1.81","0.8","19.99","50.64","2.69","3.86","1","15","40","28","28","45","24","2","6","3.06","2","70.91","3","39.47472354","6","7","5.68","6","3","4","6.1","3.6","4.2","9.7","13.9","55","0.406666667","0.09","0.176363636","1.964285714","1.222222222","0.535714286","0.333333333","0.346428571","0.215555556","0.15","0.093333333","27.27272727","69.78417266","62.22222222","3.829048183","4.518518519","7.261904762","7.185185185","11.54761905","3.111111111","5","2.836331988","4.558390694","10.2962963","16.54761905"
"","","GHP2014KMD-AT04","","","","","","","","","GHP2014KMD-AT04-00018","","","","2","0","1.42","0.85","21.42","50.57","1.62","2.71","1","24","42","36","36","45","24","2","6","2.69","3","74.3","9","42.35712873","5","5","4.28","7","4","4","4.5","2","11.2","6.5","17.7","66","0.1875","0.047619048","0.098484848","1.833333333","1.466666667","0.666666667","0.533333333","0.180555556","0.144444444","0.311111111","0.248888889","36.36363636","36.72316384","80","2.753213368","3.333333333","4.166666667","4.814814815","6.018518519","8.296296296","10.37037037","2.039417309","2.549271637","13.11111111","16.38888889"
