"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00001","","","","4","21","50.7","2.3595181","4.6587381","1","0","13","34","7","34","7","3","3","69.1414108","2","4","4","0","0.6","4.5","0.6","5.1","13","","0.046153846","0.046153846","1.857142857","0.382352941","0","0","0.085714286","0.017647059","0.642857143","0.132352941","0","11.76470588","20.58823529","41.42011834","0.24852071","0","0","0.588235294","2.857142857","4.411764706","21.42857143","0.243647755","1.183431953","5","24.28571429"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00010","","","","4","18.8","50.8","0.161679","1.6265","1","16","27","34","24","34","19","3","1","64.1903","6","5","5","4","2.8","21","6.8","27.8","43","0.25","0.103703704","0.158139535","1.791666667","1.264705882","0.666666667","0.470588235","0.283333333","0.2","0.875","0.617647059","37.20930233","24.46043165","70.58823529","37.00787402","2.516535433","3.921568627","5.555555556","6.666666667","9.444444444","20.58823529","29.16666667","2.467191601","3.495188101","27.25490196","38.61111111"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00011","","","","3","17.2","50.5","0.522212","1.7589279","1","34","90","34","25","34","25","4","4","66.6431351","4","5","5","5.4","5","18.5","10.4","28.9","124","0.158823529","0.055555556","0.083870968","4.96","3.647058824","1.36","1","0.416","0.305882353","0.74","0.544117647","27.41935484","35.98615917","73.52941176","34.05940594","3.542178218","5.294117647","7.2","10.19607843","13.86666667","18.1372549","24.66666667","3.472723743","4.72290429","28.33333333","38.53333333"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00012","","","","2","18","50.7","1.341048","3.050684","1","8","74","34","28","34","27","5","2","66.0039291","6","4","4","3.6","4.1","20.5","7.7","28.2","82","0.45","0.055405405","0.093902439","2.928571429","2.411764706","0.285714286","0.235294118","0.275","0.226470588","0.732142857","0.602941176","9.756097561","27.30496454","82.35294118","35.50295858","2.733727811","3.529411765","4.285714286","7.549019608","9.166666667","20.09803922","24.4047619","2.680125305","3.25443787","27.64705882","33.57142857"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00013","","","","1","19.4","50.1","2.058466","4.3288169","1","0","14","34","3","34","3","3","1","68.7697449","2","4","4","0","0.5","1.9","0.5","2.4","14","","0.035714286","0.035714286","4.666666667","0.411764706","0","0","0.166666667","0.014705882","0.633333333","0.055882353","0","20.83333333","8.823529412","38.72255489","0.193612774","0","0","0.490196078","5.555555556","1.862745098","21.11111111","0.189816446","2.151253049","2.352941176","26.66666667"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00014","","","","2","16.3","50.5","0.472116","1.728393","1","50","48","34","30","34","30","6","2","62.8040733","8","5","4","10","2.3","17.5","12.3","29.8","98","0.2","0.047916667","0.125510204","3.266666667","2.882352941","1.666666667","1.470588235","0.41","0.361764706","0.583333333","0.514705882","51.02040816","41.27516779","88.23529412","32.27722772","3.97009901","9.803921569","11.11111111","12.05882353","13.66666667","17.15686275","19.44444444","3.892253931","4.411221122","29.21568627","33.11111111"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00015","","","","3","17.5","50","0.52629","2.0975499","1","11","30","34","24","34","24","6","2","64.4006119","2","3","3","1.4","1.5","17.2","2.9","20.1","41","0.127272727","0.05","0.070731707","1.708333333","1.205882353","0.458333333","0.323529412","0.120833333","0.085294118","0.716666667","0.505882353","26.82926829","14.4278607","70.58823529","35","1.015","1.37254902","1.944444444","2.843137255","4.027777778","16.8627451","23.88888889","0.995098039","1.409722222","19.70588235","27.91666667"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00016","","","","4","18","50.2","0.385304","2.261657","1","0","17","33","21","34","7","5","2","65.5796356","2","3","3","0","1","18.8","1","19.8","17","","0.058823529","0.058823529","0.80952381","0.5","0","0","0.047619048","0.029411765","0.895238095","0.552941176","0","5.050505051","61.76470588","35.85657371","0.358565737","0","0","0.980392157","1.587301587","18.43137255","29.84126984","0.351535036","0.569151964","19.41176471","31.42857143"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00017","","","","3","18.2","50.2","0.58538","2.298038","1","7","50","34","27","34","23","4","3","68.9480362","4","7","6","1.1","2","5","3.1","8.1","57","0.157142857","0.04","0.054385965","2.111111111","1.676470588","0.259259259","0.205882353","0.114814815","0.091176471","0.185185185","0.147058824","12.28070175","38.27160494","79.41176471","36.25498008","1.123904382","1.078431373","1.358024691","3.039215686","3.827160494","4.901960784","6.172839506","1.101867042","1.387536275","7.941176471","10"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00018","","","","3","19.6","50.4","0.506619","2.2062371","1","6","7","34","22","34","11","5","2","67.5554504","3","3","3","0.8","0.6","12","1.4","13.4","13","0.133333333","0.085714286","0.107692308","0.590909091","0.382352941","0.272727273","0.176470588","0.063636364","0.041176471","0.545454545","0.352941176","46.15384615","10.44776119","64.70588235","38.88888889","0.544444444","0.784313725","1.212121212","1.37254902","2.121212121","11.76470588","18.18181818","0.533769063","0.824915825","13.1372549","20.3030303"
