"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00001","","","","5","1.0440807","35.88888889","1.795769","0.824543","15.17777778","5.4647002","8.1634274","57.70897833","1","70","20","23","30","23","4","6","2.690752","1","64.0600128","","3","77.77777778","3","19.82222222","9.358882","90","3.913043478","18.64","7","1","17.84","0.8","13.66","20.71111111","32.3","0.254857143","0.04","0.207111111","3","3.043478261","2.333333333","0.810434783","0.621333333","0.593913043","0.455333333","76.66666667","","25.85507246","27.01449275","19.79710145","","","46.8115942"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00010","","","","3","0.6810322","11.46666667","2.294539","1.191126","8","1.9198231","3.2052181","30.23255814","1","10","40","14","30","13","6","4","4.9393158","1","63.3393478","35.45110536","1","20","7","1.6","12.8874674","50","3.571428571","3.12","7","2","1.44","1.68","7.2","3.466666667","10.32","0.144","0.042","0.0624","1.666666667","0.714285714","0.333333333","0.222857143","0.104","0.514285714","0.24","46.66666667","1.106074487","3.428571429","7.428571429","17.14285714","1.228971652","2.633510684","24.57142857"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00011","","","","5","16.5152092","35.62222222","2.439424","1.359296","18.95555556","0.66812","1.867569","46.78727386","1","52","45","19","30","19","7","3","5.9339261","1","64.4153976","37.01492537","3","53.60824742","3","14.42222222","13.0676336","97","5.105263158","15","7","1","12.98","2.02","17.06","16.66666667","32.06","0.249615385","0.044888889","0.154639175","3.233333333","2.736842105","1.733333333","0.789473684","0.5","0.897894737","0.568666667","63.33333333","5.552238806","22.77192982","26.31578947","29.92982456","6.169154228","9.740769834","56.24561404"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00012","","","","1","4.4858685","66.95555556","1.6766289","0.828155","33.55555556","3.281332","4.736444","49.88383671","1","103","60","27","30","27","5","7","2.688416","1","63.3263512","30.53149606","1","63.19018405","1","31.11111111","12.9500151","163","6.037037037","30.06","7","8","28","2.06","30.2","33.4","60.26","0.27184466","0.034333333","0.184417178","5.433333333","3.814814815","3.433333333","1.113333333","1.002","1.118518519","1.006666667","90","9.177767716","34.56790123","37.11111111","37.28395062","10.19751968","11.33057743","74.39506173"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00013","","","","1","41.6926765","38.57777778","2.1166871","0.811604","15.4","1.4530981","2.4289889","60.08064516","1","96","81","28","30","28","9","9","3.7075961","1","68.0073929","40.43868395","1","54.23728814","3","19.4","14.6823587","177","6.321428571","20.86","8","1","17.46","3.4","13.86","23.17777778","34.72","0.181875","0.041975309","0.117853107","5.9","3.428571429","3.2","0.745","0.695333333","0.495","0.462","93.33333333","8.435509472","20.78571429","24.83333333","16.5","9.372788302","10.04227318","41.33333333"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00014","","","","1","47.5629539","23.55555556","2.062845","0.936579","13.95555556","2.5073991","4.6937208","40.75471698","3","35","42","18","30","18","9","9","3.8801501","1","66.1071701","39.29069536","3","45.45454545","3","7.288888889","11.380971","77","4.277777778","8.64","7","2","6.56","2.08","12.56","9.6","21.2","0.187428571","0.04952381","0.112207792","2.566666667","1.944444444","1.166666667","0.48","0.288","0.697777778","0.418666667","60","3.394716079","12.14814815","16","23.25925926","3.771906755","6.286511258","39.25925926"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00015","","","","1","39.5844498","34.84444444","2.2466609","1.115571","14.48888889","5.5039759","8.3846798","58.41836735","5","50","44","23","30","23","7","7","2.600811","3","50.1549873","22.74815259","5","53.19148936","1","18.11111111","20.2740612","94","4.086956522","18.32","7","1","16.3","2.02","13.04","20.35555556","31.36","0.326","0.045909091","0.194893617","3.133333333","2.173913043","1.666666667","0.796521739","0.610666667","0.566956522","0.434666667","76.66666667","4.167461554","23.62318841","26.55072464","18.89855072","4.630512838","6.039799354","45.44927536"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00016","","","","3","","21.02222222","","","6.688888889","","","68.18181818","1","45","60","22","30","22","","","","3","","","1","42.85714286","3","10.62222222","","105","4.772727273","12.9","7","1","9.56","3.34","6.02","14.33333333","18.92","0.212444444","0.055666667","0.122857143","3.5","2.045454545","1.5","0.586363636","0.43","0.273636364","0.200666667","73.33333333","","14.48484848","19.54545455","9.121212121","","","28.66666667"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00017","","","","3","","46.17777778","","","18.91111111","","","59.04716073","1","72","42","27","30","27","","","","1","","","1","63.15789474","3","25.17777778","","114","4.222222222","24.54","9","1","22.66","1.88","17.02","27.26666667","41.56","0.314722222","0.044761905","0.215263158","3.8","2.666666667","2.4","0.908888889","0.818","0.63037037","0.567333333","90","","27.97530864","30.2962963","21.01234568","","","51.30864198"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00018","","","","1","2.8622551","21.13333333","1.825779","0.844186","12.24444444","1.428367","2.26208","42.06098843","1","42","52","24","30","24","6","4","2.748327","1","67.0714569","34.47596533","1","44.68085106","7","6.444444444","11.7303772","94","3.916666667","8","6","2","5.8","2.2","11.02","8.888888889","19.02","0.138095238","0.042307692","0.085106383","3.133333333","1.75","1.4","0.333333333","0.266666667","0.459166667","0.367333333","80","2.758077226","8.055555556","11.11111111","15.30555556","3.064530252","3.830662814","26.41666667"
