"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00001","","","","3","1.56","2.1","1.26","17.91","50.43","1.12","2.39","1","0","12","34","12","34","10","5.1","1","66.51","35.51457466","3","2","11.93","4","5","0","0.3","15","0.3","15.3","12","","0.025","0.025","1","0.352941176","0","0","0.025","0.008823529","1.25","0.441176471","0","1.960784314","35.29411765","0.106543724","0","0","0.294117647","0.833333333","14.70588235","41.66666667","0.104454631","0.295954789","15","42.5"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00010","","","","2","11.21","2.07","1.44","17.79","50.16","1.2","3","1","27","31","34","28","34","24","3.82","2","63.69","35.46650718","5","6","13.11","6","4","5.3","1.1","15","6.4","21.4","58","0.196296296","0.035483871","0.110344828","2.071428571","1.705882353","0.964285714","0.794117647","0.228571429","0.188235294","0.535714286","0.441176471","46.55172414","29.90654206","82.35294118","2.269856459","5.196078431","6.30952381","6.274509804","7.619047619","14.70588235","17.85714286","2.22534947","2.702210071","20.98039216","25.47619048"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00011","","","","1","0.41","1.67","1.27","15.61","50.1","0.6","2.01","1","30","46","34","26","34","21","3.15","1","69.23","31.15768463","4","5","9.59","3","6","3.9","1.8","15.5","5.7","21.2","76","0.13","0.039130435","0.075","2.923076923","2.235294118","1.153846154","0.882352941","0.219230769","0.167647059","0.596153846","0.455882353","39.47368421","26.88679245","76.47058824","1.775988024","3.823529412","5","5.588235294","7.307692308","15.19607843","19.87179487","1.741164729","2.276907723","20.78431373","27.17948718"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00012","","","","2","6.01","1.77","1.06","15.36","50.78","3.35","5.71","1","21","32","34","24","34","18","3.1","2","67.09","30.24812918","5","5","6.62","4","4","2.7","1.5","8.5","4.2","12.7","53","0.128571429","0.046875","0.079245283","2.208333333","1.558823529","0.875","0.617647059","0.175","0.123529412","0.354166667","0.25","39.62264151","33.07086614","70.58823529","1.270421426","2.647058824","3.75","4.117647059","5.833333333","8.333333333","11.80555556","1.245511202","1.764474202","12.45098039","17.63888889"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00013","","","","3","3.44","2.13","1.26","16.4","46.82","1.3","2.6","1","0","10","34","5","34","4","5.03","1","65.16","35.02776591","4","3","13.1","4","5","0","0.2","4","0.2","4.2","10","","0.02","0.02","2","0.294117647","0","0","0.04","0.005882353","0.8","0.117647059","0","4.761904762","14.70588235","0.070055532","0","0","0.196078431","1.333333333","3.921568627","26.66666667","0.068681894","0.467036879","4.117647059","28"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00014","","","","2","0.53","1.82","1.3","14.57","50.61","1.29","3.29","1","28","63","34","28","34","24","3.99","2","67.21","28.78877692","5","5","9.09","4","4","3.9","2.1","11","6","17","91","0.139285714","0.033333333","0.065934066","3.25","2.676470588","1","0.823529412","0.214285714","0.176470588","0.392857143","0.323529412","30.76923077","35.29411765","82.35294118","1.727326615","3.823529412","4.642857143","5.882352941","7.142857143","10.78431373","13.0952381","1.693457466","2.056341209","16.66666667","20.23809524"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00015","","","","2","1.43","2.56","1.81","15.65","50.47","1.7","2.88","1","3","14","34","27","34","2","7.45","1","63.62","31.00851991","3","2","8.89","4","3","0.4","0.3","15","0.7","15.7","17","0.133333333","0.021428571","0.041176471","0.62962963","0.5","0.111111111","0.088235294","0.025925926","0.020588235","0.555555556","0.441176471","17.64705882","4.458598726","79.41176471","0.217059639","0.392156863","0.49382716","0.68627451","0.864197531","14.70588235","18.51851852","0.212803568","0.267974863","15.39215686","19.38271605"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00016","","","","3","0","1.88","1.36","16.73","50.34","0.79","2.45","1","5","13","34","22","34","4","4.21","2","68.98","33.23400874","5","4","8.99","4","3","0.7","0.3","17.5","1","18.5","18","0.14","0.023076923","0.055555556","0.818181818","0.529411765","0.227272727","0.147058824","0.045454545","0.029411765","0.795454545","0.514705882","27.77777778","5.405405405","64.70588235","0.332340087","0.68627451","1.060606061","0.980392157","1.515151515","17.15686275","26.51515152","0.325823615","0.503545587","18.1372549","28.03030303"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00017","","","","2","7.45","1.75","1.28","13.93","50.62","1.53","3.22","1","7","27","34","23","34","6","2.17","3","67.01","27.51876729","5","7","10.28","3","7","1.4","0.6","11.5","2","13.5","34","0.2","0.022222222","0.058823529","1.47826087","1","0.304347826","0.205882353","0.086956522","0.058823529","0.5","0.338235294","20.58823529","14.81481481","67.64705882","0.550375346","1.37254902","2.028985507","1.960784314","2.898550725","11.2745098","16.66666667","0.539583672","0.797645429","13.23529412","19.56521739"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00018","","","","3","0","2.14","1.46","17.44","50.09","1.09","2.59","1","8","18","34","23","34","14","5.36","3","66.28","34.81732881","5","6","10.5","4","3","1.4","0.5","21","1.9","22.9","26","0.175","0.027777778","0.073076923","1.130434783","0.764705882","0.347826087","0.235294118","0.082608696","0.055882353","0.913043478","0.617647059","30.76923077","8.296943231","67.64705882","0.661529247","1.37254902","2.028985507","1.862745098","2.753623188","20.58823529","30.43478261","0.648558086","0.95873804","22.45098039","33.1884058"
