"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00001","","","","3","1.753023028","1.053058982","19.1","2","50.6","0.144998997","1.014410019","2","70","47","30","30","30","30","1","8","4.206298828","3","75.57466125","8","37.74703557","8","1","3","0.180271","8","1","3","16.7","3","28.5","19.7","48.2","117","0.238571429","0.063829787","0.168376068","3.9","3.9","2.333333333","2.333333333","0.656666667","0.656666667","0.95","0.95","59.82905983","40.87136929","100","7.436166008","18.55555556","18.55555556","21.88888889","21.88888889","31.66666667","31.66666667","8.262406675","8.262406675","53.55555556","53.55555556"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00010","","","","1","1.436717987","0.857230008","18.6","2","50.8","2.986145973","4.384434223","2","44","22","30","30","30","30","5","8","2.351552963","3","72.25301361","2","36.61417323","6","3","2","0.25781101","5","3","3","10","1.2","17.2","11.2","28.4","66","0.227272727","0.054545455","0.16969697","2.2","2.2","1.466666667","1.466666667","0.373333333","0.373333333","0.573333333","0.573333333","66.66666667","39.43661972","100","4.100787402","11.11111111","11.11111111","12.44444444","12.44444444","19.11111111","19.11111111","4.556430446","4.556430446","31.55555556","31.55555556"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00011","","","","2","2.052170038","1.247622013","19.7","2","50.3","0.810958982","2.505089998","2","39","32","30","27","30","27","6","6","3.71023798","2","74.81542206","2","39.16500994","6","2","2","1.663490057","5","1","3","6.6","1.3","8","7.9","15.9","71","0.169230769","0.040625","0.111267606","2.62962963","2.366666667","1.444444444","1.3","0.292592593","0.263333333","0.296296296","0.266666667","54.92957746","49.68553459","90","3.094035785","7.333333333","8.148148148","8.777777778","9.75308642","8.888888889","9.87654321","3.437817539","3.819797266","17.66666667","19.62962963"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00012","","","","2","1.919008017","1.082911015","19.1","2","51","1.479179978","2.860773087","2","39","34","30","30","30","28","5","3","3.787755966","2","73.07341766","1","37.45098039","6","3","2","0.455419004","6","1","4","5.9","2","15.5","7.9","23.4","73","0.151282051","0.058823529","0.108219178","2.433333333","2.433333333","1.3","1.3","0.263333333","0.263333333","0.516666667","0.516666667","53.42465753","33.76068376","100","2.958627451","6.555555556","6.555555556","8.777777778","8.777777778","17.22222222","17.22222222","3.287363834","3.287363834","26","26"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00013","","","","3","1.679085016","1.064208984","18.9","2","50.1","0.545342028","1.62419796","2","47","31","30","29","30","27","1","8","4.024995804","2","76.64517212","8","37.7245509","8","1","3","0","8","3","3","14.6","1.2","30.5","15.8","46.3","78","0.310638298","0.038709677","0.202564103","2.689655172","2.6","1.620689655","1.566666667","0.544827586","0.526666667","1.051724138","1.016666667","60.25641026","34.12526998","96.66666667","5.960479042","16.22222222","16.7816092","17.55555556","18.16091954","33.88888889","35.05747126","6.622754491","6.851125336","51.44444444","53.2183908"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00014","","","","2","1.667040944","1.185991049","18.9","2","50.6","1.13764298","2.65256691","1","9","31","30","28","30","19","5","3","4.420481205","3","69.22354889","3","37.35177866","4","2","2","3.068196058","5","4","4","1.1","1.5","18.5","2.6","21.1","40","0.122222222","0.048387097","0.065","1.428571429","1.333333333","0.321428571","0.3","0.092857143","0.086666667","0.660714286","0.616666667","22.5","12.32227488","93.33333333","0.971146245","1.222222222","1.30952381","2.888888889","3.095238095","20.55555556","22.02380952","1.079051383","1.156126482","23.44444444","25.11904762"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00015","","","","3","1.986088037","1.234711051","21","2","50.7","0.713064015","1.992195964","1","39","37","30","30","30","26","5","9","4.330792904","2","73.28044128","3","41.42011834","6","1","2","2.066900015","4","1","4","4.9","2.4","9.6","7.3","16.9","76","0.125641026","0.064864865","0.096052632","2.533333333","2.533333333","1.3","1.3","0.243333333","0.243333333","0.32","0.32","51.31578947","43.19526627","100","3.023668639","5.444444444","5.444444444","8.111111111","8.111111111","10.66666667","10.66666667","3.359631821","3.359631821","18.77777778","18.77777778"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00016","","","","2","1.989500046","1.152428031","20.5","2","50.3","0.594278991","1.984213948","2","28","12","30","25","30","20","5","9","4.312913895","2","74.7335968","2","40.7554672","7","2","1","0.541765988","6","1","3","6.3","0.6","20","6.9","26.9","40","0.225","0.05","0.1725","1.6","1.333333333","1.12","0.933333333","0.276","0.23","0.8","0.666666667","70","25.65055762","83.33333333","2.812127237","7","8.4","7.666666667","9.2","22.22222222","26.66666667","3.124585818","3.749502982","29.88888889","35.86666667"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00017","","","","2","2.084064007","1.064658046","15.5","2","50.7","2.046603918","2.970346928","2","6","52","30","30","30","24","8","6","3.644912958","3","64.56015015","9","30.57199211","5","3","3","9.072315216","7","1","1","1.3","2.7","17.5","4","21.5","58","0.216666667","0.051923077","0.068965517","1.933333333","1.933333333","0.2","0.2","0.133333333","0.133333333","0.583333333","0.583333333","10.34482759","18.60465116","100","1.222879684","1.444444444","1.444444444","4.444444444","4.444444444","19.44444444","19.44444444","1.358755205","1.358755205","23.88888889","23.88888889"
"","","GHP2015EJR-AT02","","","","","","","","","GHP2015EJR-AT02-00018","","","","2","1.440458059","0.909102976","18.6","2","50.9","2.524286032","4.094128132","1","31","22","30","28","30","21","5","8","2.30852294","2","73.34709167","2","36.54223969","7","4","2","0.777496994","7","5","3","7.9","1.1","21.2","9","30.2","53","0.25483871","0.05","0.169811321","1.892857143","1.766666667","1.107142857","1.033333333","0.321428571","0.3","0.757142857","0.706666667","58.49056604","29.8013245","93.33333333","3.288801572","8.777777778","9.404761905","10","10.71428571","23.55555556","25.23809524","3.654223969","3.915239966","33.55555556","35.95238095"
