"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00001","","","","1","1","6","2","28","30","7","1","4","5","5","0.8","0.1","7","0.9","7.9","8","0.133333333","0.05","0.1125","0.285714286","0.266666667","0.214285714","0.2","0.032142857","0.03","0.25","0.233333333","75","11.39240506","93.33333333","0.888888889","0.952380952","1","1.071428571","7.777777778","8.333333333","8.777777778","9.404761905"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00010","","","","3","1","18","3","25","30","15","1","3","3","5","2.2","0.3","5.5","2.5","8","21","0.122222222","0.1","0.119047619","0.84","0.7","0.72","0.6","0.1","0.083333333","0.22","0.183333333","85.71428571","31.25","83.33333333","2.444444444","2.933333333","2.777777778","3.333333333","6.111111111","7.333333333","8.888888889","10.66666667"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00011","","","","3","1","20","4","28","30","25","1","4","5","4","2.1","0.4","4.5","2.5","7","24","0.105","0.1","0.104166667","0.857142857","0.8","0.714285714","0.666666667","0.089285714","0.083333333","0.160714286","0.15","83.33333333","35.71428571","93.33333333","2.333333333","2.5","2.777777778","2.976190476","5","5.357142857","7.777777778","8.333333333"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00012","","","","1","1","4","3","30","30","4","1","5","7","3","0.3","0.2","13.5","0.5","14","7","0.075","0.066666667","0.071428571","0.233333333","0.233333333","0.133333333","0.133333333","0.016666667","0.016666667","0.45","0.45","57.14285714","3.571428571","100","0.333333333","0.333333333","0.555555556","0.555555556","15","15","15.55555556","15.55555556"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00013","","","","3","1","28","18","24","30","24","1","3","1","4","4.3","0.2","20.5","4.5","25","46","0.153571429","0.011111111","0.097826087","1.916666667","1.533333333","1.166666667","0.933333333","0.1875","0.15","0.854166667","0.683333333","60.86956522","18","80","4.777777778","5.972222222","5","6.25","22.77777778","28.47222222","27.77777778","34.72222222"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00014","","","","5","1","0","2","2","30","2","1","6","7","7","0","0.7","0.2","0.7","0.9","2","","0.35","0.35","1","0.066666667","0","0","0.35","0.023333333","0.1","0.006666667","0","77.77777778","6.666666667","0","0","0.777777778","11.66666667","0.222222222","3.333333333","1","15"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00015","","","","3","1","25","15","17","30","17","1","3","3","4","3.1","0.2","4.2","3.3","7.5","40","0.124","0.013333333","0.0825","2.352941176","1.333333333","1.470588235","0.833333333","0.194117647","0.11","0.247058824","0.14","62.5","44","56.66666667","3.444444444","6.078431373","3.666666667","6.470588235","4.666666667","8.235294118","8.333333333","14.70588235"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00016","","","","3","1","13","4","30","30","7","1","4","5","3","1.4","0.5","21","1.9","22.9","17","0.107692308","0.125","0.111764706","0.566666667","0.566666667","0.433333333","0.433333333","0.063333333","0.063333333","0.7","0.7","76.47058824","8.296943231","100","1.555555556","1.555555556","2.111111111","2.111111111","23.33333333","23.33333333","25.44444444","25.44444444"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00017","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00018","","","","3","1","19","20","16","30","16","1","3","3","5","2.2","0.3","5","2.5","7.5","39","0.115789474","0.015","0.064102564","2.4375","1.3","1.1875","0.633333333","0.15625","0.083333333","0.3125","0.166666667","48.71794872","33.33333333","53.33333333","2.444444444","4.583333333","2.777777778","5.208333333","5.555555556","10.41666667","8.333333333","15.625"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00019","","","","3","1","47","14","26","30","26","1","1","1","4","10.2","0.8","11","11","22","61","0.217021277","0.057142857","0.180327869","2.346153846","2.033333333","1.807692308","1.566666667","0.423076923","0.366666667","0.423076923","0.366666667","77.04918033","50","86.66666667","11.33333333","13.07692308","12.22222222","14.1025641","12.22222222","14.1025641","24.44444444","28.20512821"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00002","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00020","","","","3","1","13","12","28","30","26","1","3","3","4","6.3","0.6","5.5","6.9","12.4","25","0.484615385","0.05","0.276","0.892857143","0.833333333","0.464285714","0.433333333","0.246428571","0.23","0.196428571","0.183333333","52","55.64516129","93.33333333","7","7.5","7.666666667","8.214285714","6.111111111","6.547619048","13.77777778","14.76190476"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00021","","","","3","1","17","13","26","30","16","1","4","3","5","2.3","0.7","7.5","3","10.5","30","0.135294118","0.053846154","0.1","1.153846154","1","0.653846154","0.566666667","0.115384615","0.1","0.288461538","0.25","56.66666667","28.57142857","86.66666667","2.555555556","2.948717949","3.333333333","3.846153846","8.333333333","9.615384615","11.66666667","13.46153846"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00022","","","","3","1","21","6","17","30","16","1","2","3","3","4.8","0.6","3.5","5.4","8.9","27","0.228571429","0.1","0.2","1.588235294","0.9","1.235294118","0.7","0.317647059","0.18","0.205882353","0.116666667","77.77777778","60.6741573","56.66666667","5.333333333","9.411764706","6","10.58823529","3.888888889","6.862745098","9.888888889","17.45098039"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00023","","","","1","1","8","4","30","30","8","1","2","3","3","1.8","0.4","23.5","2.2","25.7","12","0.225","0.1","0.183333333","0.4","0.4","0.266666667","0.266666667","0.073333333","0.073333333","0.783333333","0.783333333","66.66666667","8.560311284","100","2","2","2.444444444","2.444444444","26.11111111","26.11111111","28.55555556","28.55555556"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00024","","","","3","1","29","11","30","30","22","1","3","3","4","3.6","0.3","9","3.9","12.9","40","0.124137931","0.027272727","0.0975","1.333333333","1.333333333","0.966666667","0.966666667","0.13","0.13","0.3","0.3","72.5","30.23255814","100","4","4","4.333333333","4.333333333","10","10","14.33333333","14.33333333"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00025","","","","3","1","6","9","30","30","4","1","4","5","4","1.1","0.5","12.5","1.6","14.1","15","0.183333333","0.055555556","0.106666667","0.5","0.5","0.2","0.2","0.053333333","0.053333333","0.416666667","0.416666667","40","11.34751773","100","1.222222222","1.222222222","1.777777778","1.777777778","13.88888889","13.88888889","15.66666667","15.66666667"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00026","","","","1","1","30","9","22","30","22","1","4","3","6","3.6","0.5","1.5","4.1","5.6","39","0.12","0.055555556","0.105128205","1.772727273","1.3","1.363636364","1","0.186363636","0.136666667","0.068181818","0.05","76.92307692","73.21428571","73.33333333","4","5.454545455","4.555555556","6.212121212","1.666666667","2.272727273","6.222222222","8.484848485"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00027","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00028","","","","1","1","18","10","20","30","20","1","3","3","4","3.8","0.5","3","4.3","7.3","28","0.211111111","0.05","0.153571429","1.4","0.933333333","0.9","0.6","0.215","0.143333333","0.15","0.1","64.28571429","58.90410959","66.66666667","4.222222222","6.333333333","4.777777778","7.166666667","3.333333333","5","8.111111111","12.16666667"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00029","","","","1","1","20","19","29","30","29","1","3","5","4","2.2","0.6","6","2.8","8.8","39","0.11","0.031578947","0.071794872","1.344827586","1.3","0.689655172","0.666666667","0.096551724","0.093333333","0.206896552","0.2","51.28205128","31.81818182","96.66666667","2.444444444","2.528735632","3.111111111","3.218390805","6.666666667","6.896551724","9.777777778","10.11494253"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00003","","","","3","1","37","13","20","30","20","1","3","3","6","7.2","0.7","6.5","7.9","14.4","50","0.194594595","0.053846154","0.158","2.5","1.666666667","1.85","1.233333333","0.395","0.263333333","0.325","0.216666667","74","54.86111111","66.66666667","8","12","8.777777778","13.16666667","7.222222222","10.83333333","16","24"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00030","","","","3","1","10","4","15","30","12","1","4","5","6","1.1","0.8","3.5","1.9","5.4","14","0.11","0.2","0.135714286","0.933333333","0.466666667","0.666666667","0.333333333","0.126666667","0.063333333","0.233333333","0.116666667","71.42857143","35.18518519","50","1.222222222","2.444444444","2.111111111","4.222222222","3.888888889","7.777777778","6","12"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00031","","","","1","1","6","3","10","30","6","1","3","5","3","0.8","0.2","24.5","1","25.5","9","0.133333333","0.066666667","0.111111111","0.9","0.3","0.6","0.2","0.1","0.033333333","2.45","0.816666667","66.66666667","3.921568627","33.33333333","0.888888889","2.666666667","1.111111111","3.333333333","27.22222222","81.66666667","28.33333333","85"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00032","","","","3","1","45","35","23","30","23","1","4","3","4","7.7","0.3","7.5","8","15.5","80","0.171111111","0.008571429","0.1","3.47826087","2.666666667","1.956521739","1.5","0.347826087","0.266666667","0.326086957","0.25","56.25","51.61290323","76.66666667","8.555555556","11.15942029","8.888888889","11.5942029","8.333333333","10.86956522","17.22222222","22.46376812"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00033","","","","1","1","49","22","29","30","29","1","2","1","3","10.2","1.3","16.5","11.5","28","71","0.208163265","0.059090909","0.161971831","2.448275862","2.366666667","1.689655172","1.633333333","0.396551724","0.383333333","0.568965517","0.55","69.01408451","41.07142857","96.66666667","11.33333333","11.72413793","12.77777778","13.2183908","18.33333333","18.96551724","31.11111111","32.18390805"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00034","","","","5","1","18","14","29","30","22","1","3","3","3","2.3","0.8","23","3.1","26.1","32","0.127777778","0.057142857","0.096875","1.103448276","1.066666667","0.620689655","0.6","0.106896552","0.103333333","0.793103448","0.766666667","56.25","11.87739464","96.66666667","2.555555556","2.643678161","3.444444444","3.563218391","25.55555556","26.43678161","29","30"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00035","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00036","","","","3","1","6","14","13","30","13","1","2","3","5","1","0.4","2","1.4","3.4","20","0.166666667","0.028571429","0.07","1.538461538","0.666666667","0.461538462","0.2","0.107692308","0.046666667","0.153846154","0.066666667","30","41.17647059","43.33333333","1.111111111","2.564102564","1.555555556","3.58974359","2.222222222","5.128205128","3.777777778","8.717948718"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00004","","","","3","1","33","9","22","30","21","1","3","3","4","5.3","0.3","6","5.6","11.6","42","0.160606061","0.033333333","0.133333333","1.909090909","1.4","1.5","1.1","0.254545455","0.186666667","0.272727273","0.2","78.57142857","48.27586207","73.33333333","5.888888889","8.03030303","6.222222222","8.484848485","6.666666667","9.090909091","12.88888889","17.57575758"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00005","","","","5","1","0","4","5","30","5","1","6","7","7","0","0.3","2.8","0.3","3.1","4","","0.075","0.075","0.8","0.133333333","0","0","0.06","0.01","0.56","0.093333333","0","9.677419355","16.66666667","0","0","0.333333333","2","3.111111111","18.66666667","3.444444444","20.66666667"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00006","","","","3","1","18","22","21","30","21","1","3","5","5","1.5","0.2","13.2","1.7","14.9","40","0.083333333","0.009090909","0.0425","1.904761905","1.333333333","0.857142857","0.6","0.080952381","0.056666667","0.628571429","0.44","45","11.40939597","70","1.666666667","2.380952381","1.888888889","2.698412698","14.66666667","20.95238095","16.55555556","23.65079365"
"","","GHP2018OHW-VT02","","","","","","","","","GHP2018OHW-VT02-00007","","","","3","1","16","12","22","30","21","1","4","5","6","1.7","0.5","7","2.2","9.2","28","0.10625","0.041666667","0.078571429","1.272727273","0.933333333","0.727272727","0.533333333","0.1","0.073333333","0.318181818","0.233333333","57.14285714","23.91304348","73.33333333","1.888888889","2.575757576","2.444444444","3.333333333","7.777777778","10.60606061","10.22222222","13.93939394"
