"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Storage root dry matter content computing percent|CO_331:0000297","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Millipede damage estimating 1-9|CO_331:0000805","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00101","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00102","","","","2.9746494","2.56","1.58","14.1","48.36","3.58","5.69","6.65","60.85","9.87","29.15632754","12","12","6","1","0","2","1","1","1","3","5","5","4","0","0.1","2.9","0.1","3","2","","0.05","0.05","0.333333333","0.166666667","0","0","0.016666667","0.008333333","0.483333333","0.241666667","0","3.333333333","50","0.029156328","0","0","0.277777778","0.555555556","8.055555556","16.11111111","0.080989799","0.161979597","8.333333333","16.66666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00103","","","","0","1.6","0.79","14.2","48.79","4.64","6.54","1.74","64.57","8.05","29.10432466","12","10","8","6","10","5","2","1","1","3","3","1","3","1.6","0.15","2.66","1.75","4.41","15","0.16","0.03","0.116666667","1.875","1.25","1.25","0.833333333","0.21875","0.145833333","0.3325","0.221666667","66.66666667","39.68253968","66.66666667","0.509325681","4.444444444","6.666666667","4.861111111","7.291666667","7.388888889","11.08333333","1.41479356","2.12219034","12.25","18.375"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00104","","","","","","","","","","","","","","","12","10","5","1","1","4","1","1","1","","2","6","4","0.2","0.25","5.7","0.45","6.15","5","0.2","0.0625","0.09","1","0.416666667","0.2","0.083333333","0.09","0.0375","1.14","0.475","20","7.317073171","41.66666667","","0.555555556","1.333333333","1.25","3","15.83333333","38","","","17.08333333","41"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00105","","","","0","1.71","0.9","16.69","48.67","2.7","4.67","3.04","68.47","10.64","34.29217177","12","12","7","4","3","13","1","3","1","2","3","2","3","1.25","0.5","6.06","1.75","7.81","16","0.416666667","0.038461538","0.109375","2.285714286","1.333333333","0.428571429","0.25","0.25","0.145833333","0.865714286","0.505","18.75","22.40717029","58.33333333","0.600113006","3.472222222","5.952380952","4.861111111","8.333333333","16.83333333","28.85714286","1.666980572","2.857680981","21.69444444","37.19047619"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00106","","","","","","","","","","","","","","","12","8","7","0","0","0","","","","","","","6","0","0","2.1","0","2.1","0","","","","0","0","0","0","0","0","0.3","0.175","","0","58.33333333","","0","0","0","0","5.833333333","10","","","5.833333333","10"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00107","","","","","","","","","","","","","","","12","11","5","1","2","1","1","1","1","","3","","3","0.35","0.04","7.72","0.39","8.11","3","0.175","0.04","0.13","0.6","0.25","0.4","0.166666667","0.078","0.0325","1.544","0.643333333","66.66666667","4.808877928","41.66666667","","0.972222222","2.333333333","1.083333333","2.6","21.44444444","51.46666667","","","22.52777778","54.06666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00108","","","","","","","","","","","","","","","12","4","0","0","0","0","","","","","","","7","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00109","","","","","","","","","","","","","","","12","10","5","2","0","2","1","1","1","","6","8","5","0","0.45","4.16","0.45","4.61","2","","0.225","0.225","0.4","0.166666667","0","0","0.09","0.0375","0.832","0.346666667","0","9.761388286","41.66666667","","0","0","1.25","3","11.55555556","27.73333333","","","12.80555556","30.73333333"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00110","","","","21.3510246","1.92","0.93","16.09","48.36","2.37","3.79","3.71","61.28","13.24","33.27129859","12","12","9","5","13","11","1","1","1","3","2","3","2","1.85","0.35","7.16","2.2","9.36","24","0.142307692","0.031818182","0.091666667","2.666666667","2","1.444444444","1.083333333","0.244444444","0.183333333","0.795555556","0.596666667","54.16666667","23.5042735","75","0.731968569","5.138888889","6.851851852","6.111111111","8.148148148","19.88888889","26.51851852","2.033246025","2.7109947","26","34.66666667"
