"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00001","","","","4","0","1.84","1.15","18.84","50.79","0.25","0.93","1","44","54","45","44","44","42","5.59","69.3","37.09391613","6.58","2","7","3","8","9","3","3","13.4","3.7","39","17.1","56.1","98","0.304545455","0.068518519","0.174489796","2.227272727","2.177777778","1","0.977777778","0.388636364","0.38","0.886363636","0.866666667","44.89795918","30.48128342","97.77777778","6.343059657","9.925925926","10.15151515","12.66666667","12.95454545","28.88888889","29.54545455","4.698562709","4.805348225","41.55555556","42.5"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00002","","","","1","4.14","1.82","1.11","15.81","50.48","1.14","2.15","2","46","92","45","44","44","44","3.32","63.49","31.31933439","10.24","3","6","4","7","7","1","3","11.5","6.5","12.5","18","30.5","138","0.25","0.070652174","0.130434783","3.136363636","3.066666667","1.045454545","1.022222222","0.409090909","0.4","0.284090909","0.277777778","33.33333333","59.01639344","97.77777778","5.63748019","8.518518519","8.712121212","13.33333333","13.63636364","9.259259259","9.46969697","4.175911252","4.270818326","22.59259259","23.10606061"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00003","","","","3","0","1.61","1.03","18.19","50.61","1.11","2.24","2","96","131","45","45","45","45","4.03","67.86","35.94151353","7.94","2","5","5","8","6","1","4","23.9","9.8","12.1","33.7","45.8","227","0.248958333","0.07480916","0.14845815","5.044444444","5.044444444","2.133333333","2.133333333","0.748888889","0.748888889","0.268888889","0.268888889","42.2907489","73.58078603","100","12.11229006","17.7037037","17.7037037","24.96296296","24.96296296","8.962962963","8.962962963","8.972066712","8.972066712","33.92592593","33.92592593"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00004","","","","3","0","1.54","1","19.48","50.35","0.65","1.63","2","53","62","45","33","33","30","4.05","70.51","38.68917577","6.24","4","7","6","8","9","4","4","16.1","4.9","14","21","35","115","0.303773585","0.079032258","0.182608696","3.484848485","2.555555556","1.606060606","1.177777778","0.636363636","0.466666667","0.424242424","0.311111111","46.08695652","60","73.33333333","8.124726912","11.92592593","16.26262626","15.55555556","21.21212121","10.37037037","14.14141414","6.018316231","8.20679486","25.92592593","35.35353535"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00005","","","","3","0","1.75","1.05","18.11","50.67","1.37","2.53","2","47","44","45","41","41","40","4.52","67.88","35.74106967","4.54","2","5","6","8","9","3","1","21","3.7","26","24.7","50.7","91","0.446808511","0.084090909","0.271428571","2.219512195","2.022222222","1.146341463","1.044444444","0.602439024","0.548888889","0.634146341","0.577777778","51.64835165","48.71794872","91.11111111","8.828044208","15.55555556","17.07317073","18.2962963","20.08130081","19.25925926","21.13821138","6.539292006","7.177271714","37.55555556","41.2195122"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00006","","","","2","","3.27","1.89","8.93","50.34","6.63","10","2","100","72","45","41","41","41","5.89","42.04","17.73937227","18.59","3","6","5","9","7","4","4","29.9","9","15.1","38.9","54","172","0.299","0.125","0.226162791","4.195121951","3.822222222","2.43902439","2.222222222","0.948780488","0.864444444","0.368292683","0.335555556","58.13953488","72.03703704","91.11111111","6.900615812","22.14814815","24.30894309","28.81481481","31.62601626","11.18518519","12.27642276","5.111567269","5.610256758","40","43.90243902"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00007","","","","2","0","1.48","0.95","21.92","50.77","0.57","1.41","2","35","40","45","40","40","38","3.27","71.63","43.17510341","4.88","1","6","3","6","9","3","3","5.8","5.4","34.9","11.2","46.1","75","0.165714286","0.135","0.149333333","1.875","1.666666667","0.875","0.777777778","0.28","0.248888889","0.8725","0.775555556","46.66666667","24.29501085","88.88888889","4.835611582","4.296296296","4.833333333","8.296296296","9.333333333","25.85185185","29.08333333","3.581934505","4.029676318","34.14814815","38.41666667"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00008","","","","3","0","1.87","1.14","20.3","50.89","0.87","1.81","2","46","65","45","43","43","42","5.29","68.3","39.88995873","4.63","2","6","5","6","9","1","1","11.5","6.4","22.8","17.9","40.7","111","0.25","0.098461538","0.161261261","2.581395349","2.466666667","1.069767442","1.022222222","0.41627907","0.397777778","0.530232558","0.506666667","41.44144144","43.98034398","95.55555556","7.140302613","8.518518519","8.914728682","13.25925926","13.87596899","16.88888889","17.6744186","5.289113047","5.535118305","30.14814815","31.5503876"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00009","","","","3","0","2.07","1.27","20.52","50.81","0.73","1.76","1","15","32","45","32","32","28","6.64","67.24","40.38575084","4.98","2","6","3","6","7","5","4","3.9","2.6","24.1","6.5","30.6","47","0.26","0.08125","0.138297872","1.46875","1.044444444","0.46875","0.333333333","0.203125","0.144444444","0.753125","0.535555556","31.91489362","21.24183007","71.11111111","2.625073804","2.888888889","4.0625","4.814814815","6.770833333","17.85185185","25.10416667","1.944499114","2.73445188","22.66666667","31.875"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00010","","","","3","0","1.61","1.01","21.37","50.37","0.75","1.86","1","11","42","45","42","42","28","3.81","69.93","42.42604725","6.97","2","4","3","4","7","4","3","2","2.4","18.8","4.4","23.2","53","0.181818182","0.057142857","0.083018868","1.261904762","1.177777778","0.261904762","0.244444444","0.104761905","0.097777778","0.447619048","0.417777778","20.75471698","18.96551724","93.33333333","1.866746079","1.481481481","1.587301587","3.259259259","3.492063492","13.92592593","14.92063492","1.382774873","1.481544507","17.18518519","18.41269841"
