"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00001","","","","4","0","1.499921","0.7548944","18.7","2","50.4","2.3193455","3.3289437","3","45","38","3","33","30","34","30","3","6","3.6110728","3","72.5817337","5","37.1031746","6","5","0.0229124","3","4","15.1","3.5","13","18.6","31.6","83","0.335555556","0.092105263","0.224096386","2.766666667","2.441176471","1.5","1.323529412","0.62","0.547058824","0.433333333","0.382352941","54.21686747","58.86075949","88.23529412","6.901190476","14.80392157","16.77777778","18.23529412","20.66666667","12.74509804","14.44444444","6.765873016","7.667989418","30.98039216","35.11111111"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00010","","","","4","7.7730479","1.6569352","0.7472265","17.8","2","50","1.7760319","2.481499","4","71","73","4","34","30","34","30","6","2","3.2802331","4","72.4303436","8","35.6","7","6","4.4750776","1","1","17","4.8","24.2","21.8","46","144","0.23943662","0.065753425","0.151388889","4.8","4.235294118","2.366666667","2.088235294","0.726666667","0.641176471","0.806666667","0.711764706","49.30555556","47.39130435","88.23529412","7.7608","16.66666667","18.88888889","21.37254902","24.22222222","23.7254902","26.88888889","7.608627451","8.623111111","45.09803922","51.11111111"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00011","","","","3","7.330636","1.4908812","0.7586171","17.3","4","50.6","0.4033854","2.1902456","4","80","76","2","34","30","34","30","6","2","2.6279261","3","76.4967117","8","34.18972332","6","6","13.5102673","1","1","16.2","5.4","27.8","21.6","49.4","156","0.2025","0.071052632","0.138461538","5.2","4.588235294","2.666666667","2.352941176","0.72","0.635294118","0.926666667","0.817647059","51.28205128","43.72469636","88.23529412","7.384980237","15.88235294","18","21.17647059","24","27.25490196","30.88888889","7.240176703","8.205533597","48.43137255","54.88888889"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00012","","","","4","0","1.8618007","0.9301827","21.85","4","50.1","0.8723639","1.1531668","1","30","55","2","34","30","34","30","3","6","5.6972032","2","71.8554611","3","43.61277445","5","7","3.2843432","4","5","7.4","3.5","24.2","10.9","35.1","85","0.246666667","0.063636364","0.128235294","2.833333333","2.5","1","0.882352941","0.363333333","0.320588235","0.806666667","0.711764706","35.29411765","31.05413105","88.23529412","4.753792415","7.254901961","8.222222222","10.68627451","12.11111111","23.7254902","26.88888889","4.660580799","5.281991572","34.41176471","39"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00013","","","","3","1.0717623","1.4810947","0.7296683","20","3","50.4","2.6085496","3.7439253","3","45","44","3","34","30","34","30","3","6","3.0168462","2","71.9167786","5","39.68253968","5","8","1.4227638","4","4","15.8","3.6","16","19.4","35.4","89","0.351111111","0.081818182","0.217977528","2.966666667","2.617647059","1.5","1.323529412","0.646666667","0.570588235","0.533333333","0.470588235","50.56179775","54.80225989","88.23529412","7.698412698","15.49019608","17.55555556","19.01960784","21.55555556","15.68627451","17.77777778","7.54746343","8.553791887","34.70588235","39.33333333"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00014","","","","3","0","1.9684247","1.0662501","19.1","2","50.7","0.7884279","1.4499439","4","14","22","3","30","29","34","22","5","3","5.7955728","4","69.1954193","3","37.67258383","5","7","9.4297094","6","7","4.6","1.9","9.8","6.5","16.3","36","0.328571429","0.086363636","0.180555556","1.24137931","1.058823529","0.482758621","0.411764706","0.224137931","0.191176471","0.337931034","0.288235294","38.88888889","39.87730061","85.29411765","2.448717949","4.509803922","5.287356322","6.37254902","7.471264368","9.607843137","11.26436782","2.400703871","2.814618332","15.98039216","18.73563218"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00015","","","","1","0","1.9167215","1.0117261","18.1","2","50.3","1.4808517","2.3552337","2","120","100","3","34","30","34","30","4","8","5.3256035","2","70.5479813","2","35.98409543","6","7","3.4067938","1","3","32.9","8.4","21.2","41.3","62.5","220","0.274166667","0.084","0.187727273","7.333333333","6.470588235","4","3.529411765","1.376666667","1.214705882","0.706666667","0.623529412","54.54545455","66.08","88.23529412","14.86143141","32.25490196","36.55555556","40.49019608","45.88888889","20.78431373","23.55555556","14.5700308","16.51270157","61.2745098","69.44444444"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00016","","","","3","0","1.4135834","0.7213066","20.41","2","50.38","0.444103","1.8976312","3","43","45","4","32","30","34","30","5","3","3.6967578","4","74.7398071","3","40.51210798","6","6","12.341361","3","4","12.2","2.9","19.6","15.1","34.7","88","0.28372093","0.064444444","0.171590909","2.933333333","2.588235294","1.433333333","1.264705882","0.503333333","0.444117647","0.653333333","0.576470588","48.86363636","43.51585014","88.23529412","6.117328305","11.96078431","13.55555556","14.80392157","16.77777778","19.21568627","21.77777778","5.997380691","6.79703145","34.01960784","38.55555556"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00017","","","","2","","2.8332577","1.4789134","11.1","3","50.8","4.312398","6.3890553","3","80","120","3","34","30","34","30","8","6","6.1346965","4","49.8681564","3","21.8503937","5","7","16.8168926","3","4","21.3","8.5","11.8","29.8","41.6","200","0.26625","0.070833333","0.149","6.666666667","5.882352941","2.666666667","2.352941176","0.993333333","0.876470588","0.393333333","0.347058824","40","71.63461538","88.23529412","6.511417323","20.88235294","23.66666667","29.21568627","33.11111111","11.56862745","13.11111111","6.383742473","7.234908136","40.78431373","46.22222222"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00018","","","","2","0","2.0929999","1.1656721","20.48","2","50.84","0.4292198","1.0456185","2","60","50","3","34","30","34","30","1","8","6.2828698","2","75.6536102","3","40.28324154","6","6","0","3","3","13.9","2.6","37.1","16.5","53.6","110","0.231666667","0.052","0.15","3.666666667","3.235294118","2","1.764705882","0.55","0.485294118","1.236666667","1.091176471","54.54545455","30.78358209","88.23529412","6.646734854","13.62745098","15.44444444","16.17647059","18.33333333","36.37254902","41.22222222","6.51640672","7.385260949","52.54901961","59.55555556"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00019","","","","3","0","1.737919","0.8008281","21","2","50.6","1.8660791","2.8644454","2","20","80","3","34","30","34","30","4","9","4.6836338","3","69.7979126","2","41.50197628","4","4","5.661777","3","4","4.2","4.4","18.6","8.6","27.2","100","0.21","0.055","0.086","3.333333333","2.941176471","0.666666667","0.588235294","0.286666667","0.252941176","0.62","0.547058824","20","31.61764706","88.23529412","3.56916996","4.117647059","4.666666667","8.431372549","9.555555556","18.23529412","20.66666667","3.499186236","3.965744401","26.66666667","30.22222222"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00002","","","","4","0","1.6940048","0.8007374","20.46","2","50.15","0.8550937","1.1042055","4","40","31","2","34","30","34","30","3","6","5.4595938","3","71.3993607","3","40.79760718","5","5","5.0785546","3","4","9.7","2.7","38.5","12.4","50.9","71","0.2425","0.087096774","0.174647887","2.366666667","2.088235294","1.333333333","1.176470588","0.413333333","0.364705882","1.283333333","1.132352941","56.33802817","24.36149312","88.23529412","5.05890329","9.509803922","10.77777778","12.15686275","13.77777778","37.74509804","42.77777778","4.959709108","5.621003656","49.90196078","56.55555556"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00020","","","","4","0","1.7258077","0.8685855","19.2","2","50.1","1.9019967","2.6208787","3","60","80","3","34","30","34","30","4","6","4.176764","3","69.9469604","3","38.32335329","5","6","2.5239677","1","3","12.8","7.6","30.4","20.4","50.8","140","0.213333333","0.095","0.145714286","4.666666667","4.117647059","2","1.764705882","0.68","0.6","1.013333333","0.894117647","42.85714286","40.15748031","88.23529412","7.817964072","12.54901961","14.22222222","20","22.66666667","29.80392157","33.77777778","7.664670659","8.686626747","49.80392157","56.44444444"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00021","","","","4","","2.4624057","1.3706936","10.5","3","50.7","4.1543322","6.3517823","4","75","110","3","34","30","34","30","8","6","5.0674353","4","51.7723961","3","20.71005917","7","7","16.7516632","3","3","19.3","7","14.9","26.3","41.2","185","0.257333333","0.063636364","0.142162162","6.166666667","5.441176471","2.5","2.205882353","0.876666667","0.773529412","0.496666667","0.438235294","40.54054054","63.83495146","88.23529412","5.446745562","18.92156863","21.44444444","25.78431373","29.22222222","14.60784314","16.55555556","5.33994663","6.051939513","40.39215686","45.77777778"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00022","","","","4","0","1.4157728","0.6744782","17.96","3","50.56","0.3689399","1.6203144","4","24","30","4","33","28","34","23","5","3","3.5780761","4","74.8466415","3","35.5221519","6","6","12.5354481","4","5","12.2","4.5","36.2","16.7","52.9","54","0.508333333","0.15","0.309259259","1.928571429","1.588235294","0.857142857","0.705882353","0.596428571","0.491176471","1.292857143","1.064705882","44.44444444","31.56899811","82.35294118","5.932199367","11.96078431","14.52380952","16.37254902","19.88095238","35.49019608","43.0952381","5.815881732","7.062142104","51.8627451","62.97619048"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00023","","","","4","0","1.9102527","0.9445893","19.2","2","51","1.5878776","2.5326903","4","26","90","3","34","30","34","30","4","9","4.8282695","4","68.941597","2","37.64705882","6","5","3.8799791","1","1","5.5","5.6","16.8","11.1","27.9","116","0.211538462","0.062222222","0.095689655","3.866666667","3.411764706","0.866666667","0.764705882","0.37","0.326470588","0.56","0.494117647","22.4137931","39.78494624","88.23529412","4.178823529","5.392156863","6.111111111","10.88235294","12.33333333","16.47058824","18.66666667","4.096885813","4.643137255","27.35294118","31"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00024","","","","4","0","1.4464682","0.6323037","19.2","3","50.6","0.680569","1.8222367","4","50","40","4","34","30","34","30","5","3","2.85338","4","75.3899231","5","37.94466403","7","7","10.9245987","4","5","14.2","3.5","12","17.7","29.7","90","0.284","0.0875","0.196666667","3","2.647058824","1.666666667","1.470588235","0.59","0.520588235","0.4","0.352941176","55.55555556","59.5959596","88.23529412","6.716205534","13.92156863","15.77777778","17.35294118","19.66666667","11.76470588","13.33333333","6.584515229","7.462450593","29.11764706","33"
