"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00001","","","","1","15.9","50.51","2.9967129","4.912694","1","19","11","10","14","10","7","2","62.4258118","5","5","6","4","3.3","0.7","4.5","4","8.5","30","0.173684211","0.063636364","0.133333333","3","2.142857143","1.9","1.357142857","0.4","0.285714286","0.45","0.321428571","63.33333333","47.05882353","71.42857143","31.47891507","1.259156603","7.857142857","11","9.523809524","13.33333333","10.71428571","15","2.997991911","4.197188676","20.23809524","28.33333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00010","","","","2","16.4","50.51","4.3293619","6.8122339","1","4","0","4","14","4","7","2","61.1821404","3","4","1","6","0.6","0","20","0.6","20.6","4","0.15","","0.15","1","0.285714286","1","0.285714286","0.15","0.042857143","5","1.428571429","100","2.912621359","28.57142857","32.46881806","0.194812908","1.428571429","5","1.428571429","5","47.61904762","166.6666667","0.463840258","1.623440903","49.04761905","171.6666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00011","","","","1","20.8","50.63","2.078649","4.092164","2","16","18","10","14","10","3","1","70.8501358","4","4","1","4","2.1","1.1","7","3.2","10.2","34","0.13125","0.061111111","0.094117647","3.4","2.428571429","1.6","1.142857143","0.32","0.228571429","0.7","0.5","47.05882353","31.37254902","71.42857143","41.08236224","1.314635592","5","7","7.619047619","10.66666667","16.66666667","23.33333333","3.130084742","4.382118638","24.28571429","34"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00012","","","","1","20.4","50.5","1.510684","2.844451","1","14","17","10","14","10","4","2","70.8374023","5","7","3","5","3.7","1.7","5.5","5.4","10.9","31","0.264285714","0.1","0.174193548","3.1","2.214285714","1.4","1","0.54","0.385714286","0.55","0.392857143","45.16129032","49.5412844","71.42857143","40.3960396","2.181386139","8.80952381","12.33333333","12.85714286","18","13.0952381","18.33333333","5.193776521","7.271287129","25.95238095","36.33333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00013","","","","1","23.7","50.41","1.096831","2.861352","2","8","16","9","14","9","5","2","69.7146988","4","3","3","4","1.2","0.9","3.5","2.1","5.6","24","0.15","0.05625","0.0875","2.666666667","1.714285714","0.888888889","0.571428571","0.233333333","0.15","0.388888889","0.25","33.33333333","37.5","64.28571429","47.01448125","0.987304106","2.857142857","4.444444444","5","7.777777778","8.333333333","12.96296296","2.350724063","3.656681875","13.33333333","20.74074074"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00014","","","","1","21.1","50.37","0.631818","1.6377389","2","11","6","10","14","8","4","1","71.8249969","5","6","3","5","2.1","0.7","9","2.8","11.8","17","0.190909091","0.116666667","0.164705882","1.7","1.214285714","1.1","0.785714286","0.28","0.2","0.9","0.642857143","64.70588235","23.72881356","71.42857143","41.8900139","1.172920389","5","7","6.666666667","9.333333333","21.42857143","30","2.792667593","3.90973463","28.0952381","39.33333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00015","","","","1","","","","","1","0","3","5","14","3","","1","","4","3","5","4","0","0.2","1.3","0.2","1.5","3","","0.066666667","0.066666667","0.6","0.214285714","0","0","0.04","0.014285714","0.26","0.092857143","0","13.33333333","35.71428571","","","0","0","0.476190476","1.333333333","3.095238095","8.666666667","","","3.571428571","10"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00016","","","","2","12.1","50.13","5.4983439","8.8373404","1","13","10","8","14","8","7","2","49.7154465","5","6","1","4","1.7","1","2.5","2.7","5.2","23","0.130769231","0.1","0.117391304","2.875","1.642857143","1.625","0.928571429","0.3375","0.192857143","0.3125","0.178571429","56.52173913","51.92307692","57.14285714","24.13724317","0.651705566","4.047619048","7.083333333","6.428571429","11.25","5.952380952","10.41666667","1.551679918","2.715439856","12.38095238","21.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00017","","","","1","14.5","50.62","2.6604581","4.6455588","2","20","20","10","14","10","7","1","58.8619423","4","5","3","4","3","1.3","5","4.3","9.3","40","0.15","0.065","0.1075","4","2.857142857","2","1.428571429","0.43","0.307142857","0.5","0.357142857","50","46.23655914","71.42857143","28.64480443","1.23172659","7.142857143","10","10.23809524","14.33333333","11.9047619","16.66666667","2.932682358","4.105755301","22.14285714","31"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00018","","","","1","22.2","50.97","0.302938","1.81081","3","6","16","10","14","6","1","2","71.6578369","5","6","1","8","1.2","1","11.5","2.2","13.7","22","0.2","0.0625","0.1","2.2","1.571428571","0.6","0.428571429","0.22","0.157142857","1.15","0.821428571","27.27272727","16.05839416","71.42857143","43.55503237","0.958210712","2.857142857","4","5.238095238","7.333333333","27.38095238","38.33333333","2.281454077","3.194035707","32.61904762","45.66666667"
