"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","treatment_dap120"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00041","","","","120","95","52.8","228","47.19","9.6","56.79","109.59","0.206973684","2.4","1.9","0.597789474","0.47325","0.555789474","0.44","51.82042157","79.16666667","17.47777778","22.07719298","21.03333333","26.56842105","19.55555556","24.70175439","40.58888889","51.27017544","3.7835255","38.4111938","1.1242089","0.9208755","174.1066895","81.9067688","66.4636078","4.1045866","6.3613648","10.4530773","0.1913614","50.5","11.8","23.36633663","13.26974257","4.914719472","6.208066701","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00042","","","","120","103","29.93","181","31.98","12.41","44.39","74.32","0.176685083","1.757281553","1.508333333","0.430970874","0.369916667","0.290582524","0.249416667","59.72820237","85.83333333","11.84444444","13.79935275","16.44074074","19.15426106","11.08518519","12.91477886","27.52592593","32.06903991","3.185173","39.9352722","1.0093241","0.9419184","154.2977295","71.5184631","66.322464","2.5800943","3.9276381","14.0077658","0.3542261","50.9","12","23.57563851","10.46522593","3.876009605","4.515739346","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00043","","","","120","96","31.93","202","28.29","11.29","39.58","71.51","0.140049505","2.104166667","1.683333333","0.412291667","0.329833333","0.332604167","0.266083333","55.34890225","80","10.47777778","13.09722222","14.65925926","18.32407407","11.82592593","14.78240741","26.48518519","33.10648148","2.7592125","0","0.5603566","0.8920603","131.9101563","69.9956665","75.3108673","2.5650721","3.9017668","4.2780066","0.2242603","50.8","14.8","29.13385827","11.5311811","4.270807816","5.33850977","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00044","","","","120","97","31.01","149","29.5","15.52","45.02","76.03","0.197986577","1.536082474","1.241666667","0.464123711","0.375166667","0.319690722","0.258416667","59.21346837","80.83333333","10.92592593","13.51660939","16.67407407","20.6277205","11.48518519","14.20847652","28.15925926","34.83619702","2.8640766","0","0.5025697","0.9549007","185.3356934","82.5507202","75.5082932","2.3221226","3.7763233","5.5765743","0.2819681","50.6","14.4","28.45849802","12.81201581","4.745191041","5.870339432","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00045","","","","120","104","32.27","173","26.21","7.89","34.1","66.37","0.15150289","1.663461538","1.441666667","0.327884615","0.284166667","0.310288462","0.268916667","51.37863493","86.66666667","9.707407407","11.2008547","12.62962963","14.57264957","11.95185185","13.79059829","24.58148148","28.36324786","2.8827591","0","0.7659335","0.9992599","123.6483154","82.4177856","74.0004272","2.0286369","3.5643601","6.7673187","0.4565258","50.7","14.7","28.99408284","9.886982249","3.661845277","4.225206089","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00046","","","","120","90","28.5","199","38.2","6.65","44.85","73.35","0.191959799","2.211111111","1.658333333","0.498333333","0.37375","0.316666667","0.2375","61.14519427","75","14.14814815","18.86419753","16.61111111","22.14814815","10.55555556","14.07407407","27.16666667","36.22222222","2.9110756","5.0779419","0.6807775","1.1081471","147.7495117","94.3287354","74.6434555","1.9084902","3.4818745","7.5668955","0.5716572","50.7","15","29.58579882","13.26923077","4.914529915","6.552706553","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00047","","","","120","93","21.8","169","24.55","7.38","31.93","53.73","0.145266272","1.817204301","1.408333333","0.343333333","0.266083333","0.234408602","0.181666667","59.42676345","77.5","9.092592593","11.73237754","11.82592593","15.25925926","8.074074074","10.4181601","19.9","25.67741935","4.132967","50.383728","1.2201343","1.0249243","155.7443848","69.1656036","58.2179756","4.7141676","6.9396377","16.9758282","0.3064709","50.6","10.2","20.15810277","6.436482213","2.383882301","3.075977163","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00048","","","","120","102","23.35","168","28.1","10.27","38.37","61.72","0.167261905","1.647058824","1.4","0.376176471","0.31975","0.228921569","0.194583333","62.16785483","85","10.40740741","12.24400871","14.21111111","16.71895425","8.648148148","10.17429194","22.85925926","26.89324619","5.1204224","53.4603882","1.4124274","1.2520399","209.9346313","92.3146973","59.048542","3.6952171","5.9482036","18.4045715","0.37047","50.5","9.7","19.20792079","7.370079208","2.729658966","3.211363489","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00049","","","","120","73","46.48","32","6.21","1.04","7.25","53.73","0.1940625","0.438356164","0.266666667","0.099315068","0.060416667","0.636712329","0.387333333","13.49339289","60.83333333","2.3","3.780821918","2.685185185","4.414003044","17.21481481","28.29832572","19.9","32.71232877","3.0981426","0","0.5533333","0.8531456","87.8885498","59.8206177","72.4270706","2.3810787","3.8133912","9.0357609","0.3540821","50.6","15.3","30.23715415","2.192193676","0.811923584","1.334668905","1"
"","","PEP2019ICA-ST02","","","","","","","","","PEP2019ICA-ST02-00050","","","","120","78","51.91","29","6.2","2.6","8.8","60.71","0.213793103","0.371794872","0.241666667","0.112820513","0.073333333","0.665512821","0.432583333","14.49514083","65","2.296296296","3.532763533","3.259259259","5.014245014","19.22592593","29.57834758","22.48518519","34.59259259","2.773365","0","0.6866455","0.859581","47.1489258","61.3501129","77.0490875","1.5395699","2.6710863","5.4719496","0.4138794","50.1","15.5","30.93812375","2.72255489","1.008353663","1.551313328","1"
