"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00001","","","","30","22","9.34","36","5.84","2.06","4","7.9","17.24","0.162222222","1.636363636","1.2","0.359090909","0.263333333","0.424545455","0.311333333","45.82366589","73.33333333","8.651851852","11.7979798","11.7037037","15.95959596","13.83703704","18.86868687","25.54074074","34.82828283","51.5","10.1","4.9627876","72.077301","2.1608791","1.3793511","223.3309326","129.0209656","38.9721413","8.1907091","12.3172674","16.69277","0.9300699","19.61165049","1.549320388","2.295289464","3.129940178"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00025","","","","30","23","11.94","70","7.76","7.3","6","15.06","27","0.110857143","3.043478261","2.333333333","0.654782609","0.502","0.519130435","0.398","55.77777778","76.66666667","11.4962963","14.99516908","22.31111111","29.10144928","17.68888889","23.07246377","40","52.17391304","51.5","12.6","5.5514202","66.204834","1.7192812","1.194458","114.0244141","79.32164","60.4934654","3.3178606","5.3763824","12.5384226","0.6401749","24.46601942","3.684582524","5.458640777","7.11996623"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00049","","","","30","28","8.5","19","2.31","1.86","6","4.17","12.67","0.121578947","0.678571429","0.633333333","0.148928571","0.139","0.303571429","0.283333333","32.91239148","93.33333333","3.422222222","3.666666667","6.177777778","6.619047619","12.59259259","13.49206349","18.77037037","20.11111111","50.9","14.5","5.672617","50.9449463","1.7301354","1.220984","113.0560303","101.477417","64.1685638","0.8323441","2.2881694","13.7935877","0","28.48722986","1.187917485","1.759877756","1.88558331"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00073","","","","30","25","13.12","0","0","2.16","7","2.16","15.28","","0","0","0.0864","0.072","0.5248","0.437333333","14.13612565","83.33333333","0","0","3.2","3.84","19.43703704","23.32444444","22.63703704","27.16444444","50.3","12","6.5195627","77.2011719","2.1082768","1.4588451","283.2047729","133.1303406","53.7123756","3.4926233","6.1842761","15.5307541","0.8382683","23.85685885","0.515308151","0.763419483","0.91610338"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00097","","","","30","30","10.78","65","7.58","2.94","5","10.52","21.3","0.116615385","2.166666667","2.166666667","0.350666667","0.350666667","0.359333333","0.359333333","49.38967136","100","11.22962963","11.22962963","15.58518519","15.58518519","15.97037037","15.97037037","31.55555556","31.55555556","51.1","12.3","6.6793795","79.2329712","2.2444663","1.3609509","151.557373","128.4779968","51.194149","2.7471313","4.5345397","19.0449162","0.4652538","24.0704501","2.53221135","3.751424223","3.751424223"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00121","","","","30","22","3.16","0","0","1.82","6","1.82","4.98","","0","0","0.082727273","0.060666667","0.143636364","0.105333333","36.54618474","73.33333333","0","0","2.696296296","3.676767677","4.681481481","6.383838384","7.377777778","10.06060606","50.8","12.5","5.0275936","43.3291321","1.8600965","1.2728038","168.2794189","131.3460236","56.2514572","3.2937546","6.4136081","16.4476852","0.6904964","24.60629921","0.447834646","0.663458734","0.904716456"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00145","","","","30","26","4.68","35","4.02","2.76","5","6.78","11.46","0.114857143","1.346153846","1.166666667","0.260769231","0.226","0.18","0.156","59.16230366","86.66666667","5.955555556","6.871794872","10.04444444","11.58974359","6.933333333","8","16.97777778","19.58974359","50.1","11.5","7.0418167","77.0460815","2.2769899","1.5180893","174.5618896","138.2468262","54.2535439","1.8510571","4.0256934","19.1110077","0.4720736","22.95409182","1.556287425","2.305611","2.660320385"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00169","","","","30","14","5.26","30","5.58","2.08","6","7.66","12.92","0.186","2.142857143","1","0.547142857","0.255333333","0.375714286","0.175333333","59.2879257","46.66666667","8.266666667","17.71428571","11.34814815","24.31746032","7.792592593","16.6984127","19.14074074","41.01587302","51.8","11.3","6.5445147","85.269928","2.0946918","1.6067743","165.1436768","112.5818024","51.0200272","2.4325399","5.2521262","22.1698723","0.8676281","21.81467181","1.671003861","2.475561276","5.304774162"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00002","","","","30","21","5.4","12","1.47","1.17","6","2.64","8.04","0.1225","0.571428571","0.4","0.125714286","0.088","0.257142857","0.18","32.8358209","70","2.177777778","3.111111111","3.911111111","5.587301587","8","11.42857143","11.91111111","17.01587302","51.1","9.8","5.9839287","53.0303955","1.7696099","0.9644098","116.8162842","116.4805298","52.7905731","8.7990332","13.0512161","8.9665699","0.2728271","19.17808219","0.50630137","0.750076104","1.071537291"
"","","PEP2019HUA-PT01","","","","","","","","","PEP2019HUA-PT01-00026","","","","30","29","8.42","68","11.05","3.62","2","14.67","23.09","0.1625","2.344827586","2.266666667","0.505862069","0.489","0.290344828","0.280666667","63.5339974","96.66666667","16.37037037","16.9348659","21.73333333","22.48275862","12.47407407","12.90421456","34.20740741","35.38697318","50.8","13.3","3.1667538","58.8379211","1.2904677","0.9371514","107.1696777","70.4670868","62.992733","2.820838","4.6466174","13.986165","0.1991043","26.18110236","3.840767717","5.690026247","5.886234048"
