"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00001","","","","3","2","0.38","2","4","0.46","0.05","6","5.9816132","18.812088","1.5931654","1.4821277","239.5831299","109.4000244","60.3372269","2.5678129","4.992331","16.5689049","0.3103504","40.1","9.9","0.51","0.89","6","0.23","0.0125","0.085","3","1","0.255","0.19","33.33333333","57.30337079","24.6882793","0.125910224","10.22222222","11.33333333","8.444444444","2.798004988","19.77777778","2","0.666666667","0.17","0.126666667","66.66666667","6.814814815","7.555555556","5.62962963","1.865336658","13.18518519"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00002","","","","3","3","2.25","10","0","1.79","0","5","7.6916933","31.4298706","2.0999131","1.5152316","253.7218018","131.131073","51.7382507","2.0693865","3.9172597","22.9460125","0.4067621","40.1","9.5","1.79","4.04","10","0.179","","0.179","3.333333333","3.333333333","0.596666667","0.75","100","44.30693069","23.69077307","0.424064838","26.51851852","26.51851852","33.33333333","6.282442043","59.85185185","3.333333333","3.333333333","0.596666667","0.75","100","26.51851852","26.51851852","33.33333333","6.282442043","59.85185185"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00003","","","","3","3","2.82","1","1","0.17","0.04","7","10.2687321","25.3713455","2.4944468","2.0299716","219.7276001","124.7877655","55.9067459","1.8193874","3.6091328","13.542594","1.2137365","40.5","11.4","0.21","3.03","2","0.17","0.04","0.105","0.666666667","0.333333333","0.07","0.94","50","6.930693069","28.14814815","0.059111111","2.518518519","3.111111111","41.77777778","0.875720165","44.88888889","0.666666667","0.333333333","0.07","0.94","100","2.518518519","3.111111111","41.77777778","0.875720165","44.88888889"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00004","","","","3","3","9.54","2","4","0.77","0.35","6","","","","","","","","","","","","","","1.12","10.66","6","0.385","0.0875","0.186666667","2","0.666666667","0.373333333","3.18","33.33333333","10.5065666","","","11.40740741","16.59259259","141.3333333","","157.9259259","2","0.666666667","0.373333333","3.18","100","11.40740741","16.59259259","141.3333333","","157.9259259"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00005","","","","3","3","0.84","4","3","0.55","0.15","5","7.4722214","2.6304321","1.8081174","1.4133406","222.8026123","111.7127686","66.4185181","2.3993759","4.3020415","9.6022844","0.6835899","40.5","13.5","0.7","1.54","7","0.1375","0.05","0.1","2.333333333","1.333333333","0.233333333","0.28","57.14285714","45.45454545","33.33333333","0.233333333","8.148148148","10.37037037","12.44444444","3.456790123","22.81481481","2.333333333","1.333333333","0.233333333","0.28","100","8.148148148","10.37037037","12.44444444","3.456790123","22.81481481"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00006","","","","3","3","1.92","8","5","1.78","0.33","6","6.1189537","0","1.540031","1.3903995","134.0212402","106.6723785","70.3275986","1.0026665","2.556159","8.2030869","0.2891655","40.3","13.8","2.11","4.03","13","0.2225","0.066","0.162307692","4.333333333","2.666666667","0.703333333","0.64","61.53846154","52.3573201","34.24317618","0.722531017","26.37037037","31.25925926","28.44444444","10.70416322","59.7037037","4.333333333","2.666666667","0.703333333","0.64","100","26.37037037","31.25925926","28.44444444","10.70416322","59.7037037"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00007","","","","3","3","1.74","11","7","1.87","0.31","5","8.5597954","34.4110794","2.0072951","1.6512256","307.7255859","139.8338013","43.4471626","2.4650078","4.7556148","32.4974251","0.6845341","40.1","8.6","2.18","3.92","18","0.17","0.044285714","0.121111111","6","3.666666667","0.726666667","0.58","61.11111111","55.6122449","21.44638404","0.467531172","27.7037037","32.2962963","25.77777778","6.926387734","58.07407407","6","3.666666667","0.726666667","0.58","100","27.7037037","32.2962963","25.77777778","6.926387734","58.07407407"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00008","","","","3","3","3.65","5","4","2.15","0.22","4","9.2065582","55.2597504","2.2652292","1.5983233","265.5959473","144.543335","47.0946808","2.9584398","5.6290617","25.7772598","0.813262","40.2","9.3","2.37","6.02","9","0.43","0.055","0.263333333","3","1.666666667","0.79","1.216666667","55.55555556","39.36877076","23.13432836","0.548283582","31.85185185","35.11111111","54.07407407","8.122719735","89.18518519","3","1.666666667","0.79","1.216666667","100","31.85185185","35.11111111","54.07407407","8.122719735","89.18518519"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00009","","","","3","3","2.36","8","7","2.02","0.41","5","6.7046556","0","1.4979978","1.3199902","55.4907227","63.2239532","66.7780533","1.0834742","2.3080878","9.470397","0.192441","40.2","13.5","2.43","4.79","15","0.2525","0.058571429","0.162","5","2.666666667","0.81","0.786666667","53.33333333","50.73068894","33.58208955","0.816044776","29.92592593","36","34.96296296","12.08955224","70.96296296","5","2.666666667","0.81","0.786666667","100","29.92592593","36","34.96296296","12.08955224","70.96296296"
"","","PEP2012CLM-ST01","","","","","","","","","PEP2012CLM-ST01-00010","","","","3","3","1.89","6","0","1.45","0","5","8.7425776","10.1445923","2.0347052","1.7206154","208.3882446","110.0436554","68.0335999","0.6037102","2.62537","7.8503895","0.242857","38.8","14.6","1.45","3.34","6","0.241666667","","0.241666667","2","2","0.483333333","0.63","100","43.41317365","37.62886598","0.545618557","21.48148148","21.48148148","28","8.083237877","49.48148148","2","2","0.483333333","0.63","100","21.48148148","21.48148148","28","8.083237877","49.48148148"
