"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00001","","","","84","24","1","5","18","12","10","20","2.4","1.2","6.2","7","3","3.6","9.8","0.24","0.555555556","0.119047619","0.2","0.042857143","0.344444444","0.073809524","36.73469388","21.42857143","1.058201058","4.938271605","1.587301587","7.407407407","2.733686067","12.75720165","4.320987654","20.16460905","1","30","0.06","0.12","1.666666667","0.357142857","33.33333333"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00002","","","","84","49","2","7","39","39","99","113","9.2","7.4","31.8","5","3","16.6","48.4","0.092929293","2.538461538","1.178571429","0.425641026","0.197619048","0.815384615","0.378571429","34.29752066","46.42857143","4.05643739","8.73694207","7.319223986","15.76448243","14.02116402","30.1994302","21.34038801","45.96391263","1","212","0.065486726","0.078301887","5.435897436","2.523809524","46.69811321"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00003","","","","84","60","1","9","50","46","80","420","21.6","22.6","100.6","3","3","44.2","144.8","0.27","1.6","0.952380952","0.884","0.526190476","2.012","1.197619048","30.52486188","59.52380952","9.523809524","16","19.48853616","32.74074074","44.35626102","74.51851852","63.84479718","107.2592593","1","500","0.053809524","0.0884","10","5.952380952","16"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00004","","","","84","62","1","7","54","53","140","78","33.6","6","29.6","3","3","39.6","69.2","0.24","2.592592593","1.666666667","0.733333333","0.471428571","0.548148148","0.352380952","57.22543353","64.28571429","14.81481481","23.04526749","17.46031746","27.16049383","13.05114638","20.30178326","30.51146384","47.46227709","1","218","0.076923077","0.181651376","4.037037037","2.595238095","64.22018349"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00005","","","","84","57","1","7","37","21","50","38","4.4","1.8","55.4","5","3","6.2","61.6","0.088","1.351351351","0.595238095","0.167567568","0.073809524","1.497297297","0.65952381","10.06493506","44.04761905","1.940035273","4.404404404","2.733686067","6.206206206","24.42680776","55.45545546","27.16049383","61.66166166","1","88","0.047368421","0.070454545","2.378378378","1.047619048","56.81818182"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00006","","","","84","51","1","7","28","3","5","3","0.4","0.2","83.8","1","7","0.6","84.4","0.08","0.178571429","0.05952381","0.021428571","0.007142857","2.992857143","0.997619048","0.710900474","33.33333333","0.176366843","0.529100529","0.264550265","0.793650794","36.94885362","110.8465608","37.21340388","111.6402116","1","8","0.066666667","0.075","0.285714286","0.095238095","62.5"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00007","","","","84","60","1","7","35","33","37","345","3.6","9.6","32.8","1","7","13.2","46","0.097297297","1.057142857","0.44047619","0.377142857","0.157142857","0.937142857","0.39047619","28.69565217","41.66666667","1.587301587","3.80952381","5.82010582","13.96825397","14.46208113","34.70899471","20.28218695","48.67724868","1","382","0.027826087","0.034554974","10.91428571","4.547619048","9.685863874"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00008","","","","84","40","1","5","27","23","60","64","17.4","8.6","32.8","3","3","26","58.8","0.29","2.222222222","0.714285714","0.962962963","0.30952381","1.214814815","0.39047619","44.21768707","32.14285714","7.671957672","23.86831276","11.4638448","35.66529492","14.46208113","44.99314129","25.92592593","80.65843621","1","124","0.134375","0.209677419","4.592592593","1.476190476","48.38709677"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00009","","","","84","56","1","9","40","40","56","170","5.6","7.8","54","1","7","13.4","67.4","0.1","1.4","0.666666667","0.335","0.15952381","1.35","0.642857143","19.88130564","47.61904762","2.469135802","5.185185185","5.908289242","12.40740741","23.80952381","50","29.71781305","62.40740741","1","226","0.045882353","0.059292035","5.65","2.69047619","24.77876106"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00010","","","","84","61","1","5","28","10","18","15","1.8","0.8","65.6","1","7","2.6","68.2","0.1","0.642857143","0.214285714","0.092857143","0.030952381","2.342857143","0.780952381","3.812316716","33.33333333","0.793650794","2.380952381","1.14638448","3.439153439","28.92416226","86.77248677","30.07054674","90.21164021","1","33","0.053333333","0.078787879","1.178571429","0.392857143","54.54545455"
