"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00001","","","","23","23","1","1","8","3","17","7","17","0.4","37","0.2","3","4","4","1.38","4","0.6","0.966183575","0.644122383","4.830917874","3.6","16.66666667","26.92","73.91304348","54","0.023529412","0.005405405","0.011111111","3.176470588","2.347826087","1","0.739130435","0.035294118","0.026086957","31.48148148","0.16152","0.871459695","1.307189542","0.260096618","0.351895425","5.797101449","0.176470588","0.130434783","6.535947712","7.843137255"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00002","","","","23","23","1","4","8","4","4","1","2","0.8","","","4","3","4","0.02","4","","","1.288244767","6.441223833","","","27","17.39130435","","0.4","","","","","0.5","0.086956522","","","","","7.407407407","","","","","1","0.173913043","37.03703704",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00003","","","","23","23","1","1","7","9.2","20","20","44","2.1","86","2.4","4","2","5","4.61","3","4.5","7.246376812","3.381642512","14.81481481","13.7","32.84671533","32","86.95652174","130","0.047727273","0.027906977","0.034615385","6.5","5.652173913","2.2","1.913043478","0.225","0.195652174","33.84615385","1.44","3.888888889","8.333333333","2.31884058","2.666666667","22.06119163","0.46","0.4","17.03703704","25.37037037"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00004","","","","23","23","1","1","9","5","15","9","33","6","23","1.4","4","4","4","3.96","4","7.4","11.91626409","9.661835749","8.051529791","12.4","59.67741935","28","65.2173913","56","0.181818182","0.060869565","0.132142857","3.733333333","2.434782609","2.2","1.434782609","0.493333333","0.32173913","58.92857143","2.072","14.81481481","18.27160494","3.336553945","5.116049383","19.96779388","0.333333333","0.217391304","12.34567901","30.61728395"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00005","","","","23","23","1","1","8","1","10","10","41","2.3","40","1","1","1","2","3.03","4","3.3","5.314009662","3.703703704","1.610305958","4.3","76.74418605","28","43.47826087","81","0.056097561","0.025","0.040740741","8.1","3.52173913","4.1","1.782608696","0.33","0.143478261","50.61728395","0.924","8.518518519","12.22222222","1.487922705","3.422222222","6.92431562","0.1","0.043478261","3.703703704","15.92592593"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00006","","","","23","23","1","1","8","28.6","21","15","13","0.5","44","0.4","3","5","5","1.38","3","0.9","1.449275362","0.805152979","46.0547504","29.5","3.050847458","34","91.30434783","57","0.038461538","0.009090909","0.015789474","2.714285714","2.47826087","0.619047619","0.565217391","0.042857143","0.039130435","22.80701754","0.306","0.881834215","1.587301587","0.492753623","0.53968254","47.50402576","1.361904762","1.243478261","50.44091711","52.02821869"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00007","","","","23","23","1","1","7","22","16","13","18","1","27","3.4","2","4","5","0.12","2","4.4","7.085346216","1.610305958","35.42673108","26.4","16.66666667","36","69.56521739","45","0.055555556","0.125925926","0.097777778","2.8125","1.956521739","1.125","0.782608696","0.275","0.191304348","40","1.584","2.314814815","10.18518519","2.550724638","3.666666667","42.51207729","1.375","0.956521739","50.92592593","61.11111111"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00008","","","","23","23","1","1","8","9","14","12","67","3.2","63","","5","5","4","0.69","3","","","5.152979066","14.49275362","","","26","60.86956522","130","0.047761194","","","9.285714286","5.652173913","4.785714286","2.913043478","","","51.53846154","","8.465608466","","","","","0.642857143","0.391304348","23.80952381",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00009","","","","23","23","6","1","4","12","12","1","10","0.6","1","","3","4","3","5.49","5","","","0.966183575","19.3236715","","","25","52.17391304","11","0.06","","","0.916666667","0.47826087","0.833333333","0.434782609","","","90.90909091","","1.851851852","","","","","1","0.52173913","37.03703704",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00010","","","","23","23","1","1","9","2.6","20","7","17","2","9","0.4","2","4","5","4.61","3","2.4","3.8647343","3.220611916","4.186795491","5","48","27.66","86.95652174","26","0.117647059","0.044444444","0.092307692","1.3","1.130434783","0.85","0.739130435","0.12","0.104347826","65.38461538","0.66384","3.703703704","4.444444444","1.068985507","1.229333333","8.051529791","0.13","0.113043478","4.814814815","9.259259259"
