"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00001","","","","26","26","1","1","6","26","26","6","70","1.3","8","0.8","5","1","3","3","50","13.2","4.19","2.02","1.16","18.973","51.76","4.01","5.53","13.47","9.3","10.1","76","0.216666667","0.114285714","0.122368421","2.923076923","2.923076923","0.230769231","0.230769231","0.357692308","0.357692308","0.030769231","0.030769231","7.894736842","92.07920792","100","26.4","2.4552","1.851851852","1.851851852","13.24786325","13.24786325","1.13960114","1.13960114","3.497435897","3.497435897","14.38746439","14.38746439"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00002","","","","26","25","1","1","5","25","25","6","73","1.2","16.3","5.2","6","1","3","3","50.2","11.9","3.14","1.89","1.13","30.9","46.85","4.3","6.11","19.99","17.5","22.7","79","0.2","0.223287671","0.221518987","3.16","3.038461538","0.24","0.230769231","0.7","0.673076923","0.208","0.2","7.594936709","77.09251101","96.15384615","23.70517928","4.148406375","1.709401709","1.777777778","24.92877493","25.92592593","7.407407407","7.703703704","5.90941079","6.145787221","32.33618234","33.62962963"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00003","","","","26","25","1","1","5","25","25","4","45","1","3.5","2","5","5","5","3","50.9","15","3.34","1.92","1.23","31.429","58.7","3.25","4.49","7.98","4.5","6.5","49","0.25","0.077777778","0.091836735","1.96","1.884615385","0.16","0.153846154","0.18","0.173076923","0.08","0.076923077","8.163265306","69.23076923","96.15384615","29.46954813","1.326129666","1.424501425","1.481481481","6.41025641","6.666666667","2.849002849","2.962962963","1.889073598","1.964636542","9.259259259","9.62962963"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00004","","","","26","26","1","4","5","26","25","6","94","1","6.5","4","5","5","5","5","","","","","","","","","","","7.5","11.5","100","0.166666667","0.069148936","0.075","3.846153846","3.846153846","0.230769231","0.230769231","0.288461538","0.288461538","0.153846154","0.153846154","6","65.2173913","100","","","1.424501425","1.424501425","10.68376068","10.68376068","5.698005698","5.698005698","","","16.38176638","16.38176638"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00005","","","","26","24","1","1","6","24","24","1","71","0.3","2.8","6.6","8","7","5","5","50.6","15.9","4.7","1.81","1.21","69.195","63.88","1.56","3.05","7.37","3.1","9.7","72","0.3","0.03943662","0.043055556","3","2.769230769","0.041666667","0.038461538","0.129166667","0.119230769","0.275","0.253846154","1.388888889","31.95876289","92.30769231","31.4229249","0.974110672","0.427350427","0.462962963","4.415954416","4.783950617","9.401709402","10.18518519","1.38762204","1.50325721","13.81766382","14.9691358"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00006","","","","26","5","1","1","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.23076923","","","","","","","","","","","",""
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00007","","","","26","17","1","1","3","17","17","2","8","0.3","0.3","2","8","9","7","5","50.5","16.5","3.72","2.18","1.41","113.583","37.02","3.87","6","28.82","0.6","2.6","10","0.15","0.0375","0.06","0.588235294","0.384615385","0.117647059","0.076923077","0.035294118","0.023076923","0.117647059","0.076923077","20","23.07692308","65.38461538","32.67326733","0.196039604","0.427350427","0.653594771","0.854700855","1.307189542","2.849002849","4.357298475","0.279258695","0.427101534","3.703703704","5.664488017"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00008","","","","26","12","1","5","3","12","12","3","18","0.4","0.7","4.2","8","5","7","3","50.9","15.8","5.92","2.11","1.22","120.346","61.38","1.89","3.15","10.59","1.1","5.3","21","0.133333333","0.038888889","0.052380952","1.75","0.807692308","0.25","0.115384615","0.091666667","0.042307692","0.35","0.161538462","14.28571429","20.75471698","46.15384615","31.04125737","0.341453831","0.56980057","1.234567901","1.566951567","3.395061728","5.982905983","12.96296296","0.486401469","1.053869849","7.54985755","16.35802469"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00009","","","","26","16","1","1","5","16","16","3","38","0.3","1.5","4.5","8","5","7","3","26.7","10.4","4.27","1.69","1.11","100.711","63.09","0.77","1.9","8.79","1.8","6.3","41","0.1","0.039473684","0.043902439","2.5625","1.576923077","0.1875","0.115384615","0.1125","0.069230769","0.28125","0.173076923","7.317073171","28.57142857","61.53846154","38.95131086","0.701123596","0.427350427","0.694444444","2.564102564","4.166666667","6.41025641","10.41666667","0.998751561","1.622971286","8.974358974","14.58333333"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00010","","","","26","12","3","5","5","12","2","0","3","0","0.3","7.8","5","9","9","9","","","","","","","","","","","0.3","8.1","3","","0.1","0.1","0.25","0.115384615","0","0","0.025","0.011538462","0.65","0.3","0","3.703703704","46.15384615","","","0","0","0.427350427","0.925925926","11.11111111","24.07407407","","","11.53846154","25"
