"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00001","","","","25","12","1","1","2","2.9","12","5","4","0.5","1","","1","1","5","","3","","","0.740740741","4.296296296","","","28","48","5","0.125","","","0.416666667","0.2","0.333333333","0.16","","","80","","1.543209877","","","","","0.241666667","0.116","8.950617284",""
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00002","","","","25","16","1","1","2","3.5","16","14","12","17","30","3","4","4","5","0.03","3","20","29.62962963","25.18518519","5.185185185","23.5","85.10638298","32","64","42","1.416666667","0.1","0.476190476","2.625","1.68","0.75","0.48","1.25","0.8","28.57142857","6.4","39.35185185","46.2962963","9.481481481","14.81481481","34.81481481","0.21875","0.14","8.101851852","54.39814815"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00003","","","","25","25","4","1","3","11.5","23","8","8","1","10","0.5","3","4","5","3.76","3","1.5","2.222222222","1.481481481","17.03703704","13","11.53846154","31.71","92","18","0.125","0.05","0.083333333","0.782608696","0.72","0.347826087","0.32","0.065217391","0.06","44.44444444","0.47565","1.610305958","2.415458937","0.704666667","0.765942029","19.25925926","0.5","0.46","18.51851852","20.93397746"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00004","","","","25","17","3","1","5","10.5","17","17","33","6","28","1","4","4","5","1.17","3","7","10.37037037","8.888888889","15.55555556","17.5","40","32","68","61","0.181818182","0.035714286","0.114754098","3.588235294","2.44","1.941176471","1.32","0.411764706","0.28","54.09836066","2.24","13.07189542","15.25054466","3.318518519","4.880174292","25.92592593","0.617647059","0.42","22.87581699","38.12636166"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00005","","","","25","17","2","1","3","2.8","17","12","15","8","13","3","4","4","5","1.76","3","11","16.2962963","11.85185185","4.148148148","13.8","79.71014493","32","68","28","0.533333333","0.230769231","0.392857143","1.647058824","1.12","0.882352941","0.6","0.647058824","0.44","53.57142857","3.52","17.4291939","23.96514161","5.214814815","7.668845316","20.44444444","0.164705882","0.112","6.100217865","30.06535948"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00006","","","","25","20","1","3","2","11.8","20","18","15","3","15","1","3","3","5","1.17","4","4","5.925925926","4.444444444","17.48148148","15.8","25.3164557","30","80","30","0.2","0.066666667","0.133333333","1.5","1.2","0.75","0.6","0.2","0.16","50","1.2","5.555555556","7.407407407","1.777777778","2.222222222","23.40740741","0.59","0.472","21.85185185","29.25925926"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00007","","","","25","22","4","4","4","23.1","22","16","20","2.5","9","1","3","4","5","0.12","2","3.5","5.185185185","3.703703704","34.22222222","26.6","13.15789474","34","88","29","0.125","0.111111111","0.120689655","1.318181818","1.16","0.909090909","0.8","0.159090909","0.14","68.96551724","1.19","4.208754209","5.892255892","1.762962963","2.003367003","39.40740741","1.05","0.924","38.88888889","44.78114478"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00008","","","","25","20","2","1","3","11.4","19","19","33","8.5","32","2.5","4","4","5","1.5","4","11","16.2962963","12.59259259","16.88888889","22.4","49.10714286","34","76","65","0.257575758","0.078125","0.169230769","3.421052632","2.6","1.736842105","1.32","0.578947368","0.44","50.76923077","3.74","16.56920078","21.44249513","5.540740741","7.290448343","33.18518519","0.6","0.456","22.22222222","43.66471735"
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00009","","","","25","15","2","1","1","2","15","6","","","10","1","1","2","5","0","3","","","","2.962962963","","","30","60","","","0.1","","","","","","","","","","","","","","","0.133333333","0.08","4.938271605",""
"","","MZP2009ANG-MT01","","","","","","","","","MZP2009ANG-MT01-00010","","","","25","22","5","6","3","7.8","17","15","11","2","14","0.5","4","3","5","4.92","5","2.5","3.703703704","2.962962963","11.55555556","10.3","24.27184466","","68","25","0.181818182","0.035714286","0.1","1.470588235","1","0.647058824","0.44","0.147058824","0.1","44","","4.357298475","5.446623094","","","15.25925926","0.458823529","0.312","16.99346405","22.44008715"
