"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00001","","","","26","18","1","1","7","4","4","10","15","3.8","1.6","8","9","5","5","5","5","3","5","5.4","13.4","25","0.38","0.106666667","0.216","6.25","0.961538462","2.5","0.384615385","1.35","0.207692308","2","0.307692308","40","40.29850746","15.38461538","5.413105413","35.18518519","7.692307692","50","11.3960114","74.07407407","19.08831909","124.0740741"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00002","","","","26","21","1","1","7","13","7","10","9","2","1","14","3","3","1","3","3","3","5","3","17","19","0.2","0.111111111","0.157894737","1.461538462","0.730769231","0.769230769","0.384615385","0.230769231","0.115384615","1.076923077","0.538461538","52.63157895","17.64705882","50","2.849002849","5.698005698","4.273504274","8.547008547","19.94301994","39.88603989","24.21652422","48.43304843"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00003","","","","26","15","5","1","4","15","8","7","29","1.2","5","23","3","3","3","1","1","3","3","6.2","29.2","36","0.171428571","0.172413793","0.172222222","2.4","1.384615385","0.466666667","0.269230769","0.413333333","0.238461538","1.533333333","0.884615385","19.44444444","21.23287671","57.69230769","1.709401709","2.962962963","8.831908832","15.30864198","32.76353276","56.79012346","41.5954416","72.09876543"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00004","","","","26","12","1","1","2","12","10","1","1","1.5","1","18","1","3","3","1","1","3","5","2.5","20.5","2","1.5","1","1.25","0.166666667","0.076923077","0.083333333","0.038461538","0.208333333","0.096153846","1.5","0.692307692","50","12.19512195","46.15384615","2.136752137","4.62962963","3.561253561","7.716049383","25.64102564","55.55555556","29.2022792","63.27160494"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00005","","","","26","17","1","1","6","11","10","5","0","2.5","0","20","1","1","1","3","5","3","5","2.5","22.5","5","0.5","","0.5","0.454545455","0.192307692","0.454545455","0.192307692","0.227272727","0.096153846","1.818181818","0.769230769","100","11.11111111","42.30769231","3.561253561","8.417508418","3.561253561","8.417508418","28.49002849","67.34006734","32.05128205","75.75757576"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00006","","","","26","19","1","1","8","11","11","23","19","10","1","1.6","1","3","1","1","3","1","1","11","12.6","42","0.434782609","0.052631579","0.261904762","3.818181818","1.615384615","2.090909091","0.884615385","1","0.423076923","0.145454545","0.061538462","54.76190476","87.3015873","42.30769231","14.24501425","33.67003367","15.66951567","37.03703704","2.279202279","5.387205387","17.94871795","42.42424242"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00007","","","","26","24","1","1","9","16","12","12","18","8","2","20","1","3","1","1","5","3","3","10","30","30","0.666666667","0.111111111","0.333333333","1.875","1.153846154","0.75","0.461538462","0.625","0.384615385","1.25","0.769230769","40","33.33333333","61.53846154","11.3960114","18.51851852","14.24501425","23.14814815","28.49002849","46.2962963","42.73504274","69.44444444"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00008","","","","26","26","1","1","9","13","10","12","14","4","5","25","1","1","1","1","5","3","3","9","34","26","0.333333333","0.357142857","0.346153846","2","1","0.923076923","0.461538462","0.692307692","0.346153846","1.923076923","0.961538462","46.15384615","26.47058824","50","5.698005698","11.3960114","12.82051282","25.64102564","35.61253561","71.22507123","48.43304843","96.86609687"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00009","","","","26","4","1","3","4","4","4","6","17","2","3.5","1","","","","","","","","5.5","6.5","23","0.333333333","0.205882353","0.239130435","5.75","0.884615385","1.5","0.230769231","1.375","0.211538462","0.25","0.038461538","26.08695652","84.61538462","15.38461538","2.849002849","18.51851852","7.834757835","50.92592593","1.424501425","9.259259259","9.259259259","60.18518519"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00010","","","","26","17","1","2","7","11","8","7","30","7","6.5","4","1","1","3","1","3","3","3","13.5","17.5","37","1","0.216666667","0.364864865","3.363636364","1.423076923","0.636363636","0.269230769","1.227272727","0.519230769","0.363636364","0.153846154","18.91891892","77.14285714","42.30769231","9.971509972","23.56902357","19.23076923","45.45454545","5.698005698","13.46801347","24.92877493","58.92255892"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00011","","","","26","14","1","1","5","11","3","10","18","6","2.8","5.5","1","1","1","1","5","3","5","8.8","14.3","28","0.6","0.155555556","0.314285714","2.545454545","1.076923077","0.909090909","0.384615385","0.8","0.338461538","0.5","0.211538462","35.71428571","61.53846154","42.30769231","8.547008547","20.2020202","12.53561254","29.62962963","7.834757835","18.51851852","20.37037037","48.14814815"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00012","","","","26","18","1","1","7","12","0","0","0","0","0","0","","","","","","","","0","0","0","","","","0","0","0","0","0","0","0","0","","","46.15384615","0","0","0","0","0","0","0","0"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00013","","","","26","11","4","2","4","11","10","14","14","6.8","9","9","5","1","3","3","3","3","3","15.8","24.8","28","0.485714286","0.642857143","0.564285714","2.545454545","1.076923077","1.272727273","0.538461538","1.436363636","0.607692308","0.818181818","0.346153846","50","63.70967742","42.30769231","9.686609687","22.8956229","22.50712251","53.1986532","12.82051282","30.3030303","35.32763533","83.5016835"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00014","","","","26","22","1","1","7","22","21","14","18","3","1","35","1","1","1","1","3","3","3","4","39","32","0.214285714","0.055555556","0.125","1.454545455","1.230769231","0.636363636","0.538461538","0.181818182","0.153846154","1.590909091","1.346153846","43.75","10.25641026","84.61538462","4.273504274","5.050505051","5.698005698","6.734006734","49.85754986","58.92255892","55.55555556","65.65656566"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00015","","","","26","19","1","1","7","19","16","6","7","5","4","20","1","1","1","1","5","5","3","9","29","13","0.833333333","0.571428571","0.692307692","0.684210526","0.5","0.315789474","0.230769231","0.473684211","0.346153846","1.052631579","0.769230769","46.15384615","31.03448276","73.07692308","7.122507123","9.746588694","12.82051282","17.54385965","28.49002849","38.98635478","41.31054131","56.53021442"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00016","","","","26","21","1","1","8","21","16","24","7","5","0.6","21","1","1","1","1","3","3","5","5.6","26.6","31","0.208333333","0.085714286","0.180645161","1.476190476","1.192307692","1.142857143","0.923076923","0.266666667","0.215384615","1","0.807692308","77.41935484","21.05263158","80.76923077","7.122507123","8.818342152","7.977207977","9.87654321","29.91452991","37.03703704","37.89173789","46.91358025"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00017","","","","26","18","6","1","7","18","14","16","14","5","1.8","30","1","1","1","1","3","5","3","6.8","36.8","30","0.3125","0.128571429","0.226666667","1.666666667","1.153846154","0.888888889","0.615384615","0.377777778","0.261538462","1.666666667","1.153846154","53.33333333","18.47826087","69.23076923","7.122507123","10.28806584","9.686609687","13.99176955","42.73504274","61.72839506","52.42165242","75.72016461"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00018","","","","26","16","1","1","5","16","13","9","4","1.8","0.9","22","5","3","1","1","3","3","5","2.7","24.7","13","0.2","0.225","0.207692308","0.8125","0.5","0.5625","0.346153846","0.16875","0.103846154","1.375","0.846153846","69.23076923","10.93117409","61.53846154","2.564102564","4.166666667","3.846153846","6.25","31.33903134","50.92592593","35.18518519","57.17592593"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00019","","","","26","19","1","3","7","19","15","23","30","7","2.6","72","1","3","3","1","5","3","5","9.6","81.6","53","0.304347826","0.086666667","0.181132075","2.789473684","2.038461538","1.210526316","0.884615385","0.505263158","0.369230769","3.789473684","2.769230769","43.39622642","11.76470588","73.07692308","9.971509972","13.64522417","13.67521368","18.71345029","102.5641026","140.3508772","116.2393162","159.0643275"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00020","","","","26","22","4","1","6","20","13","8","9","3","1.2","40","1","1","3","1","3","5","5","4.2","44.2","17","0.375","0.133333333","0.247058824","0.85","0.653846154","0.4","0.307692308","0.21","0.161538462","2","1.538461538","47.05882353","9.502262443","76.92307692","4.273504274","5.555555556","5.982905983","7.777777778","56.98005698","74.07407407","62.96296296","81.85185185"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00021","","","","26","19","1","3","8","19","16","11","3","3","4","28","9","9","1","5","3","5","5","7","35","14","0.272727273","1.333333333","0.5","0.736842105","0.538461538","0.578947368","0.423076923","0.368421053","0.269230769","1.473684211","1.076923077","78.57142857","20","73.07692308","4.273504274","5.847953216","9.971509972","13.64522417","39.88603989","54.58089669","49.85754986","68.22612086"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00022","","","","26","10","1","1","4","10","7","12","16","2","1","15","5","3","1","1","3","3","5","3","18","28","0.166666667","0.0625","0.107142857","2.8","1.076923077","1.2","0.461538462","0.3","0.115384615","1.5","0.576923077","42.85714286","16.66666667","38.46153846","2.849002849","7.407407407","4.273504274","11.11111111","21.36752137","55.55555556","25.64102564","66.66666667"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00023","","","","26","21","1","1","9","15","12","8","15","9","3","18","5","3","3","1","3","3","5","12","30","23","1.125","0.2","0.52173913","1.533333333","0.884615385","0.533333333","0.307692308","0.8","0.461538462","1.2","0.692307692","34.7826087","40","57.69230769","12.82051282","22.22222222","17.09401709","29.62962963","25.64102564","44.44444444","42.73504274","74.07407407"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00024","","","","26","21","1","1","9","21","19","4","22","3","14","23","9","9","1","3","1","9","5","17","40","26","0.75","0.636363636","0.653846154","1.238095238","1","0.19047619","0.153846154","0.80952381","0.653846154","1.095238095","0.884615385","15.38461538","42.5","80.76923077","4.273504274","5.291005291","24.21652422","29.98236332","32.76353276","40.5643739","56.98005698","70.54673721"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00025","","","","26","21","1","1","7","15","11","6","15","1.9","2.8","18","1","1","1","5","3","3","5","4.7","22.7","21","0.316666667","0.186666667","0.223809524","1.4","0.807692308","0.4","0.230769231","0.313333333","0.180769231","1.2","0.692307692","28.57142857","20.70484581","57.69230769","2.706552707","4.691358025","6.695156695","11.60493827","25.64102564","44.44444444","32.33618234","56.04938272"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00026","","","","26","8","4","1","4","6","2","6","9","2.2","0.4","31","1","1","1","3","5","3","3","2.6","33.6","15","0.366666667","0.044444444","0.173333333","2.5","0.576923077","1","0.230769231","0.433333333","0.1","5.166666667","1.192307692","40","7.738095238","23.07692308","3.133903134","13.58024691","3.703703704","16.04938272","44.15954416","191.3580247","47.86324786","207.4074074"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00027","","","","26","5","1","1","3","5","4","16","5","7.6","2","7","7","1","1","1","5","5","5","9.6","16.6","21","0.475","0.4","0.457142857","4.2","0.807692308","3.2","0.615384615","1.92","0.369230769","1.4","0.269230769","76.19047619","57.8313253","19.23076923","10.82621083","56.2962963","13.67521368","71.11111111","9.971509972","51.85185185","23.64672365","122.962963"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00028","","","","26","21","1","3","8","6","4","30","18","11","1.2","19","1","1","1","1","3","3","5","12.2","31.2","48","0.366666667","0.066666667","0.254166667","8","1.846153846","5","1.153846154","2.033333333","0.469230769","3.166666667","0.730769231","62.5","39.1025641","23.07692308","15.66951567","67.90123457","17.37891738","75.30864198","27.06552707","117.2839506","44.44444444","192.5925926"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00029","","","","26","17","1","1","6","15","11","6","8","2","1","7","9","9","1","5","3","5","5","3","10","14","0.333333333","0.125","0.214285714","0.933333333","0.538461538","0.4","0.230769231","0.2","0.115384615","0.466666667","0.269230769","42.85714286","30","57.69230769","2.849002849","4.938271605","4.273504274","7.407407407","9.971509972","17.28395062","14.24501425","24.69135802"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00030","","","","26","22","4","1","4","22","19","24","14","5","1","15","1","1","3","1","3","3","3","6","21","38","0.208333333","0.071428571","0.157894737","1.727272727","1.461538462","1.090909091","0.923076923","0.272727273","0.230769231","0.681818182","0.576923077","63.15789474","28.57142857","84.61538462","7.122507123","8.417508418","8.547008547","10.1010101","21.36752137","25.25252525","29.91452991","35.35353535"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00031","","","","26","16","6","3","5","16","12","14","26","3","2","12","1","1","1","1","5","3","5","5","17","40","0.214285714","0.076923077","0.125","2.5","1.538461538","0.875","0.538461538","0.3125","0.192307692","0.75","0.461538462","35","29.41176471","61.53846154","4.273504274","6.944444444","7.122507123","11.57407407","17.09401709","27.77777778","24.21652422","39.35185185"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00032","","","","26","19","1","1","7","8","6","3","6","1.4","0.4","3","5","1","3","3","3","3","3","1.8","4.8","9","0.466666667","0.066666667","0.2","1.125","0.346153846","0.375","0.115384615","0.225","0.069230769","0.375","0.115384615","33.33333333","37.5","30.76923077","1.994301994","6.481481481","2.564102564","8.333333333","4.273504274","13.88888889","6.837606838","22.22222222"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00033","","","","26","18","2","1","5","18","15","2","4","2","3","11","3","3","3","1","1","3","3","5","16","6","1","0.75","0.833333333","0.333333333","0.230769231","0.111111111","0.076923077","0.277777778","0.192307692","0.611111111","0.423076923","33.33333333","31.25","69.23076923","2.849002849","4.115226337","7.122507123","10.28806584","15.66951567","22.63374486","22.79202279","32.9218107"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00034","","","","26","23","1","1","8","9","5","6","2","5","0.4","5","1","3","1","1","3","1","1","5.4","10.4","8","0.833333333","0.2","0.675","0.888888889","0.307692308","0.666666667","0.230769231","0.6","0.207692308","0.555555556","0.192307692","75","51.92307692","34.61538462","7.122507123","20.57613169","7.692307692","22.22222222","7.122507123","20.57613169","14.81481481","42.79835391"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00035","","","","26","14","5","3","6","4","3","2","7","1","4","6","9","9","1","3","1","9","5","5","11","9","0.5","0.571428571","0.555555556","2.25","0.346153846","0.5","0.076923077","1.25","0.192307692","1.5","0.230769231","22.22222222","45.45454545","15.38461538","1.424501425","9.259259259","7.122507123","46.2962963","8.547008547","55.55555556","15.66951567","101.8518519"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00036","","","","26","5","1","1","7","2","2","10","6","3","1.9","5","1","1","1","1","3","3","3","4.9","9.9","16","0.3","0.316666667","0.30625","8","0.615384615","5","0.384615385","2.45","0.188461538","2.5","0.192307692","62.5","49.49494949","7.692307692","4.273504274","55.55555556","6.98005698","90.74074074","7.122507123","92.59259259","14.1025641","183.3333333"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00037","","","","26","25","1","5","7","20","17","6","25","2","8","21","1","1","1","3","5","3","5","10","31","31","0.333333333","0.32","0.322580645","1.55","1.192307692","0.3","0.230769231","0.5","0.384615385","1.05","0.807692308","19.35483871","32.25806452","76.92307692","2.849002849","3.703703704","14.24501425","18.51851852","29.91452991","38.88888889","44.15954416","57.40740741"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00038","","","","26","7","3","3","4","3","3","11","13","7.6","8","21","1","3","3","1","5","3","5","15.6","36.6","24","0.690909091","0.615384615","0.65","8","0.923076923","3.666666667","0.423076923","5.2","0.6","7","0.807692308","45.83333333","42.62295082","11.53846154","10.82621083","93.82716049","22.22222222","192.5925926","29.91452991","259.2592593","52.13675214","451.8518519"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00039","","","","26","19","3","1","3","19","18","21","16","5","3.5","21","3","3","1","3","3","3","5","8.5","29.5","37","0.238095238","0.21875","0.22972973","1.947368421","1.423076923","1.105263158","0.807692308","0.447368421","0.326923077","1.105263158","0.807692308","56.75675676","28.81355932","73.07692308","7.122507123","9.746588694","12.10826211","16.56920078","29.91452991","40.93567251","42.02279202","57.50487329"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00040","","","","26","20","2","1","8","8","6","5","4","20","0.4","4","5","3","1","1","3","3","5","20.4","24.4","9","4","0.1","2.266666667","1.125","0.346153846","0.625","0.192307692","2.55","0.784615385","0.5","0.153846154","55.55555556","83.60655738","30.76923077","28.49002849","92.59259259","29.05982906","94.44444444","5.698005698","18.51851852","34.75783476","112.962963"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00041","","","","26","16","1","1","7","13","8","19","36","3","7","14","1","1","1","1","5","3","3","10","24","55","0.157894737","0.194444444","0.181818182","4.230769231","2.115384615","1.461538462","0.730769231","0.769230769","0.384615385","1.076923077","0.538461538","34.54545455","41.66666667","50","4.273504274","8.547008547","14.24501425","28.49002849","19.94301994","39.88603989","34.18803419","68.37606838"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00042","","","","26","17","3","1","8","17","15","13","18","3","11","13","5","3","3","1","3","3","5","14","27","31","0.230769231","0.611111111","0.451612903","1.823529412","1.192307692","0.764705882","0.5","0.823529412","0.538461538","0.764705882","0.5","41.93548387","51.85185185","65.38461538","4.273504274","6.535947712","19.94301994","30.50108932","18.51851852","28.32244009","38.46153846","58.82352941"
"","","MZP2013UMB-MT03","","","","","","","","","MZP2013UMB-MT03-00043","","","","26","18","2","1","8","18","16","11","7","6","6","11","","","","","","","","12","23","18","0.545454545","0.857142857","0.666666667","1","0.692307692","0.611111111","0.423076923","0.666666667","0.461538462","0.611111111","0.423076923","61.11111111","52.17391304","69.23076923","8.547008547","12.34567901","17.09401709","24.69135802","15.66951567","22.63374486","32.76353276","47.32510288"
