"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00001","","","","39","31","1","1","5","19","1","0","2","0","0.3","6","2","7","7","5","3","3","7","1","3.03","0.3","6.3","2","","0.15","0.15","0.105263158","0.051282051","0","0","0.015789474","0.007692308","0.315789474","0.153846154","0","4.761904762","48.71794872","0","0","0.284900285","0.584795322","5.698005698","11.69590643","5.982905983","12.28070175"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00002","","","","39","32","1","1","5","15","0","0","0","0","0","5","","","","","","","","","","0","5","0","","","","0","0","0","0","0","0","0.333333333","0.128205128","","0","38.46153846","0","0","0","0","4.748338082","12.34567901","4.748338082","12.34567901"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00003","","","","39","35","1","1","5","35","9","0","11","0","5","8.5","6","5","5","3","1","5","5","3","7.76","5","13.5","11","","0.454545455","0.454545455","0.314285714","0.282051282","0","0","0.142857143","0.128205128","0.242857143","0.217948718","0","37.03703704","89.74358974","0","0","4.748338082","5.291005291","8.072174739","8.994708995","12.82051282","14.28571429"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00004","","","","39","35","1","3","5","35","0","0","0","0","0","16","","","","","","","","","","0","16","0","","","","0","0","0","0","0","0","0.457142857","0.41025641","","0","89.74358974","0","0","0","0","15.19468186","16.93121693","15.19468186","16.93121693"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00005","","","","39","34","1","1","5","27","1","0","2","0","0.3","7","5","7","7","1","1","5","5","3","7.23","0.3","7.3","2","","0.15","0.15","0.074074074","0.051282051","0","0","0.011111111","0.007692308","0.259259259","0.179487179","0","4.109589041","69.23076923","0","0","0.284900285","0.411522634","6.647673314","9.602194787","6.932573599","10.01371742"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00006","","","","39","36","1","1","7","36","0","0","0","0","0","34","","","","","","","","","","0","34","0","","","","0","0","0","0","0","0","0.944444444","0.871794872","","0","92.30769231","0","0","0","0","32.28869896","34.97942387","32.28869896","34.97942387"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00007","","","","39","30","1","3","5","24","7","11","17","4.2","5.6","16.5","2","3","3","3","1","5","5","3","7.76","9.8","26.3","28","0.381818182","0.329411765","0.35","1.166666667","0.717948718","0.458333333","0.282051282","0.408333333","0.251282051","0.6875","0.423076923","39.28571429","37.26235741","61.53846154","3.988603989","6.481481481","9.30674264","15.12345679","15.66951567","25.46296296","24.97625831","40.58641975"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00008","","","","39","28","3","5","5","27","10","6","16","1.1","5.7","6.5","2","3","5","5","1","5","5","3","6.12","6.8","13.3","22","0.183333333","0.35625","0.309090909","0.814814815","0.564102564","0.222222222","0.153846154","0.251851852","0.174358974","0.240740741","0.166666667","27.27272727","51.12781955","69.23076923","1.044634378","1.508916324","6.457739791","9.327846365","6.172839506","8.916323731","12.6305793","18.2441701"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00009","","","","39","29","1","1","5","29","10","12","22","4.1","6.1","21","2","3","3","3","1","7","3","5","10.5","10.2","31.2","34","0.341666667","0.277272727","0.3","1.172413793","0.871794872","0.413793103","0.307692308","0.351724138","0.261538462","0.724137931","0.538461538","35.29411765","32.69230769","74.35897436","3.893637227","5.236270754","9.686609687","13.02681992","19.94301994","26.81992337","29.62962963","39.8467433"
"","","MZP2015GUR-MT05","","","","","","","","","MZP2015GUR-MT05-00010","","","","39","27","1","1","7","27","9","13","21","4","6.2","11.5","2","3","3","3","1","5","7","5","6.12","10.2","21.7","34","0.307692308","0.295238095","0.3","1.259259259","0.871794872","0.481481481","0.333333333","0.377777778","0.261538462","0.425925926","0.294871795","38.23529412","47.00460829","69.23076923","3.798670465","5.48696845","9.686609687","13.99176955","10.92117759","15.77503429","20.60778727","29.76680384"
