"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00001","","","","39","21","3","5","1","21","21","10","50","1.6","2.1","2.6","5","5","7","50.04","14.94","9","7","7","3","4.28","1.75","1.42","43.49","12.38","62.42","3.05","5.58","13.64","0.12","3.7","6.3","60","0.16","0.042","0.061666667","2.857142857","1.538461538","0.476190476","0.256410256","0.176190476","0.094871795","0.123809524","0.066666667","16.66666667","58.73015873","53.84615385","29.85611511","1.104676259","1.519468186","2.821869489","3.51377018","6.525573192","2.469135802","4.585537919","1.04907527","1.948282644","5.982905983","11.11111111"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00002","","","","39","20","1","1","9","20","20","20","40","6.5","5.5","20.4","3","3","3","50.01","15.42","7","5","5","5","3.5","1.24","1.01","40.75","4.92","66.47","2.64","4.33","11.22","0.13","12","32.4","60","0.325","0.1375","0.2","3","1.538461538","1","0.512820513","0.6","0.307692308","1.02","0.523076923","33.33333333","37.03703704","51.28205128","30.83383323","3.700059988","6.172839506","12.03703704","11.3960114","22.22222222","19.37321937","37.77777778","3.513827149","6.851962941","30.76923077","60"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00003","","","","39","30","3","3","7","30","26","15","48","2.7","3","16.6","5","5","5","50.04","14.21","9","5","7","5","3.67","1.68","1.56","41.57","5.49","64.87","2.27","3.73","10.2","0.48","5.7","22.3","63","0.18","0.0625","0.09047619","2.1","1.615384615","0.5","0.384615385","0.19","0.146153846","0.553333333","0.425641026","23.80952381","25.56053812","76.92307692","28.39728217","1.618645084","2.564102564","3.333333333","5.413105413","7.037037037","15.76448243","20.49382716","1.537174819","1.998327264","21.17758784","27.5308642"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00004","","","","39","20","1","1","5","20","20","11","63","3","2.5","6.8","7","5","5","50.03","16.71","7","5","5","5","5.82","1.86","1.45","15.89","4.61","67.96","1.6","3.56","5.78","0.23","5.5","12.3","74","0.272727273","0.03968254","0.074324324","3.7","1.897435897","0.55","0.282051282","0.275","0.141025641","0.34","0.174358974","14.86486486","44.71544715","51.28205128","33.39996002","1.836997801","2.849002849","5.555555556","5.22317189","10.18518519","6.457739791","12.59259259","1.744537323","3.40184778","11.68091168","22.77777778"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00005","","","","39","28","1","1","5","28","25","27","36","10.5","3.9","13.3","3","3","3","50.04","14.92","5","3","3","7","5.17","1.75","1.37","13.96","10.5","67.95","2.22","3.78","4.7","0.05","14.4","27.7","63","0.388888889","0.108333333","0.228571429","2.25","1.615384615","0.964285714","0.692307692","0.514285714","0.369230769","0.475","0.341025641","42.85714286","51.98555957","71.79487179","29.81614708","4.29352518","9.971509972","13.88888889","13.67521368","19.04761905","12.6305793","17.59259259","4.077421823","5.679266111","26.30579297","36.64021164"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00006","","","","39","27","5","5","3","27","25","18","52","2.6","2.8","5.8","3","5","5","50.05","15.38","7","7","5","3","4.71","1.83","1.31","42.36","10.5","62.38","2.34","4.06","12.62","0.43","5.4","11.2","70","0.144444444","0.053846154","0.077142857","2.592592593","1.794871795","0.666666667","0.461538462","0.2","0.138461538","0.214814815","0.148717949","25.71428571","48.21428571","69.23076923","30.72927073","1.659380619","2.469135802","3.566529492","5.128205128","7.407407407","5.508072175","7.956104252","1.575860037","2.276242276","10.6362773","15.36351166"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00007","","","","39","26","1","1","5","26","23","20","40","5.2","2.8","11","5","5","3","50.08","14.97","7","7","5","5","3.75","1.42","1","26.89","6.12","63.62","2.49","3.95","14.53","0.18","8","19","60","0.26","0.07","0.133333333","2.307692308","1.538461538","0.769230769","0.512820513","0.307692308","0.205128205","0.423076923","0.282051282","33.33333333","42.10526316","66.66666667","29.89217252","2.391373802","4.938271605","7.407407407","7.597340931","11.3960114","10.44634378","15.66951567","2.271010258","3.406515387","18.04368471","27.06552707"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00008","","","","39","27","3","3","5","27","22","19","23","4","1.3","10.5","5","5","3","50.06","14.67","9","7","9","1","4.43","1.64","1.21","26.68","0.02","61.77","2.42","4.11","13.73","0.43","5.3","15.8","42","0.210526316","0.056521739","0.126190476","1.555555556","1.076923077","0.703703704","0.487179487","0.196296296","0.135897436","0.388888889","0.269230769","45.23809524","33.5443038","69.23076923","29.3048342","1.553156213","3.798670465","5.48696845","5.033238367","7.270233196","9.971509972","14.40329218","1.474982158","2.130529784","15.00474834","21.67352538"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00009","","","","39","32","1","1","7","32","23","43","75","5.7","2","17.3","3","1","1","50.06","11.62","7","7","5","3","3.13","1.75","1.12","45.42","7.23","56.55","4.95","6.66","15.38","0.39","7.7","25","118","0.13255814","0.026666667","0.065254237","3.6875","3.025641026","1.34375","1.102564103","0.240625","0.197435897","0.540625","0.443589744","36.44067797","30.8","82.05128205","23.21214543","1.787335198","5.413105413","6.597222222","7.312440646","8.912037037","16.42924976","20.02314815","1.697374357","2.068674997","23.74169041","28.93518519"
"","","MZP2016UMB-MT03","","","","","","","","","MZP2016UMB-MT03-00010","","","","39","25","2","3","9","25","20","25","21","4.9","1.1","24.6","1","1","3","50.02","14.19","7","5","7","3","4.74","1.9","1.3","39.79","10.5","59.8","2.94","4.72","14.61","","6","30.6","46","0.196","0.052380952","0.130434783","1.84","1.179487179","1","0.641025641","0.24","0.153846154","0.984","0.630769231","54.34782609","19.60784314","64.1025641","28.36865254","1.702119152","4.65337132","7.259259259","5.698005698","8.888888889","23.36182336","36.44444444","1.616447438","2.521658003","29.05982906","45.33333333"
