"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00001","","","","26","22","1","3","5","21","21","41","59","9.5","8.5","7.5","8","1","1","5","18","25.5","100","0.231707317","0.144067797","0.18","4.761904762","3.846153846","1.952380952","1.576923077","0.857142857","0.692307692","0.357142857","0.288461538","41","70.58823529","80.76923077","13.53276353","16.75485009","25.64102564","31.74603175","10.68376068","13.22751323","36.32478632","44.97354497"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00002","","","","26","25","1","1","7","24","24","49","62","10.1","10.1","12.5","7","1","1","3","20.2","32.7","111","0.206122449","0.162903226","0.181981982","4.625","4.269230769","2.041666667","1.884615385","0.841666667","0.776923077","0.520833333","0.480769231","44.14414414","61.77370031","92.30769231","14.38746439","15.58641975","28.77492877","31.17283951","17.80626781","19.29012346","46.58119658","50.46296296"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00003","","","","26","24","3","5","7","23","23","31","45","7.5","8.1","10.5","5","3","3","5","15.6","26.1","76","0.241935484","0.18","0.205263158","3.304347826","2.923076923","1.347826087","1.192307692","0.67826087","0.6","0.456521739","0.403846154","40.78947368","59.77011494","88.46153846","10.68376068","12.07729469","22.22222222","25.12077295","14.95726496","16.90821256","37.17948718","42.02898551"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00004","","","","26","20","1","1","5","20","20","29","39","6.5","7.2","6.5","5","3","3","5","13.7","20.2","68","0.224137931","0.184615385","0.201470588","3.4","2.615384615","1.45","1.115384615","0.685","0.526923077","0.325","0.25","42.64705882","67.82178218","76.92307692","9.259259259","12.03703704","19.51566952","25.37037037","9.259259259","12.03703704","28.77492877","37.40740741"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00005","","","","26","25","1","3","9","24","24","19","32","5","7.1","11.5","5","3","3","5","12.1","23.6","51","0.263157895","0.221875","0.237254902","2.125","1.961538462","0.791666667","0.730769231","0.504166667","0.465384615","0.479166667","0.442307692","37.25490196","51.27118644","92.30769231","7.122507123","7.716049383","17.23646724","18.67283951","16.38176638","17.74691358","33.61823362","36.41975309"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00006","","","","26","25","1","1","9","24","24","32","51","7.5","8.5","7.5","9","5","5","5","16","23.5","83","0.234375","0.166666667","0.192771084","3.458333333","3.192307692","1.333333333","1.230769231","0.666666667","0.615384615","0.3125","0.288461538","38.55421687","68.08510638","92.30769231","10.68376068","11.57407407","22.79202279","24.69135802","10.68376068","11.57407407","33.47578348","36.2654321"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00007","","","","26","19","1","5","5","19","19","30","42","7","6.5","5.5","6","3","3","3","13.5","19","72","0.233333333","0.154761905","0.1875","3.789473684","2.769230769","1.578947368","1.153846154","0.710526316","0.519230769","0.289473684","0.211538462","41.66666667","71.05263158","73.07692308","9.971509972","13.64522417","19.23076923","26.31578947","7.834757835","10.72124756","27.06552707","37.03703704"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00008","","","","26","21","3","7","5","21","21","15","29","4","7.1","6.5","7","3","3","3","11.1","17.6","44","0.266666667","0.244827586","0.252272727","2.095238095","1.692307692","0.714285714","0.576923077","0.528571429","0.426923077","0.30952381","0.25","34.09090909","63.06818182","80.76923077","5.698005698","7.054673721","15.81196581","19.57671958","9.259259259","11.4638448","25.07122507","31.04056437"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00009","","","","26","26","1","1","7","26","26","22","45","7","9.5","13.5","8","3","3","3","16.5","30","67","0.318181818","0.211111111","0.246268657","2.576923077","2.576923077","0.846153846","0.846153846","0.634615385","0.634615385","0.519230769","0.519230769","32.8358209","55","100","9.971509972","9.971509972","23.5042735","23.5042735","19.23076923","19.23076923","42.73504274","42.73504274"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00010","","","","26","20","1","1","5","20","20","29","47","6.5","8.5","7.5","5","3","3","7","15","22.5","76","0.224137931","0.180851064","0.197368421","3.8","2.923076923","1.45","1.115384615","0.75","0.576923077","0.375","0.288461538","38.15789474","66.66666667","76.92307692","9.259259259","12.03703704","21.36752137","27.77777778","10.68376068","13.88888889","32.05128205","41.66666667"
