"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00001","","","","26","22","18","17","55","35","14","2","23","8","8","3","50.2","15.5","14.37","3.24","1.58","1.14","48.79","55.82","31.82","57.39","4.37","6.89","12.45","16","39","90","0.254545455","0.057142857","0.177777778","5","3.461538462","3.055555556","2.115384615","0.888888889","0.615384615","1.277777778","0.884615385","61.11111111","41.02564103","69.23076923","30.87649402","4.940239044","19.94301994","28.80658436","22.79202279","32.9218107","32.76353276","47.32510288","7.037377555","10.16510091","55.55555556","80.24691358"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00002","","","","26","21","10","4","4","6","2.5","1.9","5.5","6","7","2","50.1","16.6","12.39","3.12","1.84","1.36","132.67","92.12","22.73","56.56","7.78","11.59","2","4.4","9.9","10","0.625","0.316666667","0.44","1","0.384615385","0.4","0.153846154","0.44","0.169230769","0.55","0.211538462","40","44.44444444","38.46153846","33.13373253","1.457884232","3.561253561","9.259259259","6.267806268","16.2962963","7.834757835","20.37037037","2.076758165","5.399571228","14.1025641","36.66666667"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00003","","","","26","18","13","6","10","8","7.4","2","30","8","6","5","50.6","11.6","10.5","3.17","1.59","1.05","112.59","89.32","19.41","50.91","8.28","11.92","8.8","9.4","39.4","18","0.74","0.25","0.522222222","1.384615385","0.692307692","0.769230769","0.384615385","0.723076923","0.361538462","2.307692308","1.153846154","55.55555556","23.85786802","50","22.92490119","2.154940711","10.54131054","21.08262108","13.39031339","26.78062678","42.73504274","85.47008547","3.069716113","6.139432226","56.12535613","112.2507123"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00004","","","","26","26","21","1","1","2","1","0.2","21","3","6","1","","","","","","","","","","","","","","1.2","22.2","3","1","0.1","0.4","0.142857143","0.115384615","0.047619048","0.038461538","0.057142857","0.046153846","1","0.807692308","33.33333333","5.405405405","80.76923077","","","1.424501425","1.76366843","1.709401709","2.116402116","29.91452991","37.03703704","","","31.62393162","39.15343915"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00005","","","","26","18","13","6","6","0","6.4","0","15","9","8","2","50.2","12.8","1.38","2.52","1.48","0.9","76.46","62.34","20.41","45.5","9.87","14.29","12.26","6.4","21.4","6","1.066666667","","1.066666667","0.461538462","0.230769231","0.461538462","0.230769231","0.492307692","0.246153846","1.153846154","0.576923077","100","29.90654206","50","25.49800797","1.63187251","9.116809117","18.23361823","9.116809117","18.23361823","21.36752137","42.73504274","2.324604715","4.64920943","30.48433048","60.96866097"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00006","","","","26","16","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","",""
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00007","","","","26","18","13","8","10","12","5","0.2","38","8","4","3","35.3","8.7","1.65","4.7","2.01","1.39","71.11","92.68","38.16","51.65","7.01","10.49","6.97","5.2","43.2","22","0.5","0.016666667","0.236363636","1.692307692","0.846153846","0.769230769","0.384615385","0.4","0.2","2.923076923","1.461538462","45.45454545","12.03703704","50","24.64589235","1.281586402","7.122507123","14.24501425","7.407407407","14.81481481","54.13105413","108.2621083","1.825621656","3.651243311","61.53846154","123.0769231"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00008","","","","26","16","10","6","9","7","8.5","3.9","28","6","8","1","50.5","12.4","3.03","2.82","1.49","1.03","87.16","67.39","18.43","51.69","8.96","12.76","7.52","12.4","40.4","16","0.944444444","0.557142857","0.775","1.6","0.615384615","0.9","0.346153846","1.24","0.476923077","2.8","1.076923077","56.25","30.69306931","38.46153846","24.55445545","3.044752475","12.10826211","31.48148148","17.66381766","45.92592593","39.88603989","103.7037037","4.337254238","11.27686102","57.54985755","149.6296296"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00009","","","","26","22","18","14","9","12","4.6","2","12","6","8","1","50.5","12.9","10.5","2.82","1.48","1.23","132.55","93.58","23.86","53.43","7.05","11.11","11.08","6.6","18.6","21","0.511111111","0.166666667","0.314285714","1.166666667","0.807692308","0.5","0.346153846","0.366666667","0.253846154","0.666666667","0.461538462","42.85714286","35.48387097","69.23076923","25.54455446","1.685940594","6.552706553","9.465020576","9.401709402","13.58024691","17.09401709","24.69135802","2.401624778","3.469013568","26.4957265","38.27160494"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00010","","","","26","21","15","6","52","52","13.5","3","30","4","6","1","50.5","13.2","14.37","3","1.89","1.35","107.04","105.18","37.83","49.55","6.02","9.14","13.87","16.5","46.5","104","0.259615385","0.057692308","0.158653846","6.933333333","4","3.466666667","2","1.1","0.634615385","2","1.153846154","50","35.48387097","57.69230769","26.13861386","4.312871287","19.23076923","33.33333333","23.5042735","40.74074074","42.73504274","74.07407407","6.143691292","10.64906491","66.23931624","114.8148148"
