"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00001","","","","26","18","1","1","7","13","10","14","19","6","13","16","9","5","5","5","5","3","5","6.12","33","0.428571429","0.684210526","0.575757576","2.538461538","1.269230769","1.076923077","0.538461538","1.461538462","0.730769231","1.230769231","0.615384615","42.42424242","54.28571429","50","8.547008547","17.09401709","27.06552707","54.13105413","22.79202279","45.58404558","49.85754986","99.71509972","19","35"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00002","","","","26","19","1","1","7","9","7","11","18","5","1.2","12.8","3","3","1","3","3","3","5","1.32","29","0.454545455","0.066666667","0.213793103","3.222222222","1.115384615","1.222222222","0.423076923","0.688888889","0.238461538","1.422222222","0.492307692","37.93103448","32.63157895","34.61538462","7.122507123","20.57613169","8.831908832","25.51440329","18.23361823","52.67489712","27.06552707","78.18930041","6.2","19"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00003","","","","26","3","4","3","4","3","3","12","14","7","2","16","3","3","3","1","1","3","3","","26","0.583333333","0.142857143","0.346153846","8.666666667","1","4","0.461538462","3","0.346153846","5.333333333","0.615384615","46.15384615","36","11.53846154","9.971509972","86.41975309","12.82051282","111.1111111","22.79202279","197.5308642","35.61253561","308.6419753","9","25"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00004","","","","26","3","1","1","2","3","3","4","8","1","3","2","1","3","3","1","1","3","5","3.96","12","0.25","0.375","0.333333333","4","0.461538462","1.333333333","0.153846154","1.333333333","0.153846154","0.666666667","0.076923077","33.33333333","66.66666667","11.53846154","1.424501425","12.34567901","5.698005698","49.38271605","2.849002849","24.69135802","8.547008547","74.07407407","4","6"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00005","","","","26","15","1","1","7","15","4","4","9","1","0.4","44","1","1","1","3","5","3","5","","13","0.25","0.044444444","0.107692308","0.866666667","0.5","0.266666667","0.153846154","0.093333333","0.053846154","2.933333333","1.692307692","30.76923077","3.083700441","57.69230769","1.424501425","2.469135802","1.994301994","3.456790123","62.67806268","108.6419753","64.67236467","112.0987654","1.4","45.4"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00006","","","","26","18","1","1","9","12","9","29","10","8","1","40","1","3","1","1","3","1","1","","39","0.275862069","0.1","0.230769231","3.25","1.5","2.416666667","1.115384615","0.75","0.346153846","3.333333333","1.538461538","74.35897436","18.36734694","46.15384615","11.3960114","24.69135802","12.82051282","27.77777778","56.98005698","123.4567901","69.8005698","151.2345679","9","49"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00007","","","","26","19","1","1","9","17","14","23","17","5","11","23","1","3","1","1","5","3","3","","40","0.217391304","0.647058824","0.4","2.352941176","1.538461538","1.352941176","0.884615385","0.941176471","0.615384615","1.352941176","0.884615385","57.5","41.02564103","65.38461538","7.122507123","10.89324619","22.79202279","34.8583878","32.76353276","50.10893246","55.55555556","84.96732026","16","39"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00008","","","","26","26","1","1","9","11","7","15","9","4","0.4","40","1","1","1","1","5","3","3","","24","0.266666667","0.044444444","0.183333333","2.181818182","0.923076923","1.363636364","0.576923077","0.4","0.169230769","3.636363636","1.538461538","62.5","9.90990991","42.30769231","5.698005698","13.46801347","6.267806268","14.81481481","56.98005698","134.6801347","63.24786325","149.4949495","4.4","44.4"
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00009","","","","26","13","4","3","4","7","0","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","0","0","","","","","26.92307692","0","0","0","0","","","","","0",""
"","","MZP2013UMB-MT01","","","","","","","","","MZP2013UMB-MT01-00010","","","","26","9","1","1","6","9","7","21","46","6","3","10","1","1","3","1","3","3","3","0.03","67","0.285714286","0.065217391","0.134328358","7.444444444","2.576923077","2.333333333","0.807692308","1","0.346153846","1.111111111","0.384615385","31.34328358","47.36842105","34.61538462","8.547008547","24.69135802","12.82051282","37.03703704","14.24501425","41.15226337","27.06552707","78.18930041","9","19"
