"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_late_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00001","","","","84","66","2","7","59","50","73","108","8","4","70.6","5","3","12","82.6","0.109589041","1.237288136","0.869047619","0.203389831","0.142857143","1.196610169","0.84047619","14.52784504","70.23809524","3.527336861","5.021971124","5.291005291","7.532956685","31.1287478","44.31889517","36.41975309","51.85185185","1","181","0.037037037","0.066298343","3.06779661","2.154761905","40.33149171"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00002","","","","84","59","1","7","56","48","120","66","21","7.8","35.2","7","3","28.8","64","0.175","2.142857143","1.428571429","0.514285714","0.342857143","0.628571429","0.419047619","45","66.66666667","9.259259259","13.88888889","12.6984127","19.04761905","15.52028219","23.28042328","28.21869489","42.32804233","1","186","0.118181818","0.15483871","3.321428571","2.214285714","64.51612903"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00003","","","","84","52","1","5","36","30","52","47","6.8","3.2","27.4","5","1","10","37.4","0.130769231","1.444444444","0.619047619","0.277777778","0.119047619","0.761111111","0.326190476","26.73796791","42.85714286","2.998236332","6.995884774","4.409171076","10.28806584","12.08112875","28.18930041","16.49029982","38.47736626","1","99","0.068085106","0.101010101","2.75","1.178571429","52.52525253"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00004","","","","84","42","1","9","42","25","70","94","10","3","80.8","5","1","13","93.8","0.142857143","1.666666667","0.833333333","0.30952381","0.154761905","1.923809524","0.961904762","13.85927505","50","4.409171076","8.818342152","5.731922399","11.4638448","35.62610229","71.25220459","41.35802469","82.71604938","1","164","0.031914894","0.079268293","3.904761905","1.952380952","42.68292683"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00005","","","","84","32","1","7","32","30","60","22","19.8","10","60.6","7","5","29.8","90.4","0.33","1.875","0.714285714","0.93125","0.354761905","1.89375","0.721428571","32.96460177","38.0952381","8.73015873","22.91666667","13.13932981","34.49074074","26.71957672","70.13888889","39.85890653","104.6296296","1","82","0.454545455","0.363414634","2.5625","0.976190476","73.17073171"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00006","","","","84","52","1","7","27","24","56","39","13.4","2","56.8","5","5","15.4","72.2","0.239285714","2.074074074","0.666666667","0.57037037","0.183333333","2.103703704","0.676190476","21.32963989","32.14285714","5.908289242","18.38134431","6.790123457","21.12482853","25.04409171","77.91495199","31.83421517","99.03978052","1","95","0.051282051","0.162105263","3.518518519","1.130952381","58.94736842"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00007","","","","84","57","1","7","36","27","38","78","5.4","2.6","63.8","3","3","8","71.8","0.142105263","1.055555556","0.452380952","0.222222222","0.095238095","1.772222222","0.75952381","11.14206128","42.85714286","2.380952381","5.555555556","3.527336861","8.230452675","28.13051146","65.63786008","31.65784832","73.86831276","1","116","0.033333333","0.068965517","3.222222222","1.380952381","32.75862069"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00008","","","","84","36","1","9","30","30","39","76","3.4","2.8","102","5","7","6.2","108.2","0.087179487","1.3","0.464285714","0.206666667","0.073809524","3.4","1.214285714","5.73012939","35.71428571","1.499118166","4.197530864","2.733686067","7.654320988","44.97354497","125.9259259","47.70723104","133.5802469","1","115","0.036842105","0.053913043","3.833333333","1.369047619","33.91304348"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00009","","","","84","59","1","7","59","24","70","102","9.2","3.4","62","3","3","12.6","74.6","0.131428571","1.186440678","0.833333333","0.213559322","0.15","1.050847458","0.738095238","16.89008043","70.23809524","4.05643739","5.775266792","5.555555556","7.90960452","27.33686067","38.92027621","32.89241623","46.82988073","1","172","0.033333333","0.073255814","2.915254237","2.047619048","40.69767442"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00010","","","","84","52","1","5","18","18","70","82","13.6","4","52.2","7","5","17.6","69.8","0.194285714","3.888888889","0.833333333","0.977777778","0.20952381","2.9","0.621428571","25.21489971","21.42857143","5.996472663","27.98353909","7.760141093","36.21399177","23.01587302","107.4074074","30.77601411","143.6213992","1","152","0.048780488","0.115789474","8.444444444","1.80952381","46.05263158"
