"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00001","","","","26","25","1","5","6","21","18","43","27","10","2.5","16","3","1","1","40.3","11.1","1","4","5","2","3.07","1.79","1.31","26.728","6.12","55.37","4.57","6.74","11.07","12.5","28.5","70","0.23255814","0.092592593","0.178571429","3.333333333","2.692307692","2.047619048","1.653846154","0.595238095","0.480769231","0.761904762","0.615384615","61.42857143","43.85964912","80.76923077","27.54342432","3.44292804","14.24501425","17.6366843","17.80626781","22.04585538","22.79202279","28.21869489","4.904455897","6.072183492","40.5982906","50.26455026"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00002","","","","26","21","1","4","7","19","15","28","11","6.5","2","","3","5","1","50.2","18.1","1","3","3","1","2.94","1.2","0.74","32.799","","67.82","4.34","6.09","4.51","8.5","","39","0.232142857","0.181818182","0.217948718","2.052631579","1.5","1.473684211","1.076923077","0.447368421","0.326923077","","","71.79487179","","73.07692308","36.05577689","3.064741036","9.259259259","12.6705653","12.10826211","16.56920078","","","4.365727971","5.974154066","",""
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00003","","","","26","13","2","2","4","6","4","5","4","2","0.2","6","3","3","1","50.7","13.9","1","7","7","6","3.67","1.62","1.16","0.869","0.15","59.33","6.07","8.87","4.86","2.2","8.2","9","0.4","0.05","0.244444444","1.5","0.346153846","0.833333333","0.192307692","0.366666667","0.084615385","1","0.230769231","55.55555556","26.82926829","23.07692308","27.41617357","0.603155819","2.849002849","12.34567901","3.133903134","13.58024691","8.547008547","37.03703704","0.859196323","3.723184065","11.68091168","50.61728395"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00004","","","","26","5","8","1","3","3","3","3","3","1.5","0.3","9","3","1","1","49.5","11.2","1","4","8","5","4.45","2.08","1.28","19.03","1.32","51.49","10.19","14.76","2.19","1.8","10.8","6","0.5","0.1","0.3","2","0.230769231","1","0.115384615","0.6","0.069230769","3","0.346153846","50","16.66666667","11.53846154","22.62626263","0.407272727","2.136752137","18.51851852","2.564102564","22.22222222","12.82051282","111.1111111","0.58016058","5.028058361","15.38461538","133.3333333"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00005","","","","26","7","3","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.53846154","","","","","","","","","","","",""
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00006","","","","26","9","8","3","4","7","2","0","7","0","1.2","10","5","3","1","37.2","11.9","1","4","6","5","5.18","1.88","1.27","30.04","7.76","56.8","4.47","6.77","9.2","1.2","11.2","7","","0.171428571","0.171428571","1","0.269230769","0","0","0.171428571","0.046153846","1.428571429","0.384615385","0","10.71428571","26.92307692","31.98924731","0.383870968","0","0","1.709401709","6.349206349","14.24501425","52.91005291","0.54682474","2.031063321","15.95441595","59.25925926"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00007","","","","26","7","1","3","4","4","4","2","3","1.5","0.5","5.5","5","3","1","47.9","10.8","1","4","7","4","4.53","2.35","1.33","33.371","6.12","47.72","7.62","11.2","10.93","2","7.5","5","0.75","0.166666667","0.4","1.25","0.192307692","0.5","0.076923077","0.5","0.076923077","1.375","0.211538462","40","26.66666667","15.38461538","22.54697286","0.450939457","2.136752137","13.88888889","2.849002849","18.51851852","7.834757835","50.92592593","0.642363899","4.175365344","10.68376068","69.44444444"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00008","","","","26","21","3","2","5","9","2","1","14","0.6","1","9.5","5","1","1","","","","","","","","","","","","","","","","1.6","11.1","15","0.6","0.071428571","0.106666667","1.666666667","0.576923077","0.111111111","0.038461538","0.177777778","0.061538462","1.055555556","0.365384615","6.666666667","14.41441441","34.61538462","","","0.854700855","2.469135802","2.279202279","6.58436214","13.53276353","39.09465021","","","15.81196581","45.67901235"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00009","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00010","","","","26","25","1","4","6","10","9","12","19","2.8","2","24","3","3","1","50.1","15.3","1","4","2","3","4.93","1.51","1.1","8.04","0.12","60.83","4.82","7.31","5.55","4.8","28.8","31","0.233333333","0.105263158","0.15483871","3.1","1.192307692","1.2","0.461538462","0.48","0.184615385","2.4","0.923076923","38.70967742","16.66666667","38.46153846","30.53892216","1.465868263","3.988603989","10.37037037","6.837606838","17.77777778","34.18803419","88.88888889","2.088131429","5.429141717","41.02564103","106.6666667"
