"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00001","","","","30","25","1","2","6","1","2","20","26","26","3","0.6","5","4","5","2","1","1","7.76","3.6","8.6","0.115384615","0.023076923","52","2.6","1.733333333","1.3","0.866666667","0.18","0.12","0.25","0.166666667","50","41.86046512","66.66666667","0.069230769","3.333333333","4","5.555555556","9.555555556","5","6","8.333333333","14.33333333"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00002","","","","30","24","2","2","8","2","3","24","0","0","0","0","3","","","","","","","0","3","","","0","0","0","0","0","0","0","0.125","0.1","","0","80","","0","0","3.333333333","3.333333333","0","0","4.166666667","4.166666667"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00003","","","","30","25","1","2","8","2","3","24","10","1","2.6","","22","2","3","4","1","1","0","","","0.26","","11","0.458333333","0.366666667","0.416666667","0.333333333","","","0.916666667","0.733333333","90.90909091","","80","","2.888888889","","24.44444444","","3.611111111","","30.55555556",""
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00004","","","","30","25","2","3","6","2","2","25","16","6","2.1","0.2","8","5","3","8","1","1","0","2.3","10.3","0.13125","0.033333333","22","0.88","0.733333333","0.64","0.533333333","0.092","0.076666667","0.32","0.266666667","72.72727273","22.33009709","83.33333333","0.104545455","2.333333333","2.555555556","8.888888889","11.44444444","2.8","3.066666667","10.66666667","13.73333333"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00005","","","","30","25","2","2","7","1","2","25","16","7","4.1","0.3","19","8","3","4","1","4","0.12","4.4","23.4","0.25625","0.042857143","23","0.92","0.766666667","0.64","0.533333333","0.176","0.146666667","0.76","0.633333333","69.56521739","18.8034188","83.33333333","0.191304348","4.555555556","4.888888889","21.11111111","26","5.466666667","5.866666667","25.33333333","31.2"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00006","","","","30","20","1","2","7","2","3","18","24","13","5","0.3","21","9","5","6","1","1","0.12","5.3","26.3","0.208333333","0.023076923","37","2.055555556","1.233333333","1.333333333","0.8","0.294444444","0.176666667","1.166666667","0.7","64.86486486","20.15209125","60","0.143243243","5.555555556","5.888888889","23.33333333","29.22222222","9.259259259","9.814814815","38.88888889","48.7037037"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00007","","","","30","30","2","2","6","3","6","27","13","8","1","0.2","8.1","4","5","2","1","3","7.76","1.2","9.3","0.076923077","0.025","21","0.777777778","0.7","0.481481481","0.433333333","0.044444444","0.04","0.3","0.27","61.9047619","12.90322581","90","0.057142857","1.111111111","1.333333333","9","10.33333333","1.234567901","1.481481481","10","11.48148148"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00008","","","","30","21","2","2","7","1","2","21","23","14","6","0.4","14","8","5","6","1","1","0","6.4","20.4","0.260869565","0.028571429","37","1.761904762","1.233333333","1.095238095","0.766666667","0.304761905","0.213333333","0.666666667","0.466666667","62.16216216","31.37254902","70","0.172972973","6.666666667","7.111111111","15.55555556","22.66666667","9.523809524","10.15873016","22.22222222","32.38095238"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00009","","","","30","26","2","2","8","2","2","24","53","15","9","0.5","19","2","3","8","1","1","0","9.5","28.5","0.169811321","0.033333333","68","2.833333333","2.266666667","2.208333333","1.766666667","0.395833333","0.316666667","0.791666667","0.633333333","77.94117647","33.33333333","80","0.139705882","10","10.55555556","21.11111111","31.66666667","12.5","13.19444444","26.38888889","39.58333333"
"","","UGP2016NAM-PT04","","","","","","","","","UGP2016NAM-PT04-00010","","","","30","28","2","3","7","1","2","28","8","4","1.1","0.1","23","8","3","4","1","1","0","1.2","24.2","0.1375","0.025","12","0.428571429","0.4","0.285714286","0.266666667","0.042857143","0.04","0.821428571","0.766666667","66.66666667","4.958677686","93.33333333","0.1","1.222222222","1.333333333","25.55555556","26.88888889","1.30952381","1.428571429","27.38095238","28.80952381"
