"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00001","","","","30","20","1","2","9","1","2","16","29","22","8.2","0.6","45","8","3","4","3","3","0.12","8.8","53.8","51","0.282758621","0.027272727","0.17254902","3.1875","1.7","1.8125","0.966666667","0.55","0.293333333","2.8125","1.5","56.8627451","16.35687732","53.33333333","9.111111111","9.777777778","50","59.77777778","17.08333333","18.33333333","93.75","112.0833333"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00002","","","","30","18","3","4","8","1","2","14","28","48","5.6","1.04","15.9","9","5","2","1","1","0","6.64","22.54","76","0.2","0.021666667","0.087368421","5.428571429","2.533333333","2","0.933333333","0.474285714","0.221333333","1.135714286","0.53","36.84210526","29.45874002","46.66666667","6.222222222","7.377777778","17.66666667","25.04444444","13.33333333","15.80952381","37.85714286","53.66666667"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00003","","","","30","26","2","5","9","1","2","21","25","33","13.2","1.2","30.4","8","3","4","4","3","0.12","14.4","44.8","58","0.528","0.036363636","0.248275862","2.761904762","1.933333333","1.19047619","0.833333333","0.685714286","0.48","1.447619048","1.013333333","43.10344828","32.14285714","70","14.66666667","16","33.77777778","49.77777778","20.95238095","22.85714286","48.25396825","71.11111111"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00004","","","","30","24","1","3","9","1","1","24","51","22","19.4","1.3","25","8","3","2","3","4","0","20.7","45.7","73","0.380392157","0.059090909","0.283561644","3.041666667","2.433333333","2.125","1.7","0.8625","0.69","1.041666667","0.833333333","69.8630137","45.29540481","80","21.55555556","23","27.77777778","50.77777778","26.94444444","28.75","34.72222222","63.47222222"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00005","","","","30","19","3","6","5","1","3","17","19","9","3.7","0.2","1.5","2","3","6","4","3","0.02","3.9","5.4","28","0.194736842","0.022222222","0.139285714","1.647058824","0.933333333","1.117647059","0.633333333","0.229411765","0.13","0.088235294","0.05","67.85714286","72.22222222","56.66666667","4.111111111","4.333333333","1.666666667","6","7.254901961","7.647058824","2.941176471","10.58823529"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00006","","","","30","20","1","3","8","1","2","15","5","19","0.28","0.48","24.2","2","7","9","1","1","0.12","0.76","24.96","24","0.056","0.025263158","0.031666667","1.6","0.8","0.333333333","0.166666667","0.050666667","0.025333333","1.613333333","0.806666667","20.83333333","3.044871795","50","0.311111111","0.844444444","26.88888889","27.73333333","0.622222222","1.688888889","53.77777778","55.46666667"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00007","","","","30","30","1","6","9","1","2","30","70","13","26","0.54","39.4","9","1","5","4","2","0.02","26.54","65.94","83","0.371428571","0.041538462","0.319759036","2.766666667","2.766666667","2.333333333","2.333333333","0.884666667","0.884666667","1.313333333","1.313333333","84.3373494","40.24871095","100","28.88888889","29.48888889","43.77777778","73.26666667","28.88888889","29.48888889","43.77777778","73.26666667"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00008","","","","30","17","2","2","5","1","2","12","15","5","2","0.16","10.2","9","5","2","2","2","0.12","2.16","12.36","20","0.133333333","0.032","0.108","1.666666667","0.666666667","1.25","0.5","0.18","0.072","0.85","0.34","75","17.47572816","40","2.222222222","2.4","11.33333333","13.73333333","5.555555556","6","28.33333333","34.33333333"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00009","","","","30","21","1","2","9","1","2","19","55","17","23","0.64","37","2","3","1","2","2","0.02","23.64","60.64","72","0.418181818","0.037647059","0.328333333","3.789473684","2.4","2.894736842","1.833333333","1.244210526","0.788","1.947368421","1.233333333","76.38888889","38.98416887","63.33333333","25.55555556","26.26666667","41.11111111","67.37777778","40.35087719","41.47368421","64.9122807","106.3859649"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00010","","","","30","24","1","3","8","1","3","22","83","20","27.8","0.6","17.3","2","3","8","3","2","1.04","28.4","45.7","103","0.334939759","0.03","0.275728155","4.681818182","3.433333333","3.772727273","2.766666667","1.290909091","0.946666667","0.786363636","0.576666667","80.58252427","62.14442013","73.33333333","30.88888889","31.55555556","19.22222222","50.77777778","42.12121212","43.03030303","26.21212121","69.24242424"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00011","","","","30","23","3","7","7","2","3","21","15","2","6.2","0.04","2.5","6","1","1","3","2","3.96","6.24","8.74","17","0.413333333","0.02","0.367058824","0.80952381","0.566666667","0.714285714","0.5","0.297142857","0.208","0.119047619","0.083333333","88.23529412","71.39588101","70","6.888888889","6.933333333","2.777777778","9.711111111","9.841269841","9.904761905","3.968253968","13.87301587"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00012","","","","30","12","3","6","5","1","4","8","15","5","4","0.08","2.6","8","3","2","2","3","7.76","4.08","6.68","20","0.266666667","0.016","0.204","2.5","0.666666667","1.875","0.5","0.51","0.136","0.325","0.086666667","75","61.07784431","26.66666667","4.444444444","4.533333333","2.888888889","7.422222222","16.66666667","17","10.83333333","27.83333333"
"","","UGP2014NAM-PT01","","","","","","","","","UGP2014NAM-PT01-00013","","","","30","25","2","8","9","1","3","21","45","18","14","0.4","21.2","8","3","5","2","1","0.12","14.4","35.6","63","0.311111111","0.022222222","0.228571429","3","2.1","2.142857143","1.5","0.685714286","0.48","1.00952381","0.706666667","71.42857143","40.4494382","70","15.55555556","16","23.55555556","39.55555556","22.22222222","22.85714286","33.65079365","56.50793651"
