"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00001","","","","10","7","2","2","9","2","2","7","0","4","0","0.1","47","4","2","1","3","7","0.02","0.1","47.1","4","","0.025","0.025","0.571428571","0.4","0","0","0.014285714","0.01","6.714285714","4.7","0","0.212314225","70","0","0.333333333","156.6666667","157","0","0.476190476","223.8095238","224.2857143"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00002","","","","10","2","2","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00003","","","","10","8","3","3","8","2","2","6","15","6","4","0.45","25","5","2","1","4","3","0","4.45","29.45","21","0.266666667","0.075","0.211904762","3.5","2.1","2.5","1.5","0.741666667","0.445","4.166666667","2.5","71.42857143","15.11035654","60","13.33333333","14.83333333","83.33333333","98.16666667","22.22222222","24.72222222","138.8888889","163.6111111"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00004","","","","10","9","2","2","8","2","2","7","0","0","0","0","27","","","","","","","0","27","0","","","","0","0","0","0","0","0","3.857142857","2.7","","0","70","0","0","90","90","0","0","128.5714286","128.5714286"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00005","","","","10","8","2","2","8","2","2","8","6","5","1.1","0.25","23","5","2","1","4","4","0.02","1.35","24.35","11","0.183333333","0.05","0.122727273","1.375","1.1","0.75","0.6","0.16875","0.135","2.875","2.3","54.54545455","5.544147844","80","3.666666667","4.5","76.66666667","81.16666667","4.583333333","5.625","95.83333333","101.4583333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00006","","","","10","6","2","2","9","2","2","6","1","0","0.1","0","24","8","2","1","3","7","0.02","0.1","24.1","1","0.1","","0.1","0.166666667","0.1","0.166666667","0.1","0.016666667","0.01","4","2.4","100","0.414937759","60","0.333333333","0.333333333","80","80.33333333","0.555555556","0.555555556","133.3333333","133.8888889"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00007","","","","10","7","2","2","9","1","2","6","2","4","0.25","0.25","28","3","2","1","7","6","0.12","0.5","28.5","6","0.125","0.0625","0.083333333","1","0.6","0.333333333","0.2","0.083333333","0.05","4.666666667","2.8","33.33333333","1.754385965","60","0.833333333","1.666666667","93.33333333","95","1.388888889","2.777777778","155.5555556","158.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00008","","","","10","8","2","2","9","2","2","4","0","0","0","0","13","","","","","","","0","13","0","","","","0","0","0","0","0","0","3.25","1.3","","0","40","0","0","43.33333333","43.33333333","0","0","108.3333333","108.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00009","","","","10","7","2","2","8","2","5","5","23","0","0.5","0","20","3","2","1","3","3","0","0.5","20.5","23","0.02173913","","0.02173913","4.6","2.3","4.6","2.3","0.1","0.05","4","2","100","2.43902439","50","1.666666667","1.666666667","66.66666667","68.33333333","3.333333333","3.333333333","133.3333333","136.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00010","","","","10","7","5","4","8","2","2","6","0","0","0","0","10","","","","","","","0","10","0","","","","0","0","0","0","0","0","1.666666667","1","","0","60","0","0","33.33333333","33.33333333","0","0","55.55555556","55.55555556"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00011","","","","10","7","2","2","8","2","2","7","27","5","5","0.15","13","3","2","1","7","3","0.12","5.15","18.15","32","0.185185185","0.03","0.1609375","4.571428571","3.2","3.857142857","2.7","0.735714286","0.515","1.857142857","1.3","84.375","28.37465565","70","16.66666667","17.16666667","43.33333333","60.5","23.80952381","24.52380952","61.9047619","86.42857143"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00012","","","","10","7","2","2","9","1","2","7","4","0","3.1","0","16","8","2","1","4","2","6.12","3.1","19.1","4","0.775","","0.775","0.571428571","0.4","0.571428571","0.4","0.442857143","0.31","2.285714286","1.6","100","16.23036649","70","10.33333333","10.33333333","53.33333333","63.66666667","14.76190476","14.76190476","76.19047619","90.95238095"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00013","","","","10","7","2","2","8","2","2","7","8","4","1.7","0.2","15","8","2","1","3","5","0","1.9","16.9","12","0.2125","0.05","0.158333333","1.714285714","1.2","1.142857143","0.8","0.271428571","0.19","2.142857143","1.5","66.66666667","11.24260355","70","5.666666667","6.333333333","50","56.33333333","8.095238095","9.047619048","71.42857143","80.47619048"
