"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00001","","","","30","28","1","2","8","2","2","28","66","2","4","0.4","7.2","4","6","4","1","1","1.04","4.4","11.6","68","0.060606061","0.2","0.064705882","2.428571429","2.266666667","2.357142857","2.2","0.157142857","0.146666667","0.257142857","0.24","97.05882353","37.93103448","93.33333333","4.444444444","4.888888889","8","12.88888889","4.761904762","5.238095238","8.571428571","13.80952381"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00002","","","","30","26","2","1","8","1","1","24","8","2","2","0.05","24","8","3","6","1","1","0","2.05","26.05","10","0.25","0.025","0.205","0.416666667","0.333333333","0.333333333","0.266666667","0.085416667","0.068333333","1","0.8","80","7.869481766","80","2.222222222","2.277777778","26.66666667","28.94444444","2.777777778","2.847222222","33.33333333","36.18055556"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00003","","","","30","28","2","2","7","1","1","26","14","0","1.4","0","13.9","2","4","4","1","1","0","1.4","15.3","14","0.1","","0.1","0.538461538","0.466666667","0.538461538","0.466666667","0.053846154","0.046666667","0.534615385","0.463333333","100","9.150326797","86.66666667","1.555555556","1.555555556","15.44444444","17","1.794871795","1.794871795","17.82051282","19.61538462"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00004","","","","30","16","4","4","5","1","1","11","10","10","0.9","0.2","5","3","6","3","1","1","0.12","1.1","6.1","20","0.09","0.02","0.055","1.818181818","0.666666667","0.909090909","0.333333333","0.1","0.036666667","0.454545455","0.166666667","50","18.03278689","36.66666667","1","1.222222222","5.555555556","6.777777778","2.727272727","3.333333333","15.15151515","18.48484848"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00005","","","","30","27","2","2","7","1","1","27","28","5","3.9","0.18","5.3","8","3","3","1","4","0","4.08","9.38","33","0.139285714","0.036","0.123636364","1.222222222","1.1","1.037037037","0.933333333","0.151111111","0.136","0.196296296","0.176666667","84.84848485","43.49680171","90","4.333333333","4.533333333","5.888888889","10.42222222","4.814814815","5.037037037","6.543209877","11.58024691"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00006","","","","30","26","2","2","7","1","1","24","59","8","7.5","0.19","12.9","9","3","3","1","1","0","7.69","20.59","67","0.127118644","0.02375","0.114776119","2.791666667","2.233333333","2.458333333","1.966666667","0.320416667","0.256333333","0.5375","0.43","88.05970149","37.34822729","80","8.333333333","8.544444444","14.33333333","22.87777778","10.41666667","10.68055556","17.91666667","28.59722222"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00007","","","","30","22","2","2","7","1","1","22","27","17","2.1","0.31","15.1","5","5","4","1","1","7.76","2.41","17.51","44","0.077777778","0.018235294","0.054772727","2","1.466666667","1.227272727","0.9","0.109545455","0.080333333","0.686363636","0.503333333","61.36363636","13.76356368","73.33333333","2.333333333","2.677777778","16.77777778","19.45555556","3.181818182","3.651515152","22.87878788","26.53030303"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00008","","","","30","23","1","1","8","1","2","23","43","19","6","0.4","15.9","8","2","6","1","2","0.12","6.4","22.3","62","0.139534884","0.021052632","0.103225806","2.695652174","2.066666667","1.869565217","1.433333333","0.27826087","0.213333333","0.691304348","0.53","69.35483871","28.69955157","76.66666667","6.666666667","7.111111111","17.66666667","24.77777778","8.695652174","9.275362319","23.04347826","32.31884058"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00009","","","","30","22","3","2","9","1","1","21","22","42","1.9","0.6","42","2","2","6","1","1","0","2.5","44.5","64","0.086363636","0.014285714","0.0390625","3.047619048","2.133333333","1.047619048","0.733333333","0.119047619","0.083333333","2","1.4","34.375","5.617977528","70","2.111111111","2.777777778","46.66666667","49.44444444","3.015873016","3.968253968","66.66666667","70.63492063"
"","","UGP2016KAC-PT04","","","","","","","","","UGP2016KAC-PT04-00010","","","","30","24","3","2","9","1","1","24","28","21","2","0.44","24.9","2","6","8","1","1","1.38","2.44","27.34","49","0.071428571","0.020952381","0.049795918","2.041666667","1.633333333","1.166666667","0.933333333","0.101666667","0.081333333","1.0375","0.83","57.14285714","8.924652524","80","2.222222222","2.711111111","27.66666667","30.37777778","2.777777778","3.388888889","34.58333333","37.97222222"
