"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","treatment_dap90"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00001","","","","120","108","86.35","239","62.5","10.78","73.28","159.63","0.261506276","2.212962963","1.991666667","0.678518519","0.610666667","0.799537037","0.719583333","45.90615799","90","23.14814815","25.72016461","27.14074074","30.1563786","31.98148148","35.53497942","59.12222222","65.69135802","4.0383606","28.5503235","1.4147372","1.0290289","157.1914063","114.2384186","67.5357285","2.7312288","4.8851824","8.4536514","0.3543549","51.1","14.2","27.78864971","20.3635225","7.542045372","8.380050414","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00003","","","","120","105","117.73","198","47.63","10.54","58.17","175.9","0.240555556","1.885714286","1.65","0.554","0.48475","1.121238095","0.981083333","33.06992609","87.5","17.64074074","20.16084656","21.54444444","24.62222222","43.6037037","49.83280423","65.14814815","74.45502646","6.2263813","31.1573181","1.8450484","1.2349143","160.3009033","110.8686371","68.3850708","1.4524775","3.380578","8.0465193","0.0644808","50.6","13.6","26.87747036","15.63462451","5.790601669","6.617830479","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00005","","","","120","113","119.85","195","33.39","10.52","43.91","163.76","0.171230769","1.725663717","1.625","0.388584071","0.365916667","1.060619469","0.99875","26.8136297","94.16666667","12.36666667","13.13274336","16.26296296","17.27040315","44.38888889","47.13864307","60.65185185","64.40904621","3.2005672","3.4498596","1.0786715","1.0647559","92.935791","98.2503662","74.9426117","1.3144684","3.3687525","5.5119495","0.2572184","51.2","16.9","33.0078125","14.49373047","5.368048322","5.700582289","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00007","","","","120","103","121.26","97","17.39","7.57","24.96","146.22","0.179278351","0.941747573","0.808333333","0.242330097","0.208","1.177281553","1.0105","17.07016824","85.83333333","6.440740741","7.50377562","9.244444444","10.77022654","44.91111111","52.3236246","54.15555556","63.09385113","4.3871155","2.2103882","1.0352297","0.9886045","64.215332","66.0418091","75.3212662","0.6178703","1.9657236","4.4326682","0.1182327","51.1","18.6","36.39921722","9.085244618","3.364905414","3.920278152","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00009","","","","120","107","61.25","190","47.97","4.48","52.45","113.7","0.252473684","1.775700935","1.583333333","0.490186916","0.437083333","0.572429907","0.510416667","46.13016711","89.16666667","17.76666667","19.92523364","19.42592593","21.78608515","22.68518519","25.44132918","42.11111111","47.22741433","2.5630608","11.6762085","0.9935665","1.0621662","68.3203125","72.943512","74.9311981","1.2555504","3.0158234","5.903492","0.5509138","51.4","16.6","32.29571984","16.93910506","6.273742614","7.035973025","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00011","","","","120","103","90.83","211","52.37","3.64","56.01","146.84","0.248199052","2.048543689","1.758333333","0.543786408","0.46675","0.88184466","0.756916667","38.14355761","85.83333333","19.3962963","22.59762675","20.74444444","24.16828479","33.64074074","39.19309601","54.38518519","63.3613808","4.850008","6.3876343","1.301002","1.1749763","102.2738037","96.0300598","75.6858826","0.7015877","2.6860471","5.6558771","0.1844435","51.8","17.2","33.2046332","18.59791506","6.888116688","8.024990316","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00013","","","","120","111","82.07","340","66.93","14.39","81.32","163.39","0.196852941","3.063063063","2.833333333","0.732612613","0.677666667","0.739369369","0.683916667","49.77048779","92.5","24.78888889","26.7987988","30.11851852","32.56056056","30.3962963","32.86086086","60.51481481","65.42142142","5.1100864","59.1741028","1.8377738","1.3669744","127.2042236","120.8449402","63.6704025","3.0628872","6.1865878","12.6938038","0.4668512","50.7","11.7","23.07692308","18.76615385","6.95042735","7.513975514","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00015","","","","120","107","63.28","219","42.25","6.4","48.65","111.93","0.192922374","2.046728972","1.825","0.454672897","0.405416667","0.591401869","0.527333333","43.46466542","89.16666667","15.64814815","17.54932503","18.01851852","20.20768432","23.43703704","26.28452752","41.45555556","46.49221184","5.7089024","54.0939026","1.8540874","1.2656641","152.2973633","114.4775848","63.5652962","2.480896","4.293005","11.9215679","0.3207111","51.6","11.7","22.6744186","11.03110465","4.085594315","4.581974933","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00017","","","","120","99","173.51","46","8.88","2.49","11.37","184.88","0.193043478","0.464646465","0.383333333","0.114848485","0.09475","1.752626263","1.445916667","6.149935093","82.5","3.288888889","3.986531987","4.211111111","5.104377104","64.26296296","77.89450056","68.47407407","82.99887767","4.9311485","0","1.426713","1.05162","40.5843506","92.1576843","74.7247772","1.3481188","2.9214439","5.4907131","0.4445295","51","15.5","30.39215686","3.455588235","1.279847495","1.551330296","1"
"","","PEP2019HUA-ST01","","","","","","","","","PEP2019HUA-ST01-00019","","","","120","103","84.95","112","21.72","3.92","25.64","110.59","0.193928571","1.087378641","0.933333333","0.248932039","0.213666667","0.824757282","0.707916667","23.18473641","85.83333333","8.044444444","9.372168285","9.496296296","11.06364617","31.46296296","36.65587918","40.95925926","47.71952535","4.0932159","0","1.2264781","0.9722447","41.8684082","74.622879","79.0008392","0.7541647","2.3560529","2.8819106","0.2215471","51.6","17.1","33.13953488","8.496976744","3.147028424","3.666440882","1"
